Date,ExcelDate,Year,Site,Density
06/24/2015,42179,2015,BM1,0.5
06/26/2015,42181,2015,BM1,2
07/02/2015,42187,2015,BM1,0.5
07/03/2015,42188,2015,BM1,0.5
07/06/2015,42191,2015,BM1,0.5
07/08/2015,42193,2015,BM1,0.5
07/09/2015,42194,2015,BM1,0.5
07/12/2015,42197,2015,BM1,0.5
07/14/2015,42199,2015,BM1,0.5
07/16/2015,42201,2015,BM1,0.5
07/20/2015,42205,2015,BM1,1
07/22/2015,42207,2015,BM1,0.5
07/25/2015,42210,2015,BM1,0.5
07/27/2015,42212,2015,BM1,1
07/30/2015,42215,2015,BM1,0.5
08/01/2015,42217,2015,BM1,0.5
08/05/2015,42221,2015,BM1,0.5
08/08/2015,42224,2015,BM1,0.5
08/12/2015,42228,2015,BM1,0.5
08/16/2015,42232,2015,BM1,2
08/18/2015,42234,2015,BM1,2
08/20/2015,42236,2015,BM1,0.5
08/24/2015,42240,2015,BM1,0.5
08/26/2015,42242,2015,BM1,0
08/29/2015,42245,2015,BM1,0
09/01/2015,42248,2015,BM1,0
09/05/2015,42252,2015,BM1,0
09/09/2015,42256,2015,BM1,0
06/27/2016,42548,2016,BM1,0
06/28/2016,42549,2016,BM1,0
06/30/2016,42551,2016,BM1,2
07/01/2016,42552,2016,BM1,2
07/02/2016,42553,2016,BM1,0
07/06/2016,42557,2016,BM1,0.5
07/08/2016,42559,2016,BM1,0
07/11/2016,42562,2016,BM1,0
07/13/2016,42564,2016,BM1,0
07/16/2016,42567,2016,BM1,0
07/17/2016,42568,2016,BM1,1.75
07/18/2016,42569,2016,BM1,0.5
07/20/2016,42571,2016,BM1,0
07/23/2016,42574,2016,BM1,0
07/24/2016,42575,2016,BM1,0
07/26/2016,42577,2016,BM1,0.5
07/28/2016,42579,2016,BM1,0.5
07/30/2016,42581,2016,BM1,0
07/31/2016,42582,2016,BM1,0
08/02/2016,42584,2016,BM1,0.5
08/03/2016,42585,2016,BM1,2
08/04/2016,42586,2016,BM1,0.5
08/07/2016,42589,2016,BM1,0
08/09/2016,42591,2016,BM1,0.5
08/11/2016,42593,2016,BM1,3
08/12/2016,42594,2016,BM1,0
08/14/2016,42596,2016,BM1,1.5
08/15/2016,42597,2016,BM1,0.25
08/17/2016,42599,2016,BM1,0
08/19/2016,42601,2016,BM1,0.5
08/21/2016,42603,2016,BM1,0.5
08/24/2016,42606,2016,BM1,3
08/25/2016,42607,2016,BM1,0.5
08/26/2016,42608,2016,BM1,3
08/28/2016,42610,2016,BM1,0.5
08/30/2016,42612,2016,BM1,0.25
09/05/2016,42618,2016,BM1,0.5
09/06/2016,42619,2016,BM1,0
09/09/2016,42622,2016,BM1,0
09/10/2016,42623,2016,BM1,0.5
06/17/2017,42903,2017,BM1,1
06/19/2017,42905,2017,BM1,1
06/21/2017,42907,2017,BM1,0
06/24/2017,42910,2017,BM1,1
06/25/2017,42911,2017,BM1,2
06/27/2017,42913,2017,BM1,1
06/29/2017,42915,2017,BM1,1
07/01/2017,42917,2017,BM1,4
07/02/2017,42918,2017,BM1,1
07/08/2017,42924,2017,BM1,0
