"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"3","Date/Time","Bat","Chlorophyll","2m Chlorophyll","Temp","2m DO%","2m DO","","16m DO%","16m DO","1m T","3m T","15m T","13m T","11m T","9m T","5m T","7m T","17m T","19m T","Underwater PAR","Surface PAR","","6m DO%sat","6m DO","","9.6 m DO%sat","9.6m DO","6m Chlorophyll","mv"
"4","m/d/y","V","mV","ug/L","C","%","mg/L","C","%","mg/L","C","C","C","C","C","C","C","C","C","C","umol/s/m2","umol/s/m2","C","%","mg/L","C","%","mg/L","ug/L","mV"
"5","06/14/2017 5:45:00 PM","11.7","8.92","1.4","18.95","132.3","12.31","8.75","77.7","9.1","19.29","19.23","17.76","15.23","13.46","12.05","10.86","10.02","-100000","9.19","428","643","15.98","129.4","12.83","12.92","84.2","8.94","",""
"6","06/14/2017 6:00:00 PM","11.7","8.49","1.3","18.89","134.3","12.52","8.76","75.9","8.89","19.26","19.17","10.02","10.95","12.19","13.83","17.74","15.25","-100000","9.19","375","578","15.97","130.1","12.91","13.02","85.9","9.1","",""
"7","06/14/2017 6:15:00 PM","11.7","9.17","1.5","18.86","136.5","12.73","8.77","74.3","8.69","19.22","19.19","10.07","10.94","11.76","13.7","17.68","15.41","-100000","9.21","247","385","15.96","130.5","12.95","12.79","83.9","8.93","",""
"8","06/14/2017 6:30:00 PM","11.7","11.14","1.8","18.84","138.7","12.94","8.8","72.6","8.5","19.19","19.18","10.05","10.99","12","13.87","17.63","15.07","-100000","9.22","264","409","15.92","130.7","12.98","12.79","84.1","8.95","",""
"9","06/14/2017 6:45:00 PM","11.6","10.4","2.1","18.77","141","13.17","8.79","71.1","8.32","19.13","19.15","10","11","11.96","13.69","18.28","15.49","-100000","9.25","204","311","16.04","130.8","12.96","12.77","83.8","8.93","",""
"10","06/14/2017 7:00:00 PM","11.5","10.47","1.9","18.67","143.3","13.42","8.79","69.6","8.14","19.07","19.09","9.95","11","11.85","13.64","18.55","15.41","-100000","9.24","187","293","15.93","130.9","12.99","12.67","83.5","8.92","",""
"11","06/14/2017 7:15:00 PM","11.5","13.15","2.3","18.63","145.7","13.66","9.08","68.1","7.92","19.03","19.06","10.14","10.99","11.82","13.67","18.57","15.56","-100000","9.28","147","233","15.9","130.6","12.97","12.65","83.4","8.91","",""
"12","06/14/2017 7:30:00 PM","11.6","15.32","3.2","18.97","144.9","13.48","9.09","66.3","7.7","19.3","19.02","10.29","11","11.81","13.64","18.8","15.63","-100000","9.3","104","160","15.91","130.3","12.94","12.67","83.4","8.91","",""
"13","06/14/2017 7:45:00 PM","11.6","14.87","3.1","19.1","144.1","13.37","8.91","64.4","7.51","19.38","19.1","10.3","11.12","11.85","13.6","18.83","15.69","-100000","9.3","50","75","15.93","129.9","12.9","12.71","83.4","8.9","",""
"14","06/14/2017 8:00:00 PM","11.5","16.91","3.9","19.2","143.4","13.28","8.88","62.5","7.3","19.55","19.16","10.19","11.12","11.81","13.5","18.65","15.74","-100000","9.25","16","24","16.05","129.8","12.85","12.58","82.9","8.87","",""
"15","06/14/2017 8:15:00 PM","11.5","14.42","3.6","19.46","142.8","13.15","8.8","61","7.13","19.68","19.26","10.16","11.14","11.76","13.71","18.8","15.78","-100000","9.28","5","6","16.08","129.8","12.84","12.64","83.1","8.88","",""
"16","06/14/2017 8:30:00 PM","11.5","13.17","3.4","19.6","142.8","13.12","8.8","59.6","6.98","19.9","19.32","10.11","11.19","11.82","13.75","18.73","15.78","-100000","9.27","0","0","16.17","129.7","12.81","12.77","83.5","8.89","",""
"17","06/14/2017 8:45:00 PM","11.5","13.14","2.6","19.69","143.6","13.17","8.88","58.5","6.84","20","19.33","10.26","11.27","11.98","13.74","18.63","15.74","-100000","9.3","0","0","16.28","129.8","12.79","12.64","83.6","8.93","",""
"18","06/14/2017 9:00:00 PM","11.5","12.92","2.9","19.76","143.9","13.17","8.87","58.7","6.86","20.04","19.36","10.13","11.27","12","13.82","18.9","15.64","-100000","9.31","0","0","16.29","130.1","12.81","12.82","84.6","9","",""
"19","06/14/2017 9:15:00 PM","11.4","14.32","2.9","19.77","144.4","13.22","8.8","58.8","6.88","20.07","19.19","10.14","11.35","12.13","13.93","18.48","15.53","-100000","9.34","0","0","16.33","130.1","12.8","13.03","85.9","9.1","",""
"20","06/14/2017 9:30:00 PM","11.4","12.52","2.9","19.78","145.1","13.28","8.75","58.8","6.88","20.08","19.15","10.16","11.46","12.24","13.87","18.51","15.61","-100000","9.35","0","0","16.63","130.1","12.72","13.02","85.3","9.03","",""
