"","Date.Time","Underwater.PAR","Surface.PAR","X2m.Chlorophyll","X6m.Chlorophyll","X2m.DO","X6m.DO","X9.6m.DO","X16m.DO","X1m.T","X3m.T","X5m.T","X7m.T","X9m.T","X11m.T","X13m.T","X15m.T","X17m.T","X19m.T"
"2","2015-05-03 12:00:00","402","600","1.7",NA,"12.34","13.47","13.24","12.9","8.01","7.78","7.48","7.28","6.96","6.63","6.49","6.04","5.65","5.53"
"3","2015-05-03 12:15:00","350","666","1.6",NA,"12.43","13.56","13.35","12.91","8","7.74","7.44","7.06","6.93","6.6","6.41","5.98","5.62","5.53"
"4","2015-05-03 12:30:00","362","521","2",NA,"12.47","13.66","13.38","12.92","8","7.76","7.47","7.04","6.93","6.6","6.44","5.98","5.62","5.52"
"5","2015-05-03 12:45:00","346","585","1.6",NA,"12.5","13.76","13.46","12.91","7.99","7.81","7.44","7.06","6.89","6.64","6.53","6.15","5.64","5.54"
"6","2015-05-03 13:00:00","410","495","1.5",NA,"12.53","13.9","13.54","12.86","7.97","7.76","7.42","7.03","6.86","6.64","6.53","6.23","5.64","5.54"
"7","2015-05-03 13:15:00","342","724","2",NA,"12.56","13.96","13.57","12.9","8.09","7.69","7.44","7.06","6.84","6.67","6.54","6.19","5.64","5.54"
"8","2015-05-03 13:30:00","410","702","1.5",NA,"12.56","13.99","13.62","12.85","8","7.82","7.44","7.05","6.86","6.68","6.56","6.3","5.64","5.54"
"9","2015-05-03 13:45:00","394","637","1.4",NA,"12.57","14.01","13.59","12.83","8.08","7.87","7.53","7.11","6.91","6.67","6.53","6.3","5.64","5.54"
"10","2015-05-03 14:00:00","400","623","1.5",NA,"12.59","14.06","13.64","12.81","9.36","7.81","7.55","7.11","6.86","6.65","6.55","6.32","5.66","5.54"
"11","2015-05-03 14:15:00","432","585","1.6",NA,"12.57","14","13.58","12.76","9.46","7.89","7.6","7.24","6.92","6.65","6.55","6.32","5.69","5.53"
"12","2015-05-03 14:30:00","364","510","1.8",NA,"12.5","14.03","13.49","12.76","9.31","7.92","7.52","7.27","7","6.75","6.54","5.97","5.62","5.52"
"13","2015-05-03 14:45:00","343","438","1.9",NA,"12.61","14.05","13.53","12.7","9.15","7.73","7.52","7.17","6.99","6.66","6.55","5.98","5.64","5.53"
"14","2015-05-03 15:00:00","92","142","3.3",NA,"12.42","14.02","13.49","12.64","8.91","7.83","7.52","7.2","7.01","6.71","6.56","5.91","5.63","5.53"
"15","2015-05-03 15:15:00","76","121","4.9",NA,"12.6","13.98","13.37","12.58","8.74","7.98","7.55","7.24","7.01","6.78","6.6","5.95","5.62","5.54"
"16","2015-05-03 15:30:00","131","242","3.9",NA,"12.61","13.86","13.28","12.5","8.61","8","7.57","7.33","7.15","6.84","6.64","6.09","5.6","5.54"
"17","2015-05-03 15:45:00","59","88","5",NA,"12.63","13.77","13.26","12.48","8.57","7.99","7.58","7.32","7.02","6.76","6.64","6.04","5.56","5.56"
"18","2015-05-03 16:00:00","63","94","5.7",NA,"12.62","13.73","13.22","12.45","8.42","8.23","7.7","7.41","7.13","6.8","6.65","5.96","5.56","5.55"
"19","2015-05-03 16:15:00","63","97","6.4",NA,"12.67","13.63","13.22","12.49","8.41","8.23","7.71","7.48","7.18","6.81","6.64","5.95","5.56","5.54"
"20","2015-05-03 16:30:00","61","96","-0.4",NA,"12.69","13.63","13.25","12.52","8.42","8.2","7.72","7.52","7.14","6.8","6.6","5.96","5.56","5.56"
"21","2015-05-03 16:45:00","61","90","6.2",NA,"12.67","13.66","13.25","12.51","8.41","8.21","7.87","7.6","7.13","6.84","6.67","5.98","5.57","5.55"
"22","2015-05-03 17:00:00","120","172","3.5",NA,"12.67","13.67","13.24","12.45","8.46","8.25","7.94","7.56","7.2","6.87","6.69","6.1","5.77","5.56"
"23","2015-05-03 17:15:00","93","145","4.1",NA,"12.69","13.7","13.27","12.49","8.56","8.3","7.96","7.52","7.12","6.84","6.69","6.11","5.64","5.56"
"24","2015-05-03 17:30:00","53","79","6.2",NA,"12.66","13.77","13.29","12.5","8.74","8.39","8","7.4","7.09","6.85","6.63","6.1","5.6","5.57"
"25","2015-05-03 17:45:00","39","58","-0.3",NA,"12.63","13.81","13.3","12.54","8.88","8.46","7.97","7.37","7.02","6.86","6.59","6.05","5.61","5.58"
"26","2015-05-03 18:00:00","62","91","4.1",NA,"12.62","13.82","13.31","12.58","8.78","8.72","7.98","7.45","7.04","6.88","6.58","6.03","5.64","5.6"
"27","2015-05-03 18:15:00","42","64","5.5",NA,"12.63","13.93","13.3","12.61","8.83","8.65","7.66","7.34","7.02","6.9","6.53","6.03","5.65","5.57"
"28","2015-05-03 18:30:00","30","43","6.4",NA,"12.65","13.95","13.33","12.61","8.89","8.7","7.64","7.2","6.98","6.78","6.29","6.01","5.61","5.55"
"29","2015-05-03 18:45:00","23","37","6",NA,"12.67","13.97","13.34","12.62","8.9","8.73","7.52","7.13","7","6.88","6.4","5.99","5.61","5.55"
"30","2015-05-03 19:00:00","19","30","6.4",NA,"12.68","13.98","13.33","12.61","8.9","8.84","7.6","7.17","7.05","6.91","6.46","5.94","5.62","5.57"
"31","2015-05-03 19:15:00","14","25","7",NA,"12.7","13.99","13.32","12.6","8.89","8.6","7.58","7.18","7.07","6.93","6.59","6.01","5.65","5.56"
"32","2015-05-03 19:30:00","12","18","7.2",NA,"12.72","14.03","13.33","12.6","8.88","8.7","7.58","7.24","7.09","6.95","6.46","6.04","5.66","5.55"
"33","2015-05-03 19:45:00","10","15","7.6",NA,"12.73","14.05","13.35","12.59","8.84","8.64","7.58","7.12","7.05","6.9","6.2","6.04","5.65","5.55"
"34","2015-05-03 20:00:00","10","12","6.9",NA,"12.75","14.06","13.36","12.49","8.82","8.61","7.57","7.11","7.03","6.79","6.29","6.08","5.79","5.57"
"35","2015-05-03 20:15:00","9","14","7.6",NA,"12.75","14.02","13.37","12.49","8.73","8.65","7.69","7.13","7.04","6.74","6.37","6.12","5.84","5.55"
"36","2015-05-03 20:30:00","9","15","7.6",NA,"12.74","14.07","13.38","12.49","8.72","8.54","7.53","7.18","7.04","6.79","6.39","6.14","5.91","5.61"
"37","2015-05-03 20:45:00","10","14","6.9",NA,"12.73","14.06","13.36","12.49","8.73","8.49","7.71","7.22","7.07","6.92","6.49","6.18","6.02","5.6"
"38","2015-05-03 21:00:00","10","14","7.7",NA,"12.72","13.99","13.36","12.51","8.69","8.54","7.99","7.26","7.14","6.96","6.56","6.2","5.93","5.56"
"39","2015-05-03 21:15:00","7","15","7.5",NA,"12.71","14.04","13.38","12.56","8.65","8.47","7.63","7.23","7.18","6.95","6.6","6.18","5.82","5.59"
"40","2015-05-03 21:30:00","11","15","7.9",NA,"12.7","13.93","13.35","12.62","8.6","8.42","8.16","7.32","7.23","6.98","6.59","6.14","5.69","5.58"
"41","2015-05-03 21:45:00","9","15","7.7",NA,"12.68","14.05","13.41","12.61","8.58","8.53","8.11","7.3","7.07","6.87","6.35","6.09","5.63","5.59"
"42","2015-05-03 22:00:00","9","16","9",NA,"12.68","14.03","13.41","12.66","8.54","8.49","8.13","7.3","7.19","6.89","6.25","6.05","5.68","5.61"
"43","2015-05-03 22:15:00","9","14","8",NA,"12.67","13.96","13.4","12.67","8.52","8.45","8.22","7.26","7.2","6.92","6.29","6.1","5.71","5.63"
"44","2015-05-03 22:30:00","8","15","7.7",NA,"12.65","13.65","13.33","12.7","8.48","8.46","8.33","7.33","7.2","6.96","6.73","6.09","5.73","5.65"
