"datetime"	"wtr_1"	"wtr_3"	"wtr_5"	"wtr_7"	"wtr_9"	"wtr_11"	"wtr_13"	"wtr_15"	"wtr_17"	"wtr_19"
2015-05-03	8.6	8.27	7.76	7.33	7.06	6.82	6.54	6.09	5.68	5.57
2015-05-04	9.03	8.77	8.41	7.85	7.47	6.86	6.39	6.11	5.79	5.71
2015-05-05	9.76	9.3	8.76	8.05	7.39	6.83	6.46	6.23	5.96	5.83
2015-05-06	9.74	9.47	9.07	7.98	7.64	7.05	6.74	6.57	6.25	6.01
2015-05-12	13.24	12.93	12.6	10.83	8.19	7.26	6.93	6.75	6.52	6.38
2015-05-13	12.36	12.29	11.76	10.43	8.45	7.56	7.16	6.97	6.64	6.43
2015-05-14	12.77	12.31	11.97	11.28	9.51	7.92	7.41	7.18	6.88	6.77
2015-05-15	13.82	12.99	12.33	11.36	9.34	7.88	7.35	7.12	6.82	6.71
2015-05-16	14.66	14.37	13.2	10.9	9.52	8.46	7.55	7.22	6.89	6.74
2015-05-17	15.39	14.79	13.16	10.79	9.51	8.24	7.57	7.26	6.94	6.82
2015-05-18	16.33	15.76	14.08	12.01	10.01	8.31	7.57	7.24	6.96	6.86
2015-05-19	15.82	15.69	15.5	12.69	9.48	8.42	7.75	7.33	7	6.84
2015-05-20	15.65	15.43	14.37	10.82	9.5	8.56	7.77	7.44	7.06	6.93
2015-05-21	14.86	14.7	14.53	12.58	10.49	8.9	8.14	7.49	7.13	7.03
2015-05-22	14.77	14.62	14.36	12.16	10.05	8.96	8.32	7.74	7.23	7.03
2015-05-23	13.54	13.52	13.37	12.53	10.67	9.47	8.57	7.85	7.44	7.21
2015-05-24	13.57	13.53	13.45	13.16	12.32	10.3	8.46	7.95	7.55	7.4
2015-05-25	14.63	14.38	14.16	13.3	11.63	9.9	8.74	8.03	7.64	7.42
2015-05-26	15.71	15.15	14.72	13.02	11.66	10.08	8.66	8.01	7.65	7.46
2015-05-27	16.95	15.98	14.93	13.84	12.21	10.24	8.94	8.09	7.68	7.49
2015-05-28	18.37	17.14	15.5	13.62	11.81	10.32	9.24	8.32	7.82	7.56
2015-05-29	18.85	17.9	16.28	14.22	12.51	10.36	9.01	8.37	7.84	7.66
2015-05-30	19.69	19.63	19.49	14.57	11.95	10.52	9.33	8.46	7.96	7.7
2015-05-31	19.38	19.3	18.37	13.72	11.98	10.69	9.46	8.59	8.12	7.83
2015-06-01	18.2	18.22	18.21	14.88	12.27	10.55	9.55	8.67	8.16	7.91
