LAKE,MIDAS,BASIN,DEPTH,AREA,LAYRVOL,VOL_Z,AREAPCT,VOLPCT,A_Vratio
UPPE,98,1,0,903476,866986,6230173,100,100,0.15
UPPE,98,1,1,831000,793204,5363187,91.98,86.08,0.15
UPPE,98,1,2,756000,721733,4569983,83.68,73.35,0.17
UPPE,98,1,3,688000,649358,3848250,76.15,61.77,0.18
UPPE,98,1,4,611468,575875,3198892,67.68,51.35,0.19
UPPE,98,1,5,541000,504982,2623017,59.88,42.1,0.21
UPPE,98,1,6,469800,432890,2118035,52,34,0.22
UPPE,98,1,7,397000,358432,1685145,43.94,27.05,0.24
UPPE,98,1,8,321201,304949,1326713,35.55,21.29,0.24
UPPE,98,1,9,288980,268229,1021764,31.99,16.4,0.28
UPPE,98,1,10,248000,230637,753535,27.45,12.09,0.33
UPPE,98,1,11,213700,195386,522898,23.65,8.39,0.41
UPPE,98,1,12,177628,144643,327512,19.66,5.26,0.54
UPPE,98,1,13,114000,96500,182869,12.62,2.94,0.62
UPPE,98,1,14,80000,61110,86369,8.85,1.39,0.93
UPPE,98,1,15,44000,23862,25259,4.87,0.41,1.74
UPPE,98,1,16,8382,1397,1397,0.93,0.02,6
UPPE,98,1,16.5,0,0,0,0,0,0
LOWE,103,1,0,843760,816227,7509580,100,100,0.11
LOWE,103,1,1,789000,757282,6693353,93.51,89.13,0.12
LOWE,103,1,2,726000,696292,5936071,86.04,79.05,0.12
LOWE,103,1,3,667000,638288,5239779,79.05,69.77,0.13
LOWE,103,1,4,610000,579741,4601491,72.3,61.27,0.13
LOWE,103,1,5,550000,520221,4021750,65.18,53.55,0.14
LOWE,103,1,6,491000,461696,3501529,58.19,46.63,0.14
LOWE,103,1,7,433000,401809,3039833,51.32,40.48,0.14
LOWE,103,1,8,371405,355587,2638024,44.02,35.13,0.14
LOWE,103,1,9,340000,324631,2282437,40.3,30.39,0.15
LOWE,103,1,10,309500,290548,1957806,36.68,26.07,0.16
LOWE,103,1,11,272000,255629,1667258,32.24,22.2,0.16
LOWE,103,1,12,239600,222589,1411629,28.4,18.8,0.17
LOWE,103,1,13,206000,188745,1189040,24.41,15.83,0.17
LOWE,103,1,14,172000,155726,1000295,20.38,13.32,0.17
LOWE,103,1,15,140000,121827,844569,16.59,11.25,0.17
LOWE,103,1,16,104517,100735,722742,12.39,9.62,0.14
LOWE,103,1,17,97000,92971,622007,11.5,8.28,0.16
LOWE,103,1,18,89000,84358,529036,10.55,7.04,0.17
LOWE,103,1,19,79800,75357,444678,9.46,5.92,0.18
LOWE,103,1,20,71000,66039,369321,8.41,4.92,0.19
LOWE,103,1,21,61200,56538,303282,7.25,4.04,0.2
LOWE,103,1,22,52000,49071,246744,6.16,3.29,0.21
LOWE,103,1,23,46200,41160,197673,5.48,2.63,0.23
LOWE,103,1,24,36318,33624,156513,4.3,2.08,0.23
LOWE,103,1,25,31000,29994,122889,3.67,1.64,0.25
LOWE,103,1,26,29000,26202,92895,3.44,1.24,0.31
LOWE,103,1,27,23500,21726,66693,2.79,0.89,0.35
LOWE,103,1,28,20000,16911,44967,2.37,0.6,0.44
LOWE,103,1,29,14000,12470,28056,1.66,0.37,0.5
LOWE,103,1,30,11000,9460,15586,1.3,0.21,0.71
LOWE,103,1,31,8000,5750,6126,0.95,0.08,1.31
LOWE,103,1,32,3764,376,376,0.45,0.01,10.01
LOWE,103,1,32.3,0,0,0,0,0,0
SQUA,1672,1,0,33104450,32146595,350273250,100,100,0.09
SQUA,1672,1,1,31198160,30240008,318126655,94.24,90.82,0.1
SQUA,1672,1,2,29291870,28333380,287886647,88.48,82.19,0.1
SQUA,1672,1,3,27385580,26426705,259553267,82.72,74.1,0.11
SQUA,1672,1,4,25479290,24519969,233126562,76.97,66.56,0.11
SQUA,1672,1,5,23573000,22613158,208606593,71.21,59.56,0.11
SQUA,1672,1,6,21666710,20881806,185993435,65.45,53.1,0.12
SQUA,1672,1,7,20106617,19321323,165111629,60.74,47.14,0.12
SQUA,1672,1,8,18546527,17760771,145790306,56.02,41.62,0.13
SQUA,1672,1,9,16986437,16200131,128029535,51.31,36.55,0.13
SQUA,1672,1,10,15426347,14639373,111829404,46.6,31.93,0.14
SQUA,1672,1,11,13866257,13078456,97190031,41.89,27.75,0.14
SQUA,1672,1,12,12306167,11735260,84111575,37.17,24.01,0.15
SQUA,1672,1,13,11173465,10602072,72376315,33.75,20.66,0.15
SQUA,1672,1,14,10040765,9468768,61774243,30.33,17.64,0.16
SQUA,1672,1,15,8908065,8335299,52305475,26.91,14.93,0.17
SQUA,1672,1,16,7775365,7201588,43970176,23.49,12.55,0.18
SQUA,1672,1,17,6642665,6067498,36768588,20.07,10.5,0.18
SQUA,1672,1,18,5509965,5226306,30701090,16.64,8.76,0.18
SQUA,1672,1,19,4947690,4663727,25474784,14.95,7.27,0.19
SQUA,1672,1,20,4385414,4101063,20811057,13.25,5.94,0.21
SQUA,1672,1,21,3823138,3538275,16709994,11.55,4.77,0.23
SQUA,1672,1,22,3260862,2975293,13171719,9.85,3.76,0.25
SQUA,1672,1,23,2698586,2411980,10196426,8.15,2.91,0.26
SQUA,1672,1,24,2136310,1974301,7784446,6.45,2.22,0.27
SQUA,1672,1,25,1816609,1654181,5810145,5.49,1.66,0.31
SQUA,1672,1,26,1496906,1333858,4155964,4.52,1.19,0.36
SQUA,1672,1,27,1177203,1013139,2822106,3.56,0.81,0.42
SQUA,1672,1,28,857500,691462,1808967,2.59,0.52,0.47
SQUA,1672,1,29,537797,366123,1117505,1.62,0.32,0.48
SQUA,1672,1,30,218094,202110,751382,0.66,0.21,0.29
SQUA,1672,1,31,186537,170515,549272,0.56,0.16,0.34
SQUA,1672,1,32,154980,138902,378757,0.47,0.11,0.41
SQUA,1672,1,33,123423,107257,239855,0.37,0.07,0.51
SQUA,1672,1,34,91866,75536,132598,0.28,0.04,0.69
SQUA,1672,1,35,60309,43567,57062,0.18,0.02,1.06
SQUA,1672,1,36,28752,13322,13495,0.09,0,2.13
SQUA,1672,1,37,2588,173,173,0.01,0,14.96
SQUA,1672,1,37.2,0,0,0,0,0,0
CROS,1674,1,0,10270530,9930850,65876983,100,100,0.16
CROS,1674,1,1,9595000,9245323,55946133,93.42,84.93,0.17
CROS,1674,1,2,8900000,8535236,46700810,86.66,70.89,0.19
CROS,1674,1,3,8175596,7733666,38165574,79.6,57.93,0.21
CROS,1674,1,4,7300000,6834838,30431908,71.08,46.2,0.24
CROS,1674,1,5,6380000,5896608,23597070,62.12,35.82,0.27
CROS,1674,1,6,5426082,5007359,17700462,52.83,26.87,0.31
CROS,1674,1,7,4600000,4224596,12693103,44.79,19.27,0.36
CROS,1674,1,8,3860000,3439639,8468507,37.58,12.86,0.46
CROS,1674,1,9,3035757,2553550,5028868,29.56,7.63,0.6
CROS,1674,1,10,2100000,1629150,2475318,20.45,3.76,0.85
CROS,1674,1,11,1200000,645956,846168,11.68,1.28,1.42
CROS,1674,1,12,221874,163233,200212,2.16,0.3,1.11
CROS,1674,1,13,110937,36979,36979,1.08,0.06,3
CROS,1674,1,14,0,0,0,0,0,0
LONG,1682,1,0,27609845,27102348,424017862,100,100,0.07
LONG,1682,1,1,26598000,25996700,396915514,96.34,93.61,0.07
LONG,1682,1,2,25400000,24797580,370918814,92,87.48,0.07
LONG,1682,1,3,24200000,23597306,346121234,87.65,81.63,0.07
LONG,1682,1,4,22999700,22485404,322523928,83.3,76.06,0.07
LONG,1682,1,5,21975000,21359572,300038524,79.59,70.76,0.07
LONG,1682,1,6,20750000,20197504,278678952,75.15,65.72,0.07
LONG,1682,1,7,19650000,18900105,258481448,71.17,60.96,0.08
LONG,1682,1,8,18160000,17728262,239581343,65.77,56.5,0.08
LONG,1682,1,9,17300000,16736877,221853081,62.66,52.32,0.08
LONG,1682,1,10,16180000,15601468,205116204,58.6,48.37,0.08
LONG,1682,1,11,15030000,14393458,189514736,54.44,44.69,0.08
LONG,1682,1,12,13766165,13532413,175121278,49.86,41.3,0.08
LONG,1682,1,13,13300000,13028564,161588865,48.17,38.11,0.08
LONG,1682,1,14,12759000,8047273,148560301,46.21,35.04,0.09
LONG,1682,1,15,4126653,7461835,140513028,14.95,33.14,0.03
LONG,1682,1,16,11400000,11098648,133051193,41.29,31.38,0.09
LONG,1682,1,17,10800000,10579237,121952545,39.12,28.76,0.09
LONG,1682,1,18,10360000,9980120,111373308,37.52,26.27,0.09
LONG,1682,1,19,9605000,9300860,101393188,34.79,23.91,0.09
LONG,1682,1,20,9.00E+06,8723555,92092328,32.6,21.72,0.1
LONG,1682,1,21,8450000,8163342,83368773,30.61,19.66,0.1
LONG,1682,1,22,7880000,7486613,75205431,28.54,17.74,0.1
LONG,1682,1,23,7100000,6802337,67718818,25.72,15.97,0.1
LONG,1682,1,24,6508954,6368968,60916481,23.57,14.37,0.11
LONG,1682,1,25,6230000,6069297,54547513,22.56,12.86,0.11
LONG,1682,1,26,5910000,5643941,48478216,21.41,11.43,0.12
LONG,1682,1,27,5382000,5149273,42834275,19.49,10.1,0.13
LONG,1682,1,28,4920000,4748986,37685002,17.82,8.89,0.13
LONG,1682,1,29,4580000,4392180,32936016,16.59,7.77,0.14
LONG,1682,1,30,4207000,4006352,28543836,15.24,6.73,0.15
LONG,1682,1,31,3809000,3622934,24537484,13.8,5.79,0.16
LONG,1682,1,32,3440000,3469957,20914550,12.46,4.93,0.16
LONG,1682,1,33,3500000,3038874,17444593,12.68,4.11,0.2
LONG,1682,1,34,2600000,2335170,14405719,9.42,3.4,0.18
LONG,1682,1,35,2080000,1866934,12070549,7.53,2.85,0.17
LONG,1682,1,36,1661687,1600458,10203615,6.02,2.41,0.16
LONG,1682,1,37,1540000,1469444,8603157,5.58,2.03,0.18
LONG,1682,1,38,1400000,1326840,7133713,5.07,1.68,0.2
LONG,1682,1,39,1255000,1187370,5806873,4.55,1.37,0.22
LONG,1682,1,40,1121000,1058395,4619503,4.06,1.09,0.24
LONG,1682,1,41,997000,926118,3561108,3.61,0.84,0.28
LONG,1682,1,42,857000,781832,2634990,3.1,0.62,0.33
LONG,1682,1,43,709000,643421,1853158,2.57,0.44,0.38
LONG,1682,1,44,580000,512059,1209737,2.1,0.29,0.48
LONG,1682,1,45,447000,371066,697678,1.62,0.16,0.64
LONG,1682,1,46,3.00E+05,220141,326612,1.09,0.08,0.92
LONG,1682,1,47,149000,82530,106471,0.54,0.03,1.4
LONG,1682,1,48,30822,21013,23941,0.11,0.01,1.29
LONG,1682,1,49,12549,2928,2928,0.05,0,4.29
LONG,1682,1,49.7,0,0,0,0,0,0
MADA,1802,1,0,4075288,3886134,20942091,100,100,0.19
MADA,1802,1,1,3700000,3515951,17055957,90.79,81.44,0.22
MADA,1802,1,2,3335060,3166052,13540006,81.84,64.65,0.25
MADA,1802,1,3,3.00E+06,2836232,10373954,73.61,49.54,0.29
MADA,1802,1,4,2675557,2433904,7537722,65.65,35.99,0.35
MADA,1802,1,5,2200000,1958211,5103818,53.98,24.37,0.43
MADA,1802,1,6,1725996,1455054,3145607,42.35,15.02,0.55
MADA,1802,1,7,1200000,929332,1690553,29.45,8.07,0.71
MADA,1802,1,8,682806,524061,761221,16.75,3.63,0.9
MADA,1802,1,9,380000,194811,237160,9.32,1.13,1.6
MADA,1802,1,10,57113,38008,42349,1.4,0.2,1.35
MADA,1802,1,11,21703,4341,4341,0.53,0.02,5
MADA,1802,1,11.6,0,0,0,0,0,0
MADA,1802,2,0,2069934,1984361,9433882,100,100,0.22
MADA,1802,2,1,1900000,1812854,7449521,91.79,78.97,0.26
MADA,1802,2,2,1727083,1642833,5636667,83.44,59.75,0.31
MADA,1802,2,3,1560000,1483244,3993834,75.36,42.34,0.39
MADA,1802,2,4,1407789,1155281,2510590,68.01,26.61,0.56
MADA,1802,2,5,920000,661777,1355309,44.45,14.37,0.68
