Lake Code (MIDAS),Lake Code (numeric),Lake Name,Area (acres),Perimeter (miles),Depth_Mean (feet),Depth_Max (feet),Volume (acrefeet),Direct Drainage Area (sq miles),Total Drainage Area (sq miles),Flushing Rate (times/yr),Trophic Category,Dam,Elevation (feet),Major Drainage,Sub Drainage,HUC10 Name,HUC10 Code,USGS Quad24,DeLorme Page,Town(s),County,UTM_X,UTM_Y,Latitude,Longitude,Water Quality Statement,Invasive Plant Infestation,Fishery Management
98,98,Upper Narrows Pond,239,5.1,25,54,4950.587904,3.97683,6.75,1.5,MESO,3,172,KENNEBEC,COBBOSSEECONTEE STREAM,Cobbosseecontee Stream,103000311,Winthrop,12,Winthrop,Kennebec,424650,4906308,44.30612637,-69.94469312,Above average,None known,Coldwater + Warmwater
103,103,Lower Narrows Pond,223,4.3,31,106,5842.100206,1.347489,8.54,1.58,MESO,3,172,KENNEBEC,COBBOSSEECONTEE STREAM,Cobbosseecontee Stream,103000311,Winthrop,12,Winthrop,Kennebec,424028,4904575,44.29045444,-69.95223952,Above average,None known,Coldwater + Warmwater
1672,1672,Square Lake,8090,20.6,36,122,277828.6213,69.621552,255,0.93,MESO,1,577,ST. JOHN,LOWER FISH,Eagle Lake,101000303,Square Lake East,68,"T15 R6 WELS, T16 R5 WELS",Aroostook,548723,5212383,47.06316082,-68.35836765,Average,None known,Coldwater
1674,1674,Cross Lake,2470,13.9,20,46,52267.39242,54.146664,164,3.28,EUTRO,1,578,ST. JOHN,LOWER FISH,Eagle Lake,101000303,Square Lake East,68,"T16 R5 WELS, T17 R5 WELS",Aroostook,551214,5218138,47.11475686,-68.32491278,n/a,None known,Coldwater
1682,1682,Long Lake,6849,35.7,48,163,329456.0871,75.40533,88.6,0.29,EUTRO,1,581,ST. JOHN,LOWER FISH,Eagle Lake,101000303,Paulette Brook,68,"Saint Agatha, T17 R3 WELS, T17 R4 WELS",Aroostook,557631,5228568,47.20807564,-68.23899158,Below average,None known,Coldwater
1802,1802,Madawaska Lake,1569,11.6,16,38,25960.7137,29.818503,31.9,1.51,EUTRO,3,577,ST. JOHN,LOWER AROOSTOOK,Aroostook River (4) at Mouth in Canada,101000413,Stockholm,68,"Westmanland, T16 R4 WELS",Aroostook,559430,5208281,47.02537665,-68.21792373,Below average,None known,Coldwater
3130,3130,Sand (Walden) Pond,248,4.7,12,44,3733.105845,2.150577,2.59,0.79,MESO,1,503,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,4,Denmark,Oxford,358250,4868317,43.954324,-70.76665829,Above average,None known,Coldwater + Warmwater
3132,3132,Hancock Pond,761,8.3,17,59,14068.57333,4.181463,9.48,0.79,MESO,3,503,SACO,UPPER SACO,Saco River at Ossipee River,106000205,North Sebago,4,"Sebago, Denmark",Oxford,359891,4866648,43.93962088,-70.74577824,Average,None known,Coldwater + Warmwater
3134,3134,Moose Pond,1697,33.3,22,70,32020.44925,19.776042,25.6,1.04,MESO,3,418,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Pleasant Mtn,4,"Bridgton, Denmark, Sweden",Cumberland,356108,4878073,44.04170168,-70.79599161,Above average,None known,Coldwater + Warmwater
3198,3198,Jewett Pond (Five Kezar Ponds),43,1.6,11,41,562.8944082,0.984555,1.05,2.1,MESO,1,580,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,10,Waterford,Oxford,356484,4897378,44.21550611,-70.79655847,Average,None known,Warmwater
