"","YEAR","yrtot"
"1",1980,31.88
"2",1981,38.96
"3",1982,31.5
"4",1983,43.45
"5",1984,34.93
"6",1985,28.78
"7",1986,38.17
"8",1987,31.44
"9",1988,31.91
"10",1989,29.69
"11",1990,36.21
"12",1991,36.35
"13",1992,38.12
"14",1993,37.69
"15",1994,35.88
"16",1995,27.48
"17",1996,41.08
"18",1997,34.39
"19",1998,35.34
"20",1999,39.84
"21",2000,44.28
"22",2001,27.51
"23",2002,32.46
"24",2003,46.71
"25",2004,42.52
"26",2005,58.24
"27",2006,48.89
"28",2007,44.05
"29",2008,55.03
"30",2009,45.5
"31",2010,43.57
"32",2011,56.98
"33",2012,40.93
"34",2013,38.88
"35",2014,40.58
"36",2015,38.72
"37",2016,44.83
"38",2017,43.23
"39",2018,42.54
"40",2019,45.3
"41",2020,36.95
