STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/1/1980,,,,,0,0,10,19,1,,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/2/1980,,,,,0,0,10,20,1,,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/3/1980,,,,,0,0,10,21,-3,2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/4/1980,,,,,0,0,9,9,-2,2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/5/1980,,,,,0,0,9,16,-11,-10,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/6/1980,,,,,0,0,8,10,-12,-10,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/7/1980,,,,,0,0,8,13,-13,-4,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/8/1980,,,,,0.2,5,13,31,-4,20,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/9/1980,,,,,0,0,13,26,-1,2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/10/1980,,,,,0,0,13,22,-22,-22,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/11/1980,,,,,0.03,0.5,13,14,-23,3,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/12/1980,,,,,0.64,0,10,44,2,31,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/13/1980,,,,,0,0,10,31,-1,-1,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/14/1980,,,,,0,0,10,22,-2,19,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/15/1980,,,,,0.11,0,10,36,19,24,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/16/1980,,,,,0,0,9,30,5,5,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/17/1980,,,,,0,0,8,23,-8,-8,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/18/1980,,,,,0.04,0,8,26,-8,25,,,,,1,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/19/1980,,,,,0,0,8,34,25,31,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/20/1980,,,,,0.08,1,8,34,19,19,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/21/1980,,,,,0,0,8,20,-1,-1,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/22/1980,,,,,0,0,7,6,-4,-1,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/23/1980,,,,,0.08,1,8,18,-1,13,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/24/1980,,,,,0.19,4,12,23,12,12,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/25/1980,,,,,0,0,12,13,-6,-3,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/26/1980,,,,,0,0,12,8,-8,-4,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/27/1980,,,,,0,0,11,25,-4,16,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/28/1980,,,,,0,0,10,25,2,4,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/29/1980,,,,,0,0,9,22,2,2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/30/1980,,,,,0,0,9,22,-2,-1,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,1/31/1980,,,,,0,0,9,8,-2,0,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/1/1980,,,,,0,0,9,10,0,6,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/2/1980,,,,,0,0,9,14,4,5,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/3/1980,,,,,0.01,0,9,13,5,12,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/4/1980,,,,,0,0,9,19,5,7,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/5/1980,,,,,0.02,0,9,15,4,9,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/6/1980,,,,,0,0,9,22,9,13,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/7/1980,,,,,0,0,9,25,-14,-14,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/8/1980,,,,,0,0,8,23,-15,2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/9/1980,,,,,0,0,8,25,-10,15,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/10/1980,,,,,0,0,8,22,-15,20,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/11/1980,,,,,0,0,8,18,-14,11,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/12/1980,,,,,0,0,8,22,-12,-7,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/13/1980,,,,,0,0,8,26,-8,-8,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/14/1980,,,,,0,0,8,23,-8,0,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/15/1980,,,,,0,0,8,26,0,10,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/16/1980,,,,,0,0,8,21,-2,0,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/17/1980,,,,,0.18,3,11,16,0,9,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/18/1980,,,,,0,0,11,14,-8,-5,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/19/1980,,,,,0,0,11,25,-7,19,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/20/1980,,,,,0,0,11,35,6,14,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/21/1980,,,,,0.02,0,10,35,14,28,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/22/1980,,,,,0,0,10,35,-16,-13,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/23/1980,,,,,0.18,3,13,21,-13,13,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/24/1980,,,,,0,0,13,23,-12,-8,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/25/1980,,,,,0.1,1.5,14,26,-8,23,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/26/1980,,,,,0,0,14,32,-6,-3,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/27/1980,,,,,0,0,14,9,-17,-16,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/28/1980,,,,,0,0,14,17,-18,-18,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,2/29/1980,,,,,0,0,14,21,-18,-16,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/1/1980,,,,,0,0,14,8,-17,3,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/2/1980,,,,,0,0,14,12,-14,-5,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/3/1980,,,,,0,0,13,22,-12,-10,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/4/1980,,,,,0,0,13,28,-10,0,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/5/1980,,,,,0,0,12,34,0,17,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/6/1980,,,,,0.1,0.5,13,34,17,32,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/7/1980,,,,,0,0,13,33,3,15,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/8/1980,,,,,0,0,13,33,-5,-4,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/9/1980,,,,,0.24,3,16,26,-4,25,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/10/1980,,,,,0.06,1,17,33,-7,-2,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/11/1980,,,,,0,0,16,37,-3,34,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/12/1980,,,,,0.8,10,26,35,1,1,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/13/1980,,,,,0,0,26,13,-5,0,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/14/1980,,,,,0,0,25,24,-1,15,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/15/1980,,,,,0.45,7,32,24,15,23,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/16/1980,,,,,0,0,32,25,3,6,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/17/1980,,,,,0,0,31,23,-6,3,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/18/1980,,,,,0.67,0,27,41,2,41,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/19/1980,,,,,0.5,0,26,43,14,15,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/20/1980,,,,,0,0,24,28,-1,4,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/21/1980,,,,,0,0,23,39,4,18,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/22/1980,,,,,0,0,20,40,18,35,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/23/1980,,,,,0,0,17,42,32,34,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/24/1980,,,,,0,0,15,39,21,25,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/25/1980,,,,,0,0,14,40,25,34,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/26/1980,,,,,0.05,1,15,40,31,32,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/27/1980,,,,,0.31,0,15,39,30,32,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/28/1980,,,,,0,0,14,43,12,23,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/29/1980,,,,,0,0,13,49,23,37,,,,,,
USC00172878,"FORT KENT, ME US",47.2386,-68.61195,185.9,3/30/1980,,,,,0,0,12,47,19,29,,,,,,
