"","YEAR","yrtot"
"1",1980,64.5
"2",1981,87
"3",1982,109
"4",1983,93
"5",1984,93
"6",1985,64.5
"7",1986,102
"8",1987,61.7
"9",1988,74.8
"10",1989,89.3
"11",1990,105.5
"12",1991,73.4
"13",1992,58.5
"14",1993,76.7
"15",1994,94.3
"16",1995,74
"17",1996,59.5
"18",1997,139.2
"19",1998,86.3
"20",1999,80.8
"21",2000,86.5
"22",2001,54.1
"23",2002,77.1
"24",2003,90.1
"25",2004,57.6
"26",2005,140.3
"27",2006,55.1
"28",2007,138.5
"29",2008,140.4
"30",2009,107.1
"31",2010,46.5
"32",2011,104.3
"33",2012,110.3
"34",2013,118.7
"35",2014,105.9
"36",2015,75
"37",2016,101.7
"38",2017,89.5
"39",2018,138.1
"40",2019,144.6
"41",2020,133.3
