MIDAS,Lake,Town(s),Station,Date,Depth,Total P,Sample Type,Qualifier
98,Upper Narrows Pond,Winthrop,1,03/09/1979,4,9,G,PG
98,Upper Narrows Pond,Winthrop,1,03/09/1979,8,9,G,PG
98,Upper Narrows Pond,Winthrop,1,03/09/1979,12,7,G,PG
98,Upper Narrows Pond,Winthrop,1,03/09/1979,18,8,G,PG
98,Upper Narrows Pond,Winthrop,1,04/26/1979,1,13,G,PG
98,Upper Narrows Pond,Winthrop,1,04/26/1979,6,7,G,PG
98,Upper Narrows Pond,Winthrop,1,04/26/1979,11,7,G,PG
98,Upper Narrows Pond,Winthrop,1,04/26/1979,15,8,G,PG
98,Upper Narrows Pond,Winthrop,1,06/15/1979,1,21,G,PG
98,Upper Narrows Pond,Winthrop,1,06/15/1979,5,10,G,PG
98,Upper Narrows Pond,Winthrop,1,06/15/1979,9,9,G,PG
98,Upper Narrows Pond,Winthrop,1,06/15/1979,13,5,G,PG
98,Upper Narrows Pond,Winthrop,1,06/15/1979,17,6,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,1,10,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,3,6,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,5,6,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,7,9,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,12,9,G,PG
98,Upper Narrows Pond,Winthrop,1,07/03/1979,18,17,G,PG
98,Upper Narrows Pond,Winthrop,1,07/18/1979,1,8,G,PG
98,Upper Narrows Pond,Winthrop,1,07/18/1979,4,5,G,PG
98,Upper Narrows Pond,Winthrop,1,07/18/1979,7,7,G,PG
98,Upper Narrows Pond,Winthrop,1,07/18/1979,11,7,G,PG
98,Upper Narrows Pond,Winthrop,1,07/18/1979,16,12,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,2,7,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,4,7,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,6,21,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,8,11,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,12,10,G,PG
98,Upper Narrows Pond,Winthrop,1,08/03/1979,16,18,G,PG
98,Upper Narrows Pond,Winthrop,1,08/16/1979,1,9,G,PG
98,Upper Narrows Pond,Winthrop,1,08/16/1979,4,10,G,PG
98,Upper Narrows Pond,Winthrop,1,08/16/1979,6,11,G,PG
98,Upper Narrows Pond,Winthrop,1,08/16/1979,7,10,G,PG
98,Upper Narrows Pond,Winthrop,1,08/16/1979,17,16,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,0,5,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,3,5,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,6,7,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,8,5,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,12,9,G,PG
98,Upper Narrows Pond,Winthrop,1,09/07/1979,17,35,G,PG
98,Upper Narrows Pond,Winthrop,1,10/11/1979,1,9,G,PG
98,Upper Narrows Pond,Winthrop,1,10/11/1979,5,9,G,PG
