"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1881,3814,"Cochnewagon Pond, Monmouth","","","4/4/1881","Joe","Saunders","SA-2246",""
1882,3814,"Cochnewagon Pond, Monmouth","","","4/25/1882","Joe","Saunders","SA-2246",""
1883,3814,"Cochnewagon Pond, Monmouth","","","4/26/1883","Joe","Saunders","SA-2246",""
1884,3814,"Cochnewagon Pond, Monmouth","","","4/25/1884","Joe","Saunders","SA-2246",""
1885,3814,"Cochnewagon Pond, Monmouth","","","4/24/1885","Joe","Saunders","SA-2246",""
1886,3814,"Cochnewagon Pond, Monmouth","","","4/26/1886","Joe","Saunders","SA-2246",""
1887,3814,"Cochnewagon Pond, Monmouth","","","5/4/1887","Joe","Saunders","SA-2246",""
1888,3814,"Cochnewagon Pond, Monmouth","","","5/7/1888","Joe","Saunders","SA-2246",""
1889,3814,"Cochnewagon Pond, Monmouth","","","4/4/1889","Joe","Saunders","SA-2246",""
1890,3814,"Cochnewagon Pond, Monmouth","","","4/26/1890","Joe","Saunders","SA-2246",""
1891,3814,"Cochnewagon Pond, Monmouth","","","4/24/1891","Joe","Saunders","SA-2246",""
1892,3814,"Cochnewagon Pond, Monmouth","","","4/2/1892","Joe","Saunders","SA-2246",""
1893,3814,"Cochnewagon Pond, Monmouth","","","4/30/1893","Joe","Saunders","SA-2246",""
1894,3814,"Cochnewagon Pond, Monmouth","","","4/21/1894","Joe","Saunders","SA-2246",""
1895,3814,"Cochnewagon Pond, Monmouth","","","4/19/1895","Joe","Saunders","SA-2246",""
1896,3814,"Cochnewagon Pond, Monmouth","","","4/20/1896","Joe","Saunders","SA-2246",""
1897,3814,"Cochnewagon Pond, Monmouth","","","4/23/1897","Joe","Saunders","SA-2246",""
1898,3814,"Cochnewagon Pond, Monmouth","","","4/14/1898","Joe","Saunders","SA-2246",""
1899,3814,"Cochnewagon Pond, Monmouth","","","4/25/1899","Joe","Saunders","SA-2246",""
1900,3814,"Cochnewagon Pond, Monmouth","","","04/24/1900","Joe","Saunders","SA-2246",""
1901,3814,"Cochnewagon Pond, Monmouth","","","04/19/1901","Joe","Saunders","SA-2246",""
1902,3814,"Cochnewagon Pond, Monmouth","","","04/01/1902","Joe","Saunders","SA-2246",""
1903,3814,"Cochnewagon Pond, Monmouth","","","04/01/1903","Joe","Saunders","SA-2246",""
1904,3814,"Cochnewagon Pond, Monmouth","","","04/25/1904","Joe","Saunders","SA-2246",""
1905,3814,"Cochnewagon Pond, Monmouth","","","04/19/1905","Joe","Saunders","SA-2246",""
1906,3814,"Cochnewagon Pond, Monmouth","","","04/22/1906","Joe","Saunders","SA-2246",""
1907,3814,"Cochnewagon Pond, Monmouth","","","04/30/1907","Joe","Saunders","SA-2246",""
1908,3814,"Cochnewagon Pond, Monmouth","","","04/18/1908","Joe","Saunders","SA-2246",""
1909,3814,"Cochnewagon Pond, Monmouth","","","04/19/1909","Joe","Saunders","SA-2246",""
1910,3814,"Cochnewagon Pond, Monmouth","","","04/02/1910","Joe","Saunders","SA-2246",""
1911,3814,"Cochnewagon Pond, Monmouth","","","04/26/1911","Joe","Saunders","SA-2246",""
1912,3814,"Cochnewagon Pond, Monmouth","","","04/22/1912","Joe","Saunders","SA-2246",""
1913,3814,"Cochnewagon Pond, Monmouth","","","04/15/1913","Joe","Saunders","SA-2246",""
1914,3814,"Cochnewagon Pond, Monmouth","","","04/24/1914","Joe","Saunders","SA-2246",""
1915,3814,"Cochnewagon Pond, Monmouth","","","04/10/1915","Joe","Saunders","SA-2246",""
1916,3814,"Cochnewagon Pond, Monmouth","","","04/19/1916","Joe","Saunders","SA-2246",""
1917,3814,"Cochnewagon Pond, Monmouth","","","04/24/1917","Joe","Saunders","SA-2246",""
1918,3814,"Cochnewagon Pond, Monmouth","","","04/23/1918","Joe","Saunders","SA-2246",""
1919,3814,"Cochnewagon Pond, Monmouth","","","04/07/1919","Joe","Saunders","SA-2246",""
1920,3814,"Cochnewagon Pond, Monmouth","","","04/27/1920","Joe","Saunders","SA-2246",""
1921,3814,"Cochnewagon Pond, Monmouth","","","03/28/1921","Joe","Saunders","SA-2246",""
1922,3814,"Cochnewagon Pond, Monmouth","","","04/14/1922","Joe","Saunders","SA-2246",""
1923,3814,"Cochnewagon Pond, Monmouth","","","04/24/1923","Joe","Saunders","SA-2246",""
1924,3814,"Cochnewagon Pond, Monmouth","","","04/18/1924","Joe","Saunders","SA-2246",""
1925,3814,"Cochnewagon Pond, Monmouth","","","04/05/1925","Joe","Saunders","SA-2246",""
1926,3814,"Cochnewagon Pond, Monmouth","","","05/02/1926","Joe","Saunders","SA-2246",""
1927,3814,"Cochnewagon Pond, Monmouth","","","04/14/1927","Joe","Saunders","SA-2246",""
1928,3814,"Cochnewagon Pond, Monmouth","","","04/18/1928","Joe","Saunders","SA-2246",""
1929,3814,"Cochnewagon Pond, Monmouth","","","04/16/1929","Joe","Saunders","SA-2246",""
1930,3814,"Cochnewagon Pond, Monmouth","","","04/12/1930","Joe","Saunders","SA-2246",""
1931,3814,"Cochnewagon Pond, Monmouth","","","04/13/1931","Joe","Saunders","SA-2246",""
1932,3814,"Cochnewagon Pond, Monmouth","","","04/19/1932","Joe","Saunders","SA-2246",""
1933,3814,"Cochnewagon Pond, Monmouth","","","04/20/1933","Joe","Saunders","SA-2246",""
1934,3814,"Cochnewagon Pond, Monmouth","","","04/19/1934","Joe","Saunders","SA-2246",""
1935,3814,"Cochnewagon Pond, Monmouth","","","04/21/1935","Joe","Saunders","SA-2246",""
1936,3814,"Cochnewagon Pond, Monmouth","","","04/13/1936","Joe","Saunders","SA-2246",""
1937,3814,"Cochnewagon Pond, Monmouth","","","04/22/1937","Joe","Saunders","SA-2246",""
1938,3814,"Cochnewagon Pond, Monmouth","","","04/17/1938","Joe","Saunders","SA-2246",""
1939,3814,"Cochnewagon Pond, Monmouth","","","04/04/1939","Joe","Saunders","SA-2246",""
1940,3814,"Cochnewagon Pond, Monmouth","","","05/02/1940","Joe","Saunders","SA-2246",""
1941,3814,"Cochnewagon Pond, Monmouth","","","04/13/1941","Joe","Saunders","SA-2246",""
1942,3814,"Cochnewagon Pond, Monmouth","","","04/24/1942","Joe","Saunders","SA-2246",""
1943,3814,"Cochnewagon Pond, Monmouth","","","04/24/1943","Joe","Saunders","SA-2246",""
1944,3814,"Cochnewagon Pond, Monmouth","","","04/27/1944","Joe","Saunders","SA-2246",""
1945,3814,"Cochnewagon Pond, Monmouth","","","04/03/1945","Joe","Saunders","SA-2246",""
1946,3814,"Cochnewagon Pond, Monmouth","","","03/31/1946","Joe","Saunders","SA-2246",""
1947,3814,"Cochnewagon Pond, Monmouth","","","04/13/1947","Joe","Saunders","SA-2246",""
1948,3814,"Cochnewagon Pond, Monmouth","","","04/07/1948","Joe","Saunders","SA-2246",""
1949,3814,"Cochnewagon Pond, Monmouth","","","04/08/1949","Joe","Saunders","SA-2246",""
1950,3814,"Cochnewagon Pond, Monmouth","","","04/20/1950","Joe","Saunders","SA-2246",""
1951,3814,"Cochnewagon Pond, Monmouth","","","04/07/1951","Joe","Saunders","SA-2246",""
1952,3814,"Cochnewagon Pond, Monmouth","","","04/19/1952","Joe","Saunders","SA-2246",""
1953,3814,"Cochnewagon Pond, Monmouth","","","03/27/1953","Joe","Saunders","SA-2246",""
1954,3814,"Cochnewagon Pond, Monmouth","","","04/17/1954","Joe","Saunders","SA-2246",""
1955,3814,"Cochnewagon Pond, Monmouth","","","04/13/1955","Joe","Saunders","SA-2246",""
1956,3814,"Cochnewagon Pond, Monmouth","","","04/27/1956","Joe","Saunders","SA-2246",""
1957,3814,"Cochnewagon Pond, Monmouth","","","04/14/1957","Joe","Saunders","SA-2246",""
1958,3814,"Cochnewagon Pond, Monmouth","","","04/17/1958","Joe","Saunders","SA-2246",""
1959,3814,"Cochnewagon Pond, Monmouth","","","04/18/1959","Joe","Saunders","SA-2246",""
1960,3814,"Cochnewagon Pond, Monmouth","","","04/23/1960","Joe","Saunders","SA-2246",""
1961,3814,"Cochnewagon Pond, Monmouth","","","04/29/1961","Joe","Saunders","SA-2246",""
1962,3814,"Cochnewagon Pond, Monmouth","","","04/20/1962","Joe","Saunders","SA-2246",""
