"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1873,5780,"Long Lake, Bridgton","","","4/30/1873","Colin","Holme","",""
1876,5780,"Long Lake, Bridgton","","","4/9/1876","Colin","Holme","",""
1878,5780,"Long Lake, Bridgton","","","4/30/1878","Colin","Holme","",""
1879,5780,"Long Lake, Bridgton","","","5/15/1879","Colin","Holme","",""
1880,5780,"Long Lake, Bridgton","","","4/19/1880","Colin","Holme","",""
1881,5780,"Long Lake, Bridgton","","","4/28/1881","Colin","Holme","",""
1882,5780,"Long Lake, Bridgton","","","4/25/1882","Colin","Holme","",""
1883,5780,"Long Lake, Bridgton","","","4/27/1883","Colin","Holme","",""
1884,5780,"Long Lake, Bridgton","","","4/25/1884","Colin","Holme","",""
1885,5780,"Long Lake, Bridgton","","","4/26/1885","Colin","Holme","",""
1886,5780,"Long Lake, Bridgton","","","4/23/1886","Colin","Holme","",""
1890,5780,"Long Lake, Bridgton","","","4/26/1890","Colin","Holme","",""
1891,5780,"Long Lake, Bridgton","","","4/25/1891","Colin","Holme","",""
1892,5780,"Long Lake, Bridgton","","","4/16/1892","Colin","Holme","",""
1893,5780,"Long Lake, Bridgton","","","5/9/1893","Colin","Holme","",""
1894,5780,"Long Lake, Bridgton","","","4/22/1894","Colin","Holme","",""
1895,5780,"Long Lake, Bridgton","","","4/22/1895","Colin","Holme","",""
1896,5780,"Long Lake, Bridgton","","","4/26/1896","Colin","Holme","",""
1897,5780,"Long Lake, Bridgton","","","4/26/1897","Colin","Holme","",""
1898,5780,"Long Lake, Bridgton","","","4/16/1898","Colin","Holme","",""
1899,5780,"Long Lake, Bridgton","","","4/29/1899","Colin","Holme","",""
1900,5780,"Long Lake, Bridgton","","","04/29/1900","Colin","Holme","",""
1901,5780,"Long Lake, Bridgton","","","04/27/1901","Colin","Holme","",""
1902,5780,"Long Lake, Bridgton","","","04/06/1902","Colin","Holme","",""
1903,5780,"Long Lake, Bridgton","","","04/05/1903","Colin","Holme","",""
1905,5780,"Long Lake, Bridgton","","","04/22/1905","Colin","Holme","",""
1906,5780,"Long Lake, Bridgton","","","04/23/1906","Colin","Holme","",""
1907,5780,"Long Lake, Bridgton","","","04/30/1907","Colin","Holme","",""
1908,5780,"Long Lake, Bridgton","","","04/26/1908","Colin","Holme","",""
1910,5780,"Long Lake, Bridgton","","","04/05/1910","Colin","Holme","",""
1911,5780,"Long Lake, Bridgton","","","04/28/1911","Colin","Holme","",""
1913,5780,"Long Lake, Bridgton","","","04/21/1913","Colin","Holme","",""
1914,5780,"Long Lake, Bridgton","","","04/23/1914","Colin","Holme","",""
1916,5780,"Long Lake, Bridgton","","","04/22/1916","Colin","Holme","",""
1917,5780,"Long Lake, Bridgton","","","04/28/1917","Colin","Holme","",""
1919,5780,"Long Lake, Bridgton","","","04/12/1919","Colin","Holme","",""
1921,5780,"Long Lake, Bridgton","","","04/03/1921","Colin","Holme","",""
1922,5780,"Long Lake, Bridgton","","","04/14/1922","Colin","Holme","",""
1923,5780,"Long Lake, Bridgton","","","04/25/1923","Colin","Holme","",""
1924,5780,"Long Lake, Bridgton","","","04/18/1924","Colin","Holme","",""
1925,5780,"Long Lake, Bridgton","","","04/12/1925","Colin","Holme","",""
1926,5780,"Long Lake, Bridgton","","","05/02/1926","Colin","Holme","",""
1927,5780,"Long Lake, Bridgton","","","04/17/1927","Colin","Holme","",""
1928,5780,"Long Lake, Bridgton","","","04/21/1928","Colin","Holme","",""
1929,5780,"Long Lake, Bridgton","","","04/24/1929","Colin","Holme","",""
1944,5780,"Long Lake, Bridgton","","","04/29/1944","Colin","Holme","",""
1945,5780,"Long Lake, Bridgton","","","04/07/1945","Colin","Holme","",""
1946,5780,"Long Lake, Bridgton","","","04/01/1946","Colin","Holme","",""
1947,5780,"Long Lake, Bridgton","","","04/16/1947","Colin","Holme","",""
1948,5780,"Long Lake, Bridgton","","","04/09/1948","Colin","Holme","",""
1949,5780,"Long Lake, Bridgton","","","04/10/1949","Colin","Holme","",""
1950,5780,"Long Lake, Bridgton","","","04/23/1950","Colin","Holme","",""
1952,5780,"Long Lake, Bridgton","","","04/20/1952","Colin","Holme","",""
1953,5780,"Long Lake, Bridgton","","","04/12/1953","Colin","Holme","",""
1954,5780,"Long Lake, Bridgton","","","04/18/1954","Colin","Holme","",""
1955,5780,"Long Lake, Bridgton","","","04/13/1955","Colin","Holme","",""
1956,5780,"Long Lake, Bridgton","","","05/01/1956","Colin","Holme","",""
