"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1909,3446,"Pleasant Lake, Otisfield","","","04/19/1909","Jenny Bell","Winslow Scribner","",""
1910,3446,"Pleasant Lake, Otisfield","","","04/04/1910","Jenny Bell","Winslow Scribner","",""
1912,3446,"Pleasant Lake, Otisfield","","","04/23/1912","Jenny Bell","Winslow Scribner","",""
1913,3446,"Pleasant Lake, Otisfield","","","04/13/1913","Jenny Bell","Winslow Scribner","",""
1914,3446,"Pleasant Lake, Otisfield","","","04/24/1914","Jenny Bell","Winslow Scribner","",""
1915,3446,"Pleasant Lake, Otisfield","","","04/13/1915","Jenny Bell","Winslow Scribner","",""
1916,3446,"Pleasant Lake, Otisfield","","","04/22/1916","Jenny Bell","Winslow Scribner","",""
1917,3446,"Pleasant Lake, Otisfield","","","04/28/1917","Jenny Bell","Winslow Scribner","",""
1918,3446,"Pleasant Lake, Otisfield","","","04/20/1918","Jenny Bell","Winslow Scribner","",""
1919,3446,"Pleasant Lake, Otisfield","","","04/11/1919","Jenny Bell","Winslow Scribner","",""
1920,3446,"Pleasant Lake, Otisfield","","","04/27/1920","Jenny Bell","Winslow Scribner","",""
1921,3446,"Pleasant Lake, Otisfield","","","04/02/1921","Jenny Bell","Winslow Scribner","",""
1922,3446,"Pleasant Lake, Otisfield","","","04/08/1922","Jenny Bell","Winslow Scribner","",""
1926,3446,"Pleasant Lake, Otisfield","","","05/02/1926","Jenny Bell","Winslow Scribner","",""
1927,3446,"Pleasant Lake, Otisfield","","","04/17/1927","Jenny Bell","Winslow Scribner","",""
1928,3446,"Pleasant Lake, Otisfield","","","04/20/1928","Jenny Bell","Winslow Scribner","",""
1929,3446,"Pleasant Lake, Otisfield","","","04/23/1929","Jenny Bell","Winslow Scribner","",""
1930,3446,"Pleasant Lake, Otisfield","","","04/13/1930","Jenny Bell","Winslow Scribner","",""
1931,3446,"Pleasant Lake, Otisfield","","","04/13/1931","Jenny Bell","Winslow Scribner","",""
1932,3446,"Pleasant Lake, Otisfield","","","04/21/1932","Jenny Bell","Winslow Scribner","",""
1933,3446,"Pleasant Lake, Otisfield","","","04/24/1933","Jenny Bell","Winslow Scribner","",""
1934,3446,"Pleasant Lake, Otisfield","","","04/23/1934","Jenny Bell","Winslow Scribner","",""
1935,3446,"Pleasant Lake, Otisfield","","","04/25/1935","Jenny Bell","Winslow Scribner","",""
1936,3446,"Pleasant Lake, Otisfield","","","04/13/1936","Jenny Bell","Winslow Scribner","",""
1937,3446,"Pleasant Lake, Otisfield","","","04/26/1937","Jenny Bell","Winslow Scribner","",""
1938,3446,"Pleasant Lake, Otisfield","","","04/16/1938","Jenny Bell","Winslow Scribner","",""
1939,3446,"Pleasant Lake, Otisfield","","","05/05/1939","Jenny Bell","Winslow Scribner","",""
1940,3446,"Pleasant Lake, Otisfield","","","05/07/1940","Jenny Bell","Winslow Scribner","",""
1941,3446,"Pleasant Lake, Otisfield","","","04/15/1941","Jenny Bell","Winslow Scribner","",""
1942,3446,"Pleasant Lake, Otisfield","","","04/16/1942","Jenny Bell","Winslow Scribner","",""
1943,3446,"Pleasant Lake, Otisfield","","","04/25/1943","Jenny Bell","Winslow Scribner","",""
1944,3446,"Pleasant Lake, Otisfield","","","04/29/1944","Jenny Bell","Winslow Scribner","",""
1945,3446,"Pleasant Lake, Otisfield","","","04/05/1945","Jenny Bell","Winslow Scribner","",""
1946,3446,"Pleasant Lake, Otisfield","","","04/05/1946","Jenny Bell","Winslow Scribner","",""
1947,3446,"Pleasant Lake, Otisfield","","","04/16/1947","Jenny Bell","Winslow Scribner","",""
1948,3446,"Pleasant Lake, Otisfield","","","04/09/1948","Jenny Bell","Winslow Scribner","",""
1949,3446,"Pleasant Lake, Otisfield","","","04/12/1949","Jenny Bell","Winslow Scribner","",""
1950,3446,"Pleasant Lake, Otisfield","","","04/23/1950","Jenny Bell","Winslow Scribner","",""
1951,3446,"Pleasant Lake, Otisfield","","","04/07/1951","Jenny Bell","Winslow Scribner","",""
1952,3446,"Pleasant Lake, Otisfield","","","04/21/1952","Jenny Bell","Winslow Scribner","",""
1953,3446,"Pleasant Lake, Otisfield","","","04/05/1953","Jenny Bell","Winslow Scribner","",""
1954,3446,"Pleasant Lake, Otisfield","","","04/17/1954","Jenny Bell","Winslow Scribner","",""
1955,3446,"Pleasant Lake, Otisfield","","","04/18/1955","Jenny Bell","Winslow Scribner","",""
1956,3446,"Pleasant Lake, Otisfield","","","04/30/1956","Jenny Bell","Winslow Scribner","",""
1957,3446,"Pleasant Lake, Otisfield","","","04/15/1957","Jenny Bell","Winslow Scribner","",""
1958,3446,"Pleasant Lake, Otisfield","","","04/20/1958","Jenny Bell","Winslow Scribner","",""
1959,3446,"Pleasant Lake, Otisfield","","","04/22/1959","Jenny Bell","Winslow Scribner","",""
1960,3446,"Pleasant Lake, Otisfield","","","04/25/1960","Jenny Bell","Winslow Scribner","",""
1961,3446,"Pleasant Lake, Otisfield","","","05/01/1961","Jenny Bell","Winslow Scribner","",""
1962,3446,"Pleasant Lake, Otisfield","","","04/25/1962","Jenny Bell","Winslow Scribner","",""
2009,3446,"Pleasant Lake, Otisfield","","12/19/2008","04/16/2009","Lew","Wetzel","WE-0859",""
2010,3446,"Pleasant Lake, Otisfield","","12/29/2009","03/23/2010","Lew","Wetzel","WE-0859",""
