"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1908,12,"Porter Lake, Strong","","","05/07/1908","Jean","Ferrari","",""
1908,12,"Porter Lake, Strong","","","05/07/1908","Jean","Ferrari","",""
1909,12,"Porter Lake, Strong","","","05/08/1909","Jean","Ferrari","",""
1909,12,"Porter Lake, Strong","","","05/08/1909","Jean","Ferrari","",""
1910,12,"Porter Lake, Strong","","","04/15/1910","Jean","Ferrari","",""
1910,12,"Porter Lake, Strong","","","04/15/1910","Jean","Ferrari","",""
1911,12,"Porter Lake, Strong","","","05/02/1911","Jean","Ferrari","",""
1911,12,"Porter Lake, Strong","","","05/02/1911","Jean","Ferrari","",""
1912,12,"Porter Lake, Strong","","","04/26/1912","Jean","Ferrari","",""
1912,12,"Porter Lake, Strong","","","04/26/1912","Jean","Ferrari","",""
1913,12,"Porter Lake, Strong","","","04/26/1913","Jean","Ferrari","",""
1913,12,"Porter Lake, Strong","","","04/26/1913","Jean","Ferrari","",""
1914,12,"Porter Lake, Strong","","","05/06/1914","Jean","Ferrari","",""
1914,12,"Porter Lake, Strong","","","05/06/1914","Jean","Ferrari","",""
1915,12,"Porter Lake, Strong","","","04/20/1915","Jean","Ferrari","",""
1915,12,"Porter Lake, Strong","","","04/20/1915","Jean","Ferrari","",""
1916,12,"Porter Lake, Strong","","","04/27/1916","Jean","Ferrari","",""
1916,12,"Porter Lake, Strong","","","04/27/1916","Jean","Ferrari","",""
1917,12,"Porter Lake, Strong","","","05/03/1917","Jean","Ferrari","",""
1917,12,"Porter Lake, Strong","","","05/03/1917","Jean","Ferrari","",""
1919,12,"Porter Lake, Strong","","","04/13/1919","Jean","Ferrari","",""
1919,12,"Porter Lake, Strong","","","05/13/1919","Jean","Ferrari","",""
1920,12,"Porter Lake, Strong","","","05/02/1920","Jean","Ferrari","",""
1920,12,"Porter Lake, Strong","","","05/02/1920","Jean","Ferrari","",""
1921,12,"Porter Lake, Strong","","","04/11/1921","Jean","Ferrari","",""
1921,12,"Porter Lake, Strong","","","04/11/1921","Jean","Ferrari","",""
1922,12,"Porter Lake, Strong","","","04/19/1922","Jean","Ferrari","",""
1922,12,"Porter Lake, Strong","","","04/19/1922","Jean","Ferrari","",""
1923,12,"Porter Lake, Strong","","","05/03/1923","Jean","Ferrari","",""
1923,12,"Porter Lake, Strong","","","05/03/1923","Jean","Ferrari","",""
1924,12,"Porter Lake, Strong","","","04/27/1924","Jean","Ferrari","",""
1924,12,"Porter Lake, Strong","","","04/27/1924","Jean","Ferrari","",""
1925,12,"Porter Lake, Strong","","","04/16/1925","Jean","Ferrari","",""
1925,12,"Porter Lake, Strong","","","04/16/1925","Jean","Ferrari","",""
1952,12,"Porter Lake, Strong","","","05/02/1952","Jean","Ferrari","",""
1952,12,"Porter Lake, Strong","","","05/02/1952","Jean","Ferrari","",""
1953,12,"Porter Lake, Strong","","","04/29/1953","Jean","Ferrari","",""
1953,12,"Porter Lake, Strong","","","04/29/1953","Jean","Ferrari","",""
1954,12,"Porter Lake, Strong","","","04/30/1954","Jean","Ferrari","",""
1954,12,"Porter Lake, Strong","","","04/30/1954","Jean","Ferrari","",""
1955,12,"Porter Lake, Strong","","","05/06/1955","Jean","Ferrari","",""
1955,12,"Porter Lake, Strong","","","05/06/1955","Jean","Ferrari","",""
1956,12,"Porter Lake, Strong","","","05/10/1956","Jean","Ferrari","",""
1956,12,"Porter Lake, Strong","","","05/10/1956","Jean","Ferrari","",""
1957,12,"Porter Lake, Strong","","","04/20/1957","Jean","Ferrari","",""
1957,12,"Porter Lake, Strong","","","04/20/1957","Jean","Ferrari","",""
1958,12,"Porter Lake, Strong","","","04/25/1958","Jean","Ferrari","",""
1958,12,"Porter Lake, Strong","","","04/25/1958","Jean","Ferrari","",""
1959,12,"Porter Lake, Strong","","","05/01/1959","Jean","Ferrari","",""
1959,12,"Porter Lake, Strong","","","05/01/1959","Jean","Ferrari","",""
1960,12,"Porter Lake, Strong","","","04/28/1960","Jean","Ferrari","",""
1960,12,"Porter Lake, Strong","","","04/28/1960","Jean","Ferrari","",""
1961,12,"Porter Lake, Strong","","","05/09/1961","Jean","Ferrari","",""
1961,12,"Porter Lake, Strong","","","05/09/1961","Jean","Ferrari","",""
1962,12,"Porter Lake, Strong","","","05/03/1962","Jean","Ferrari","",""
1962,12,"Porter Lake, Strong","","","05/03/1962","Jean","Ferrari","",""
1963,12,"Porter Lake, Strong","","","04/26/1963","Jean","Ferrari","",""
1963,12,"Porter Lake, Strong","","","04/26/1963","Jean","Ferrari","",""
1964,12,"Porter Lake, Strong","","","04/27/1964","Jean","Ferrari","",""
1964,12,"Porter Lake, Strong","","","04/27/1964","Jean","Ferrari","",""
1965,12,"Porter Lake, Strong","","","04/30/1965","Jean","Ferrari","",""
1965,12,"Porter Lake, Strong","","","04/30/1965","Jean","Ferrari","",""
1966,12,"Porter Lake, Strong","","","04/30/1966","Jean","Ferrari","",""
1966,12,"Porter Lake, Strong","","","04/30/1966","Jean","Ferrari","",""
1967,12,"Porter Lake, Strong","","","04/30/1967","Jean","Ferrari","",""
1967,12,"Porter Lake, Strong","","","04/30/1967","Jean","Ferrari","",""
1968,12,"Porter Lake, Strong","","","04/16/1968","Jean","Ferrari","",""
1968,12,"Porter Lake, Strong","","","04/16/1968","Jean","Ferrari","",""
1969,12,"Porter Lake, Strong","","","05/07/1969","Jean","Ferrari","",""
1969,12,"Porter Lake, Strong","","","05/07/1969","Jean","Ferrari","",""
1970,12,"Porter Lake, Strong","","","05/05/1970","Jean","Ferrari","",""
1970,12,"Porter Lake, Strong","","","05/05/1970","Jean","Ferrari","",""
1971,12,"Porter Lake, Strong","","","05/04/1971","Jean","Ferrari","",""
1971,12,"Porter Lake, Strong","","","05/04/1971","Jean","Ferrari","",""
