"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1874,3796,"Sabattus Pond, Greene","","","5/9/1874","Johnny","Coburn","",""
1875,3796,"Sabattus Pond, Greene","","","5/2/1875","Johnny","Coburn","",""
1879,3796,"Sabattus Pond, Greene","","","5/1/1879","Johnny","Coburn","",""
1887,3796,"Sabattus Pond, Greene","","","5/7/1887","Johnny","Coburn","",""
1893,3796,"Sabattus Pond, Greene","","","5/2/1893","Johnny","Coburn","",""
1910,3796,"Sabattus Pond, Greene","","","03/29/1910","Johnny","Coburn","",""
1912,3796,"Sabattus Pond, Greene","","","03/31/1912","Johnny","Coburn","",""
1921,3796,"Sabattus Pond, Greene","","","03/28/1921","Johnny","Coburn","",""
1928,3796,"Sabattus Pond, Greene","","","04/28/1928","Johnny","Coburn","",""
1930,3796,"Sabattus Pond, Greene","","","04/12/1930","Johnny","Coburn","",""
1932,3796,"Sabattus Pond, Greene","","","04/16/1932","Johnny","Coburn","",""
1933,3796,"Sabattus Pond, Greene","","","04/17/1933","Johnny","Coburn","",""
1934,3796,"Sabattus Pond, Greene","","","04/20/1934","Johnny","Coburn","",""
1935,3796,"Sabattus Pond, Greene","","","04/23/1935","Johnny","Coburn","",""
1936,3796,"Sabattus Pond, Greene","","","04/11/1936","Johnny","Coburn","",""
1937,3796,"Sabattus Pond, Greene","","","04/22/1937","Johnny","Coburn","",""
1938,3796,"Sabattus Pond, Greene","","","04/16/1938","Johnny","Coburn","",""
1939,3796,"Sabattus Pond, Greene","","","05/04/1939","Johnny","Coburn","",""
1940,3796,"Sabattus Pond, Greene","","","05/01/1940","Johnny","Coburn","",""
1941,3796,"Sabattus Pond, Greene","","","04/12/1941","Johnny","Coburn","",""
1942,3796,"Sabattus Pond, Greene","","","04/10/1942","Johnny","Coburn","",""
1943,3796,"Sabattus Pond, Greene","","","04/22/1943","Johnny","Coburn","",""
1944,3796,"Sabattus Pond, Greene","","","04/28/1944","Johnny","Coburn","",""
1945,3796,"Sabattus Pond, Greene","","","04/03/1945","Johnny","Coburn","",""
1946,3796,"Sabattus Pond, Greene","","","04/09/1946","Johnny","Coburn","",""
1947,3796,"Sabattus Pond, Greene","","","04/13/1947","Johnny","Coburn","",""
1948,3796,"Sabattus Pond, Greene","","","04/04/1948","Johnny","Coburn","",""
1949,3796,"Sabattus Pond, Greene","","","04/07/1949","Johnny","Coburn","",""
1951,3796,"Sabattus Pond, Greene","","","04/04/1951","Johnny","Coburn","",""
1952,3796,"Sabattus Pond, Greene","","","04/20/1952","Johnny","Coburn","",""
1953,3796,"Sabattus Pond, Greene","","","05/25/1953","Johnny","Coburn","",""
1954,3796,"Sabattus Pond, Greene","","","04/13/1954","Johnny","Coburn","",""
1956,3796,"Sabattus Pond, Greene","","","04/25/1956","Johnny","Coburn","",""
1957,3796,"Sabattus Pond, Greene","","","04/10/1957","Johnny","Coburn","",""
1958,3796,"Sabattus Pond, Greene","","","04/16/1958","Johnny","Coburn","",""
1959,3796,"Sabattus Pond, Greene","","","04/21/1959","Johnny","Coburn","",""
1960,3796,"Sabattus Pond, Greene","","","04/20/1960","Johnny","Coburn","",""
1961,3796,"Sabattus Pond, Greene","","","04/30/1961","Johnny","Coburn","",""
