"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1882,5492,"Swan Lake, Swanville","","","4/19/1882","Stan ","Wood","WO-0115","From the Swan Lake Association"
1891,5492,"Swan Lake, Swanville","","","4/23/1891","Stan ","Wood","WO-0115",""
1893,5492,"Swan Lake, Swanville","","","5/4/1893","Stan ","Wood","WO-0115",""
1895,5492,"Swan Lake, Swanville","","","4/23/1895","Stan ","Wood","WO-0115",""
1896,5492,"Swan Lake, Swanville","","","4/19/1896","Stan ","Wood","WO-0115",""
1897,5492,"Swan Lake, Swanville","","","4/25/1897","Stan ","Wood","WO-0115",""
1898,5492,"Swan Lake, Swanville","","","4/19/1898","Stan ","Wood","WO-0115",""
1899,5492,"Swan Lake, Swanville","","","4/27/1899","Stan ","Wood","WO-0115",""
1901,5492,"Swan Lake, Swanville","","","04/22/1901","Stan ","Wood","WO-0115",""
1902,5492,"Swan Lake, Swanville","","","03/31/1902","Stan ","Wood","WO-0115",""
1903,5492,"Swan Lake, Swanville","","","04/02/1903","Stan ","Wood","WO-0115",""
1904,5492,"Swan Lake, Swanville","","","05/01/1904","Stan ","Wood","WO-0115",""
1905,5492,"Swan Lake, Swanville","","","04/20/1905","Stan ","Wood","WO-0115",""
1906,5492,"Swan Lake, Swanville","","","04/24/1906","Stan ","Wood","WO-0115",""
1907,5492,"Swan Lake, Swanville","","","04/30/1907","Stan ","Wood","WO-0115",""
1908,5492,"Swan Lake, Swanville","","","04/24/1908","Stan ","Wood","WO-0115",""
1909,5492,"Swan Lake, Swanville","","","04/19/1909","Stan ","Wood","WO-0115",""
1910,5492,"Swan Lake, Swanville","","","04/02/1910","Stan ","Wood","WO-0115",""
1911,5492,"Swan Lake, Swanville","","","04/30/1911","Stan ","Wood","WO-0115",""
1912,5492,"Swan Lake, Swanville","","","04/24/1912","Stan ","Wood","WO-0115",""
1913,5492,"Swan Lake, Swanville","","","04/09/1913","Stan ","Wood","WO-0115",""
1914,5492,"Swan Lake, Swanville","","","04/29/1914","Stan ","Wood","WO-0115",""
1915,5492,"Swan Lake, Swanville","","","04/11/1915","Stan ","Wood","WO-0115",""
1916,5492,"Swan Lake, Swanville","","","04/22/1916","Stan ","Wood","WO-0115",""
1917,5492,"Swan Lake, Swanville","","","04/28/1917","Stan ","Wood","WO-0115",""
1918,5492,"Swan Lake, Swanville","","","04/26/1918","Stan ","Wood","WO-0115",""
1919,5492,"Swan Lake, Swanville","","","04/08/1919","Stan ","Wood","WO-0115",""
1920,5492,"Swan Lake, Swanville","","","04/25/1920","Stan ","Wood","WO-0115",""
1921,5492,"Swan Lake, Swanville","","","03/29/1921","Stan ","Wood","WO-0115",""
1922,5492,"Swan Lake, Swanville","","","04/14/1922","Stan ","Wood","WO-0115",""
1923,5492,"Swan Lake, Swanville","","","04/29/1923","Stan ","Wood","WO-0115",""
1924,5492,"Swan Lake, Swanville","","","04/18/1924","Stan ","Wood","WO-0115",""
1925,5492,"Swan Lake, Swanville","","","04/04/1925","Stan ","Wood","WO-0115",""
1926,5492,"Swan Lake, Swanville","","","05/03/1926","Stan ","Wood","WO-0115",""
1927,5492,"Swan Lake, Swanville","","","04/17/1927","Stan ","Wood","WO-0115",""
1928,5492,"Swan Lake, Swanville","","","04/21/1928","Stan ","Wood","WO-0115",""
1929,5492,"Swan Lake, Swanville","","","04/21/1929","Stan ","Wood","WO-0115",""
1930,5492,"Swan Lake, Swanville","","","04/14/1930","Stan ","Wood","WO-0115",""
1931,5492,"Swan Lake, Swanville","","","04/13/1931","Stan ","Wood","WO-0115",""
1932,5492,"Swan Lake, Swanville","","","04/17/1932","Stan ","Wood","WO-0115",""
1933,5492,"Swan Lake, Swanville","","","04/18/1933","Stan ","Wood","WO-0115",""
1934,5492,"Swan Lake, Swanville","","","04/24/1934","Stan ","Wood","WO-0115",""
1935,5492,"Swan Lake, Swanville","","","04/26/1935","Stan ","Wood","WO-0115",""
1936,5492,"Swan Lake, Swanville","","","04/07/1936","Stan ","Wood","WO-0115",""
1937,5492,"Swan Lake, Swanville","","","04/16/1937","Stan ","Wood","WO-0115",""
1938,5492,"Swan Lake, Swanville","","","04/16/1938","Stan ","Wood","WO-0115",""
1939,5492,"Swan Lake, Swanville","","","05/07/1939","Stan ","Wood","WO-0115",""
1940,5492,"Swan Lake, Swanville","","","05/01/1940","Stan ","Wood","WO-0115",""
1941,5492,"Swan Lake, Swanville","","","04/18/1941","Stan ","Wood","WO-0115",""
1942,5492,"Swan Lake, Swanville","","","04/22/1942","Stan ","Wood","WO-0115",""
1943,5492,"Swan Lake, Swanville","","","04/24/1943","Stan ","Wood","WO-0115",""
1944,5492,"Swan Lake, Swanville","","","04/28/1944","Stan ","Wood","WO-0115",""
1945,5492,"Swan Lake, Swanville","","","04/03/1945","Stan ","Wood","WO-0115",""
1946,5492,"Swan Lake, Swanville","","","04/11/1946","Stan ","Wood","WO-0115",""
1947,5492,"Swan Lake, Swanville","","","04/12/1947","Stan ","Wood","WO-0115",""
1948,5492,"Swan Lake, Swanville","","","04/11/1948","Stan ","Wood","WO-0115",""
1949,5492,"Swan Lake, Swanville","","","04/09/1949","Stan ","Wood","WO-0115",""
1950,5492,"Swan Lake, Swanville","","","04/21/1950","Stan ","Wood","WO-0115",""
1951,5492,"Swan Lake, Swanville","","","04/06/1951","Stan ","Wood","WO-0115",""
1952,5492,"Swan Lake, Swanville","","","04/17/1952","Stan ","Wood","WO-0115",""
1953,5492,"Swan Lake, Swanville","","","03/27/1953","Stan ","Wood","WO-0115",""
1954,5492,"Swan Lake, Swanville","","","04/20/1954","Stan ","Wood","WO-0115",""
1955,5492,"Swan Lake, Swanville","","","04/16/1955","Stan ","Wood","WO-0115",""
1956,5492,"Swan Lake, Swanville","","","04/29/1956","Stan ","Wood","WO-0115",""
1957,5492,"Swan Lake, Swanville","","","04/14/1957","Stan ","Wood","WO-0115",""
1958,5492,"Swan Lake, Swanville","","","04/19/1958","Stan ","Wood","WO-0115",""
1959,5492,"Swan Lake, Swanville","","","04/22/1959","Stan ","Wood","WO-0115",""
1960,5492,"Swan Lake, Swanville","","","04/21/1960","Stan ","Wood","WO-0115",""
1961,5492,"Swan Lake, Swanville","","","05/03/1961","Stan ","Wood","WO-0115",""
1962,5492,"Swan Lake, Swanville","","","04/22/1962","Stan ","Wood","WO-0115",""
1963,5492,"Swan Lake, Swanville","","","04/22/1963","Stan ","Wood","WO-0115",""
1964,5492,"Swan Lake, Swanville","","","04/25/1964","Stan ","Wood","WO-0115",""
1965,5492,"Swan Lake, Swanville","","","04/21/1965","Stan ","Wood","WO-0115",""
1966,5492,"Swan Lake, Swanville","","","04/20/1966","Stan ","Wood","WO-0115",""
1967,5492,"Swan Lake, Swanville","","","04/20/1967","Stan ","Wood","WO-0115",""
1968,5492,"Swan Lake, Swanville","","","04/16/1968","Stan ","Wood","WO-0115",""
1969,5492,"Swan Lake, Swanville","","","04/25/1969","Stan ","Wood","WO-0115",""
1970,5492,"Swan Lake, Swanville","","","04/25/1970","Stan ","Wood","WO-0115",""
1971,5492,"Swan Lake, Swanville","","","05/01/1971","Stan ","Wood","WO-0115",""
1972,5492,"Swan Lake, Swanville","","","05/01/1972","Stan ","Wood","WO-0115",""
1973,5492,"Swan Lake, Swanville","","","04/16/1973","Stan ","Wood","WO-0115",""
1974,5492,"Swan Lake, Swanville","","","04/10/1974","Stan ","Wood","WO-0115",""
1975,5492,"Swan Lake, Swanville","","","04/26/1975","Stan ","Wood","WO-0115",""
1976,5492,"Swan Lake, Swanville","","","04/12/1976","Stan ","Wood","WO-0115",""
1977,5492,"Swan Lake, Swanville","","","04/19/1977","Stan ","Wood","WO-0115",""
1978,5492,"Swan Lake, Swanville","","","04/26/1978","Stan ","Wood","WO-0115",""
1979,5492,"Swan Lake, Swanville","","","04/05/1979","Stan ","Wood","WO-0115",""
1980,5492,"Swan Lake, Swanville","","","04/20/1980","Stan ","Wood","WO-0115",""
1981,5492,"Swan Lake, Swanville","","","03/29/1981","Stan ","Wood","WO-0115",""
1982,5492,"Swan Lake, Swanville","","","04/17/1982","Stan ","Wood","WO-0115",""
1983,5492,"Swan Lake, Swanville","","","04/07/1983","Stan ","Wood","WO-0115",""
1984,5492,"Swan Lake, Swanville","","","04/19/1984","Stan ","Wood","WO-0115",""
1985,5492,"Swan Lake, Swanville","","","04/07/1985","Stan ","Wood","WO-0115",""
1986,5492,"Swan Lake, Swanville","","","04/09/1986","Stan ","Wood","WO-0115",""
1987,5492,"Swan Lake, Swanville","","","04/16/1987","Stan ","Wood","WO-0115",""
1988,5492,"Swan Lake, Swanville","","","04/09/1988","Stan ","Wood","WO-0115",""
1989,5492,"Swan Lake, Swanville","","","04/20/1989","Stan ","Wood","WO-0115",""
1990,5492,"Swan Lake, Swanville","","","04/11/1990","Stan ","Wood","WO-0115",""
1991,5492,"Swan Lake, Swanville","","","04/18/1991","Stan ","Wood","WO-0115",""
1992,5492,"Swan Lake, Swanville","","","04/22/1992","Stan ","Wood","WO-0115",""
1993,5492,"Swan Lake, Swanville","","","04/24/1993","Stan ","Wood","WO-0115",""
1994,5492,"Swan Lake, Swanville","","","04/18/1994","Stan ","Wood","WO-0115",""
1995,5492,"Swan Lake, Swanville","","","04/14/1995","Stan ","Wood","WO-0115",""
1996,5492,"Swan Lake, Swanville","","","04/14/1996","Stan ","Wood","WO-0115",""
1997,5492,"Swan Lake, Swanville","","","04/23/1997","Stan ","Wood","WO-0115",""
1998,5492,"Swan Lake, Swanville","","","04/04/1998","Stan ","Wood","WO-0115",""
1999,5492,"Swan Lake, Swanville","","","03/30/1999","Stan ","Wood","WO-0115",""
2000,5492,"Swan Lake, Swanville","","","04/06/2000","Stan ","Wood","WO-0115",""
2012,5492,"Swan Lake, Swanville","","","03/22/2012","Stan ","Wood","WO-0115",""
2016,5492,"Swan Lake, Swanville","","","03/15/2016","Bruce","Mailloux","",""
