"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1884,70,"Wesserunsett Lake, Madison","","","4/28/1884","Fred","Hayden ","",""
1884,70,"Wesserunsett Lake, Madison","","","4/28/1884","Will","Reid","RE-0230",""
1884,70,"Wesserunsett Lake, Madison","","","4/28/1884","Will","Reid","RE-0230",""
1885,70,"Wesserunsett Lake, Madison","","","4/28/1885","Fred","Hayden ","",""
1886,70,"Wesserunsett Lake, Madison","","","4/24/1886","Fred","Hayden ","",""
1886,70,"Wesserunsett Lake, Madison","","","4/24/1886","Will","Reid","RE-0230",""
1887,70,"Wesserunsett Lake, Madison","","","5/4/1887","Fred","Hayden ","",""
1887,70,"Wesserunsett Lake, Madison","","","5/4/1887","Will","Reid","RE-0230",""
1888,70,"Wesserunsett Lake, Madison","","","5/10/1888","Fred","Hayden ","",""
1888,70,"Wesserunsett Lake, Madison","","","5/10/1888","Will","Reid","RE-0230",""
1889,70,"Wesserunsett Lake, Madison","","","4/18/1889","Fred","Hayden ","",""
1889,70,"Wesserunsett Lake, Madison","","","4/18/1889","Will","Reid","RE-0230",""
1890,70,"Wesserunsett Lake, Madison","","","4/28/1890","Fred","Hayden ","",""
1890,70,"Wesserunsett Lake, Madison","","","4/28/1890","Will","Reid","RE-0230",""
1891,70,"Wesserunsett Lake, Madison","","","5/1/1891","Fred","Hayden ","",""
1891,70,"Wesserunsett Lake, Madison","","","5/1/1891","Will","Reid","RE-0230",""
1892,70,"Wesserunsett Lake, Madison","","","4/21/1892","Fred","Hayden ","",""
1892,70,"Wesserunsett Lake, Madison","","","4/21/1892","Will","Reid","RE-0230",""
1893,70,"Wesserunsett Lake, Madison","","","5/5/1893","Fred","Hayden ","",""
1893,70,"Wesserunsett Lake, Madison","","","5/5/1893","Will","Reid","RE-0230",""
1894,70,"Wesserunsett Lake, Madison","","","4/25/1894","Fred","Hayden ","",""
1894,70,"Wesserunsett Lake, Madison","","","4/25/1894","Will","Reid","RE-0230",""
1895,70,"Wesserunsett Lake, Madison","","","4/22/1895","Fred","Hayden ","",""
1895,70,"Wesserunsett Lake, Madison","","","4/22/1895","Will","Reid","RE-0230",""
1896,70,"Wesserunsett Lake, Madison","","","4/27/1896","Fred","Hayden ","",""
1896,70,"Wesserunsett Lake, Madison","","","4/27/1896","Will","Reid","RE-0230",""
1897,70,"Wesserunsett Lake, Madison","","","4/28/1897","Fred","Hayden ","",""
1897,70,"Wesserunsett Lake, Madison","","","4/28/1897","Will","Reid","RE-0230",""
1898,70,"Wesserunsett Lake, Madison","","","4/20/1898","Fred","Hayden ","",""
1898,70,"Wesserunsett Lake, Madison","","","4/20/1898","Will","Reid","RE-0230",""
1899,70,"Wesserunsett Lake, Madison","","","4/28/1899","Fred","Hayden ","",""
1899,70,"Wesserunsett Lake, Madison","","","4/28/1899","Will","Reid","RE-0230",""
1900,70,"Wesserunsett Lake, Madison","","","04/29/1900","Fred","Hayden ","",""
1900,70,"Wesserunsett Lake, Madison","","","04/29/1900","Will","Reid","RE-0230",""
1901,70,"Wesserunsett Lake, Madison","","","04/25/1901","Fred","Hayden ","",""
1901,70,"Wesserunsett Lake, Madison","","","04/25/1901","Will","Reid","RE-0230",""
1902,70,"Wesserunsett Lake, Madison","","","04/09/1902","Fred","Hayden ","",""
1902,70,"Wesserunsett Lake, Madison","","","04/09/1902","Will","Reid","RE-0230",""
1903,70,"Wesserunsett Lake, Madison","","","04/10/1903","Fred","Hayden ","",""
1903,70,"Wesserunsett Lake, Madison","","","04/10/1903","Will","Reid","RE-0230",""
1904,70,"Wesserunsett Lake, Madison","","","05/02/1904","Fred","Hayden ","",""
1904,70,"Wesserunsett Lake, Madison","","","05/02/1904","Will","Reid","RE-0230",""
1905,70,"Wesserunsett Lake, Madison","","","04/20/1905","Fred","Hayden ","",""
1905,70,"Wesserunsett Lake, Madison","","","04/20/1905","Will","Reid","RE-0230",""
1906,70,"Wesserunsett Lake, Madison","","","05/01/1906","Fred","Hayden ","",""
1906,70,"Wesserunsett Lake, Madison","","","05/01/1906","Will","Reid","RE-0230",""
1907,70,"Wesserunsett Lake, Madison","","","05/01/1907","Fred","Hayden ","",""
1907,70,"Wesserunsett Lake, Madison","","","05/01/1907","Will","Reid","RE-0230",""
1908,70,"Wesserunsett Lake, Madison","","","04/28/1908","Fred","Hayden ","",""
1908,70,"Wesserunsett Lake, Madison","","","04/28/1908","Will","Reid","RE-0230",""
1909,70,"Wesserunsett Lake, Madison","","","04/27/1909","Fred","Hayden ","",""
1909,70,"Wesserunsett Lake, Madison","","","04/27/1909","Will","Reid","RE-0230",""
1910,70,"Wesserunsett Lake, Madison","","","04/10/1910","Fred","Hayden ","",""
1910,70,"Wesserunsett Lake, Madison","","","04/10/1910","Will","Reid","RE-0230",""
1911,70,"Wesserunsett Lake, Madison","","","04/21/1911","Fred","Hayden ","",""
1911,70,"Wesserunsett Lake, Madison","","","04/21/1911","Will","Reid","RE-0230",""
1912,70,"Wesserunsett Lake, Madison","","","04/23/1912","Fred","Hayden ","",""
1912,70,"Wesserunsett Lake, Madison","","","04/23/1912","Will","Reid","RE-0230",""
1913,70,"Wesserunsett Lake, Madison","","","04/25/1913","Fred","Hayden ","",""
1913,70,"Wesserunsett Lake, Madison","","","04/25/1913","Will","Reid","RE-0230",""
1914,70,"Wesserunsett Lake, Madison","","","05/01/1914","Fred","Hayden ","",""
1914,70,"Wesserunsett Lake, Madison","","","05/01/1914","Will","Reid","RE-0230",""
1915,70,"Wesserunsett Lake, Madison","","","04/15/1915","Fred","Hayden ","",""
1915,70,"Wesserunsett Lake, Madison","","","04/15/1915","Will","Reid","RE-0230",""
1916,70,"Wesserunsett Lake, Madison","","","04/23/1916","Fred","Hayden ","",""
1916,70,"Wesserunsett Lake, Madison","","","04/23/1916","Will","Reid","RE-0230",""
1917,70,"Wesserunsett Lake, Madison","","","04/30/1917","Fred","Hayden ","",""
1917,70,"Wesserunsett Lake, Madison","","","04/30/1917","Will","Reid","RE-0230",""
1918,70,"Wesserunsett Lake, Madison","","","04/24/1918","Fred","Hayden ","",""
1918,70,"Wesserunsett Lake, Madison","","","04/24/1918","Will","Reid","RE-0230",""
1919,70,"Wesserunsett Lake, Madison","","","04/20/1919","Fred","Hayden ","",""
1919,70,"Wesserunsett Lake, Madison","","","04/20/1919","Will","Reid","RE-0230",""
1920,70,"Wesserunsett Lake, Madison","","","04/25/1920","Fred","Hayden ","",""
1920,70,"Wesserunsett Lake, Madison","","","04/25/1920","Will","Reid","RE-0230",""
1921,70,"Wesserunsett Lake, Madison","","","04/13/1921","Fred","Hayden ","",""
1921,70,"Wesserunsett Lake, Madison","","","04/13/1921","Will","Reid","RE-0230",""
1922,70,"Wesserunsett Lake, Madison","","","04/17/1922","Fred","Hayden ","",""
1922,70,"Wesserunsett Lake, Madison","","","04/17/1922","Will","Reid","RE-0230",""
1923,70,"Wesserunsett Lake, Madison","","","04/28/1923","Fred","Hayden ","",""
1923,70,"Wesserunsett Lake, Madison","","","04/28/1923","Will","Reid","RE-0230",""
1924,70,"Wesserunsett Lake, Madison","","","04/23/1924","Fred","Hayden ","",""
1924,70,"Wesserunsett Lake, Madison","","","04/23/1924","Will","Reid","RE-0230",""
1925,70,"Wesserunsett Lake, Madison","","","04/09/1925","Fred","Hayden ","",""
1925,70,"Wesserunsett Lake, Madison","","","04/09/1925","Will","Reid","RE-0230",""
1926,70,"Wesserunsett Lake, Madison","","","05/04/1926","Fred","Hayden ","",""
1926,70,"Wesserunsett Lake, Madison","","","05/04/1926","Will","Reid","RE-0230",""
1927,70,"Wesserunsett Lake, Madison","","","04/19/1927","Fred","Hayden ","",""
1927,70,"Wesserunsett Lake, Madison","","","04/19/1927","Will","Reid","RE-0230",""
1928,70,"Wesserunsett Lake, Madison","","","05/02/1928","Fred","Hayden ","",""
1928,70,"Wesserunsett Lake, Madison","","","05/02/1928","Will","Reid","RE-0230",""
1929,70,"Wesserunsett Lake, Madison","","","04/28/1929","Fred","Hayden ","",""
1929,70,"Wesserunsett Lake, Madison","","","04/28/1929","Will","Reid","RE-0230",""
1930,70,"Wesserunsett Lake, Madison","","","04/16/1930","Fred","Hayden ","",""
1930,70,"Wesserunsett Lake, Madison","","","04/16/1930","Will","Reid","RE-0230",""
1931,70,"Wesserunsett Lake, Madison","","","04/12/1931","Will","Reid","RE-0230",""
1931,70,"Wesserunsett Lake, Madison","","","04/21/1931","Fred","Hayden ","",""
1932,70,"Wesserunsett Lake, Madison","","","04/22/1932","Fred","Hayden ","",""
1932,70,"Wesserunsett Lake, Madison","","","04/22/1932","Will","Reid","RE-0230",""
1933,70,"Wesserunsett Lake, Madison","","","04/25/1933","Fred","Hayden ","",""
1933,70,"Wesserunsett Lake, Madison","","","04/25/1933","Will","Reid","RE-0230",""
1934,70,"Wesserunsett Lake, Madison","","","04/29/1934","Fred","Hayden ","",""
1934,70,"Wesserunsett Lake, Madison","","","04/29/1934","Will","Reid","RE-0230",""
1935,70,"Wesserunsett Lake, Madison","","","04/28/1935","Fred","Hayden ","",""
1935,70,"Wesserunsett Lake, Madison","","","04/28/1935","Will","Reid","RE-0230",""
1936,70,"Wesserunsett Lake, Madison","","","04/13/1936","Fred","Hayden ","",""
1936,70,"Wesserunsett Lake, Madison","","","04/13/1936","Will","Reid","RE-0230",""
1938,70,"Wesserunsett Lake, Madison","","","04/21/1938","Fred","Hayden ","",""
1938,70,"Wesserunsett Lake, Madison","","","04/21/1938","Will","Reid","RE-0230",""
1939,70,"Wesserunsett Lake, Madison","","","05/08/1939","Fred","Hayden ","",""
1939,70,"Wesserunsett Lake, Madison","","","05/08/1939","Will","Reid","RE-0230",""
1941,70,"Wesserunsett Lake, Madison","","","04/16/1941","Fred","Hayden ","",""
1941,70,"Wesserunsett Lake, Madison","","","04/16/1941","Will","Reid","RE-0230",""
