"Date","DEPTH","TEMPERATURE","OXYGEN"
1974-09-07,12.2,11,3.5
1974-09-07,16.8,9.2,3
1975-09-07,0.9,15.5,12
1975-09-07,13.7,7,3
1977-09-15,0,16.5,8.9
1977-09-15,10,16.8,8.6
1977-09-15,12,16.9,8.5
1977-09-15,14,16.9,8.4
1977-09-15,16,14.2,0.5
1977-09-15,2,16.7,8.7
1977-09-15,4,16.8,8.7
1977-09-15,6,16.9,8.7
1977-09-15,8,16.9,8.6
1980-09-24,0,18.5,9.5
1980-09-24,11,17.5,7.1
1980-09-24,12,17,5
1980-09-24,13,16,1.9
1980-09-24,14,13.5,0.4
1980-09-24,15,12,0.1
1980-09-24,16,12,0
1980-09-24,18,11.5,0
1980-09-24,19,11,0
1980-09-24,3,18.5,9.4
1980-09-24,5,18,9.2
1980-09-24,7,18,8.7
1980-09-24,9,18,7.7
1983-08-09,0,24.5,8.5
1983-08-09,1,24.5,8.3
1983-08-09,10,18,4.4
1983-08-09,11,16.5,3.7
1983-08-09,12,15.5,3.7
1983-08-09,13,15,3.7
1983-08-09,15,14.5,3.4
1983-08-09,17,14,3.2
1983-08-09,19,14,2.7
1983-08-09,2,24.5,8.2
1983-08-09,3,24,8.4
1983-08-09,4,24,8.4
1983-08-09,5,24,8.2
1983-08-09,6,23.5,8.1
1983-08-09,7,22.5,6.8
1983-08-09,8,21.5,6.3
1983-08-09,9,20,5.4
1986-08-14,0,23.8,8.8
1986-08-14,10,19.7,5.8
1986-08-14,11,19,5.1
1986-08-14,12,18.8,4.7
1986-08-14,14,18,3.8
1986-08-14,16,17,2.6
1986-08-14,18,16.2,1.3
1986-08-14,2,22.9,8.7
1986-08-14,4,22.5,8.9
1986-08-14,6,22.2,8.8
1986-08-14,7,22,8.7
1986-08-14,8,21.5,8
1986-08-14,9,21.2,7.7
1989-06-19,0,18.8,9.4
1989-06-19,1,18.2,10.8
1989-06-19,10,11.2,10.8
1989-06-19,11,10.3,10.9
1989-06-19,12,10,10.8
1989-06-19,13,10,10.8
1989-06-19,14,9.8,10.7
1989-06-19,15,9.8,10.8
1989-06-19,17,9.2,10.8
1989-06-19,19,9,10.7
1989-06-19,2,18,11.4
1989-06-19,20,9,5.6
1989-06-19,3,17,11.6
1989-06-19,4,16.9,11.4
1989-06-19,5,16.3,11.4
1989-06-19,6,16,11.2
1989-06-19,7,15.8,11.2
1989-06-19,8,13.8,11
1989-06-19,9,11.9,10.8
1989-07-08,0,22,9.8
1989-07-08,1,22,9.9
1989-07-08,10,11,8.1
1989-07-08,11,10.6,8.1
1989-07-08,12,10.4,8.1
1989-07-08,13,10.3,8
1989-07-08,14,9.9,7.9
1989-07-08,15,9.8,7.9
1989-07-08,17,9.5,7.8
1989-07-08,18,9.3,6.3
1989-07-08,19,9,6.3
1989-07-08,2,22,9.3
1989-07-08,3,22,10.2
1989-07-08,4,21.7,10.2
1989-07-08,5,21.6,9.8
1989-07-08,6,19.3,9.3
1989-07-08,7,17,8.8
1989-07-08,8,14.7,8.4
1989-07-08,9,13.2,8.2
1989-07-22,0,24,8.9
1989-07-22,1,23.5,8.7
1989-07-22,10,12,6.4
1989-07-22,11,11.3,6.4
1989-07-22,12,10.2,6.4
1989-07-22,13,10.1,6.8
1989-07-22,14,10,6.8
1989-07-22,15,9.9,6.8
1989-07-22,17,10,6.8
1989-07-22,19,9.5,6.5
1989-07-22,2,23,8.9
1989-07-22,20,9.5,1.2
1989-07-22,3,23,8.9
1989-07-22,4,23,8.9
1989-07-22,5,23,8.9
1989-07-22,6,22.5,8.8
1989-07-22,7,20,7.8
1989-07-22,8,14.9,7
1989-07-22,9,13,6.4
1989-08-10,0,23.5,8.8
1989-08-10,1,23.3,8.8
1989-08-10,10,12,5
1989-08-10,11,11,5
1989-08-10,12,11,5.2
1989-08-10,13,10.5,5.2
1989-08-10,14,10.1,5.4
1989-08-10,15,10,5.2
1989-08-10,17,9.9,4.8
1989-08-10,19,9,3.8
1989-08-10,2,23,8.8
1989-08-10,3,23,8.8
1989-08-10,4,22.9,8.8
1989-08-10,5,23,8.8
1989-08-10,6,22.8,8.6
1989-08-10,7,21.9,7.8
1989-08-10,8,18,5.5
1989-08-10,9,16,5
1989-08-25,0,21.5,8
1989-08-25,1,21.5,7.9
1989-08-25,10,12.5,3.6
1989-08-25,11,11.8,3.6
1989-08-25,12,11,3.8
1989-08-25,13,10.8,3.9
1989-08-25,14,10.5,3.9
1989-08-25,15,10.1,3.5
1989-08-25,17,10,3.2
1989-08-25,18.5,9.5,0.6
1989-08-25,2,21.5,7.8
1989-08-25,3,21.5,7.8
1989-08-25,4,21.5,7.8
1989-08-25,5,21.5,7.8
1989-08-25,6,21.5,7.6
1989-08-25,7,21.5,7.8
1989-08-25,8,17.8,3.6
1989-08-25,9,14.5,3.6
1989-09-16,0,20,8.2
1989-09-16,1,19,8.2
1989-09-16,10,15,3.2
1989-09-16,11,14,2.8
1989-09-16,12,12,2.7
1989-09-16,13,11,2.8
1989-09-16,14,10.8,2.8
1989-09-16,15,10.2,2.2
1989-09-16,17,10,2.2
1989-09-16,19,10,1.4
1989-09-16,2,19,8.4
1989-09-16,21,10,0.8
1989-09-16,3,19,8.4
1989-09-16,4,18.9,8.4
1989-09-16,5,19,8.4
1989-09-16,6,19,8.6
1989-09-16,7,19,8.4
1989-09-16,8,19,8.6
1989-09-16,9,19,8.4
1990-06-08,0,17,10.4
1990-06-08,1,16.2,10.3
1990-06-08,10,14,10
1990-06-08,11,13.5,9.9
1990-06-08,12,13.2,9.8
1990-06-08,13,12.5,9.7
1990-06-08,14,12,9.3
1990-06-08,15,11.5,9.2
1990-06-08,17,11,8.6
