"YEAR","MONTH","DAY","SECCHI.DEPTH"
2002,9,1,5.5
2014,9,1,6.6
1981,10,1,5.8
1975,6,2,7.5
1980,6,2,7
1990,6,2,6.6
2007,6,2,6.39
1996,8,2,7
2005,8,2,4.8
2007,8,2,6.775
1986,10,2,6.1
1978,5,3,6
2009,5,3,5.3
1988,6,3,6.7
2005,6,3,4.88
2009,6,3,7.28
1979,8,3,7.2
1991,9,3,5.4
2009,9,3,6.43
1982,10,3,7.9
1984,10,3,6.6
1988,10,3,5
1979,6,4,6.9
2010,6,4,7.46
1979,7,4,7.9
1990,7,4,5.8
1988,8,4,6.4
2009,8,4,5.58
1978,9,4,6.2
1982,9,4,7.8
1986,9,4,6.6
1994,9,4,4.8
1981,6,5,7.5
2009,6,5,6.385
1984,7,5,6.1
1981,8,5,8.2
2000,8,5,5.85
2006,8,5,5.75
1985,9,5,7.6
2008,9,5,5.1
1983,6,6,5.9
2006,6,6,4.7
2006,7,6,4.9
2008,7,6,4.65
2015,7,6,6.92
1982,8,6,7
1972,9,6,7.9
1985,10,6,6.2
1987,10,6,5.9
2002,10,6,4.6
2008,5,7,5.53
1971,6,7,5.8
1980,6,7,6.9
1986,6,7,6.9
1996,7,7,6.9
2004,7,7,5.76
2005,7,7,4.85
1974,9,7,6.4
1975,9,7,7
1981,9,7,7.9
1983,10,7,7.3
1992,10,7,4.9
1990,6,8,6.4
1989,7,8,5.9
2000,7,8,5.4
1975,8,8,7
1991,8,8,5.9
1999,8,8,5.8
2010,9,8,6.28
1982,6,9,5.9
1975,7,9,7.2
1978,7,9,7.5
2001,7,9,6.65
2009,7,9,6.82
1983,8,9,5.5
1985,8,9,8.8
2018,8,9,6.15
1985,5,10,7
1986,5,10,7.2
1995,6,10,6.2
2001,6,10,4.94
1977,7,10,6.4
1982,7,10,6.6
1987,7,10,6.6
2008,7,10,5.365
1974,8,10,6.7
1989,8,10,6.6
2004,8,10,4.225
2010,8,10,6.52
2009,9,10,6.1
1977,5,11,4.8
2008,6,11,4.835
2010,6,11,7.19
1997,8,11,7
2002,8,11,6.8
2008,8,11,5.695
1999,9,11,6.8
1982,5,12,7.3
1987,6,12,6.4
2010,7,12,5.585
2012,7,12,7.1
1980,8,12,7
1990,8,12,6.1
2013,8,12,6.15
1984,9,12,5.9
2012,9,12,5.46
1980,5,13,8.2
1974,7,13,5.8
1980,7,13,7.5
2007,7,13,6.025
1983,8,13,6.7
1986,8,13,6.1
2009,8,13,5.57
1995,6,14,6.5
2002,7,14,5.85
2014,7,14,5.9
1986,8,14,5.6
2002,8,14,8.25
2017,8,14,6.34
1988,5,15,6.1
