"midas","year","zsmed","Ts","zT","zhypox","zanox","Ps","Pb","Chla","strat_on","strat_off","strat_days","hypox_on","hypox_off","hypox_days","anox_on","anox_off","anox_days","ice_out","ice_days"
"-0001",1992,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1993,7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1994,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1995,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1996,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1997,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",1998,7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2000,6.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2001,7.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2002,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2003,8.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2004,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2005,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2006,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2007,8.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2008,8.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2009,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2010,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0001",2011,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0002",1992,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0003",2010,5.51,26,NA,NA,NA,6,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0001",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0001",2018,7.02,24.3,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0002",2005,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0002",2006,3.55,22.5,2,4,4,9,32,6.9,229,229,0,229,229,0,229,229,0,NA,NA
"0002",2007,4.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0002",2014,3.98,21.5,2,4,4,8,18,4.2,226,226,0,226,226,0,226,226,0,NA,NA
"0004",1977,3.05,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0004",1978,2.5,22.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0004",1979,1.8,15.2,NA,NA,NA,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0004",2005,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1977,1.1,NA,NA,NA,NA,14,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1978,1.3,21.2,NA,0,0,NA,NA,46.9,NA,NA,NA,160,304,144,213,304,91,NA,NA
"0007",1979,1.3,12.7,0.5,0,0,11,90,4.2,138,235,97,66,330,264,66,330,264,NA,NA
"0007",1980,1.3,1.7,NA,0.5,0.5,NA,NA,19.6,NA,NA,NA,16,157,141,16,157,141,NA,NA
"0007",1982,2.4,18.5,1.5,7,0.5,NA,NA,8,146,208,62,146,239,93,146,208,62,NA,NA
"0007",1983,2.5,19.65,2,2,0,NA,NA,9.1,159,264,105,96,264,168,96,231,135,NA,NA
"0007",1984,2.2,19.9,1,2.5,0,NA,NA,8.3,143,201,58,143,234,91,143,234,91,NA,NA
"0007",1985,2.8,21.8,2,5,8,NA,NA,20.8,158,227,69,158,227,69,158,227,69,NA,NA
"0007",1990,2.7,24.8,3,5.5,5,22,NA,9.25,179,241,62,179,256,77,211,211,0,NA,NA
"0007",1991,2.4,21.65,1,5,8,29.5,NA,7.7,199,261,62,158,261,103,199,199,0,NA,NA
"0007",1992,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1994,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1995,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1996,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",1997,3,22,NA,5,NA,17,NA,9.5,NA,NA,NA,234,234,0,NA,NA,NA,NA,NA
"0007",1998,1.7,24,NA,4,5,26,28,15,NA,NA,NA,233,233,0,233,233,0,NA,NA
"0007",1999,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2000,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2001,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2002,2.9,25,3,4,4,14,12,9,234,234,0,234,234,0,234,234,0,NA,NA
"0007",2003,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0007",2004,2.745,23.5,1,2,3,19,40,15,232,232,0,232,232,0,232,232,0,NA,NA
"0007",2005,3.58,25.2,4,5,5,18,37,12,228,228,0,228,228,0,228,228,0,NA,NA
"0007",2006,3.255,23.9,0,6,NA,20,NA,4.25,236,236,0,236,236,0,NA,NA,NA,NA,NA
"0007",2007,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
