"","Year","Month","AvgT","MaxT","MinT","Prec","CDD","HDD","PDSI","PHDI","PMDI","PZI"
"Year",1,0,0.0736225533648259,0.0541735705052395,0.0931828852236159,0.121020632938179,0.117420197185685,-0.0631400333790352,0.154022185933913,0.114219018483659,0.109161660477103,0.07126433227583
"Month",0,1,0.228123009963871,0.203739586824698,0.250866803714195,0.0542063130960934,0.102722641005573,-0.225888497175347,0.0452109888465462,0.0237013948132675,0.0273902161685931,0.0308922993282925
"AvgT",0.0736225533648259,0.228123009963871,1,0.9934106310529,0.992291865727647,-0.0758230261876966,0.745362064673067,-0.993598949926366,-0.00416690534946402,-0.0129343211109038,-0.017947136046037,-0.0478897902963702
"MaxT",0.0541735705052395,0.203739586824698,0.9934106310529,1,0.971665655273833,-0.142759781289036,0.726498677552814,-0.989325458928112,-0.0551035979236284,-0.0564914377581791,-0.0701013087582897,-0.117235374652834
"MinT",0.0931828852236159,0.250866803714195,0.992291865727647,0.971665655273833,1,-0.00235880844509392,0.754366588432724,-0.983593166033724,0.0503919511734534,0.0342240993675263,0.0385252188334888,0.0277239042948985
"Prec",0.121020632938179,0.0542063130960934,-0.0758230261876966,-0.142759781289036,-0.00235880844509392,1,-0.0820949971044221,0.072119336854995,0.583273371654817,0.458339583584258,0.578564298605396,0.966271472249135
"CDD",0.117420197185685,0.102722641005573,0.745362064673067,0.726498677552814,0.754366588432724,-0.0820949971044221,1,-0.667282952098006,-0.00759703821107294,-0.00601229270089252,-0.0150067668883519,-0.0619116397001855
"HDD",-0.0631400333790352,-0.225888497175347,-0.993598949926366,-0.989325458928112,-0.983593166033724,0.072119336854995,-0.667282952098006,1,0.00387105912061328,0.0137814884941241,0.0178803196037619,0.0439193262299695
"PDSI",0.154022185933913,0.0452109888465462,-0.00416690534946402,-0.0551035979236284,0.0503919511734534,0.583273371654817,-0.00759703821107294,0.00387105912061328,1,0.889704920449807,0.932031838078894,0.663659318364319
"PHDI",0.114219018483659,0.0237013948132675,-0.0129343211109038,-0.0564914377581791,0.0342240993675263,0.458339583584258,-0.00601229270089252,0.0137814884941241,0.889704920449807,1,0.951741252949494,0.540660976341059
"PMDI",0.109161660477103,0.0273902161685931,-0.017947136046037,-0.0701013087582897,0.0385252188334888,0.578564298605396,-0.0150067668883519,0.0178803196037619,0.932031838078894,0.951741252949494,1,0.669125573230785
"PZI",0.07126433227583,0.0308922993282925,-0.0478897902963702,-0.117235374652834,0.0277239042948985,0.966271472249135,-0.0619116397001855,0.0439193262299695,0.663659318364319,0.540660976341059,0.669125573230785,1
