"Date","DEPTH","TEMPERATURE","OXYGEN"
1978-08-23,0,22.2,9.3
1978-08-23,1,22.1,9.3
1978-08-23,10,16.2,0.4
1978-08-23,11,15.8,0.4
1978-08-23,12,15.2,0.4
1978-08-23,2,22.1,9.3
1978-08-23,3,22.1,9.3
1978-08-23,4,22.1,9.3
1978-08-23,5,22.1,9.2
1978-08-23,6,22.1,9.2
1978-08-23,7,22.1,9.2
1978-08-23,8,22.1,9.2
1978-08-23,9,17.6,0.6
1981-08-28,0,23,8.3
1981-08-28,10,19.8,3
1981-08-28,12,17.5,0.3
1981-08-28,2,21,8.1
1981-08-28,4,20.5,7.8
1981-08-28,6,20.5,7.8
1981-08-28,8,20.5,7.5
1984-02-27,0,1,11.9
1984-02-27,1,2.5,12.6
1984-02-27,10,4,7.6
1984-02-27,11,4,7.2
1984-02-27,12,4.4,5.7
1984-02-27,13,5,1.4
1984-02-27,2,2.6,12.6
1984-02-27,4,2.8,12.5
1984-02-27,6,2.8,12.4
1984-02-27,8,3.2,10.2
1986-05-14,0,14.9,10.5
1986-05-14,1,12.2,10.8
1986-05-14,10,10.9,8.3
1986-05-14,2,11.9,10.8
1986-05-14,3,11.6,10.8
1986-05-14,4,11.6,10.8
1986-05-14,5,11.6,10.8
1986-05-14,6,11.6,10.6
1986-05-14,7,11.2,10.6
1986-05-14,8,11.1,10.4
1986-05-14,9,11,10.2
1986-06-18,0,18,9.3
1986-06-18,1,17.9,9.2
1986-06-18,10,17.2,8.4
1986-06-18,11,17.2,8.4
1986-06-18,12,17.1,8.4
1986-06-18,2,17.9,9.2
1986-06-18,3,17.5,8.6
1986-06-18,4,17.5,8.5
1986-06-18,5,17.5,8.4
1986-06-18,6,17.4,8.4
1986-06-18,7,17.3,8.4
1986-06-18,8,17.3,8.4
1986-06-18,9,17.3,8.4
1986-07-09,0,20.7,10.4
1986-07-09,1,20.5,10.6
1986-07-09,10,18.4,8.5
1986-07-09,11,18.1,8.1
1986-07-09,12,17.9,5.7
1986-07-09,2,20.2,10.4
1986-07-09,3,19.9,10.4
1986-07-09,4,19.6,10.1
1986-07-09,5,19.3,10
1986-07-09,6,19.2,10
1986-07-09,7,18.7,9.2
1986-07-09,8,18.6,9.2
1986-07-09,9,18.5,8.7
1986-08-12,0,18.4,8.8
1986-08-12,1,18.3,8.9
1986-08-12,10,17.9,8.6
1986-08-12,11,17.8,8.6
1986-08-12,12,17.8,4.4
1986-08-12,2,18.3,8.9
1986-08-12,3,18.2,8.9
1986-08-12,4,18.1,9
1986-08-12,5,18.1,8.9
1986-08-12,6,18,8.7
1986-08-12,7,17.8,8.7
1986-08-12,8,17.9,8.8
1986-08-12,9,17.9,8.7
1986-08-28,0,19.5,8.3
1986-08-28,10,19.2,8.2
1986-08-28,12,19.2,8.3
1986-08-28,2,19.2,8.2
1986-08-28,4,19.2,8.1
1986-08-28,6,19.2,8.1
1986-08-28,8,19.2,8.2
1986-09-24,0,15.1,9
1986-09-24,1,15,8.7
1986-09-24,10,14.9,8.7
1986-09-24,11,14.9,8.7
1986-09-24,2,15,8.6
1986-09-24,3,15,8.5
1986-09-24,4,15,8.6
1986-09-24,5,15,8.6
1986-09-24,6,15,8.5
1986-09-24,7,14.9,8.8
1986-09-24,8,14.9,8.8
1986-09-24,9,14.9,8.7
1986-10-28,0,10.8,10.6
1986-10-28,1,10.2,10.6
1986-10-28,10,9.9,9.4
1986-10-28,11,9.9,9.3
1986-10-28,2,10.1,10.6
1986-10-28,3,9.9,10.5
1986-10-28,4,9.9,10.3
1986-10-28,5,9.9,10
1986-10-28,6,9.9,9.9
1986-10-28,7,9.9,9.7
1986-10-28,8,9.9,9.8
1986-10-28,9,9.9,9.7
1987-05-04,0,10.2,11.2
1987-05-04,10,9.5,11.2
1987-05-04,12,9.4,10.9
1987-05-04,12.5,9.3,10.8
1987-05-04,2,10.1,11.3
1987-05-04,4,9.9,11.3
1987-05-04,6,9.8,11.2
1987-05-04,8,9.7,11.2
1987-06-18,0,19.9,9.4
1987-06-18,1,19.5,9.2
1987-06-18,10,15.6,4.6
1987-06-18,11,15,1.7
1987-06-18,2,19.2,9.2
1987-06-18,3,19.2,9.1
1987-06-18,4,19.1,9.2
1987-06-18,5,19.1,9
1987-06-18,6,19,9.1
1987-06-18,7,19,8.4
1987-06-18,8,18.8,7.8
1987-06-18,9,17.2,6.6
1987-07-23,0,24.3,8.2
1987-07-23,1,21.9,8.4
1987-07-23,10,15.8,0.2
1987-07-23,11,15.5,0.2
1987-07-23,2,21.9,8.4
1987-07-23,3,21.5,7.9
1987-07-23,4,21.4,7.6
1987-07-23,5,21.2,7.6
1987-07-23,6,21.1,7.1
1987-07-23,7,19.9,3.6
1987-07-23,8,18.2,1.7
1987-07-23,9,17.2,0.3
1987-08-27,0,21.8,9.5
1987-08-27,1,20.6,9
1987-08-27,10,19.8,6.2
1987-08-27,11,18.8,0.3
1987-08-27,2,20.2,8
1987-08-27,3,20.1,8
1987-08-27,4,20,7.9
1987-08-27,5,20,7.9
1987-08-27,6,20,7.8
1987-08-27,7,20,7.7
1987-08-27,8,19.9,7.2
1987-08-27,9,19.9,6.8
1987-10-08,0,14.4,9.5
1987-10-08,1,14.4,9.5
1987-10-08,10,14,8.7
1987-10-08,11,13.9,8.6
1987-10-08,2,14.3,9.4
1987-10-08,3,14,9.1
1987-10-08,4,14,9.1
1987-10-08,5,14,9
1987-10-08,6,14,9
1987-10-08,7,14,8.9
