"MIDAS","Lake","Town.s.","Station","Date","Depth","Total.P","Sample.Type","Qualifier"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1978-08-23,9,36,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1981-08-28,12,70,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,0,16,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,1,18,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,2,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,3,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,4,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,5,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,6,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,7,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,8,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,9,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,10,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,11,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1986-09-12,12,34,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1988-07-19,10,16,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1989-08-29,9,30,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1989-08-29,11,170,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1990-08-20,12,170,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,1997-08-25,10,70,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-04-18,12,19,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-05-22,10,22,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-06-23,5,21,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-06-23,8,20,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-07-09,5,17,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-07-09,9,23,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-07-21,1,27,"G","SG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-07-21,10,32,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-08-11,6,23,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-08-11,10,56,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-08-23,10.5,77,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-08-30,7,21,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-08-30,10,23,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-09-15,5,30,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2000-09-15,8.5,38,"G","BG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,1,22,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,3,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,3,23,"G","R"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,5,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,7,20,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,9,25,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-01,11,48,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,1,16,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,3,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,5,19,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,7,21,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,9,26,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-06-16,11,15,"G","PG"
"5172","Unity Pond (Winnecook Lake)","Burnham, Troy, Unity",1,2001-07-05,1,21,"G","PG"
