"YEAR","MONTH","DAY","SECCHI.DEPTH"
1999,6,1,3.64
2001,6,1,2.49333333333333
2019,6,1,2.4
1996,7,1,2.7
2007,7,1,2.35
2009,7,1,2.05
2015,7,1,2.63
1981,8,1,3.7
1989,8,1,1.8
1994,8,1,1.2
2014,8,1,0.91
2002,9,1,1.4
2009,9,1,1.3
2005,10,1,1.6
2020,10,1,2.18
2007,6,2,2.95
2011,7,2,1.65
1992,8,2,2.3
1989,9,2,1
1991,9,2,2
1999,9,2,1.425
2005,9,2,1.71
2014,9,2,1.715
1993,10,2,1.5
2021,10,2,1.76
2009,5,3,2.75
2015,5,3,3.87
2004,6,3,2.425
1997,7,3,1.9
1998,7,3,2.05
1999,7,3,4.32
2002,7,3,1.25
2017,7,3,2.95
1978,8,3,4
2013,8,3,1.64
2021,8,3,1.54
2015,9,3,1.68
2016,9,3,1.94
2021,9,3,1.46
1977,5,4,3.7
1987,5,4,3.4
2016,6,4,3.65
2017,6,4,2.885
2019,6,4,2.84
1994,7,4,1.7
1995,7,4,2.3
2005,7,4,2.83
2013,7,4,2.05
2015,7,4,1.51
2016,7,4,2.28
1993,8,4,0.9
2002,8,4,1.2
2017,9,4,1.15
1981,10,4,3
2009,10,4,1.6
2013,5,5,3.41
1988,6,5,2.8
2011,6,5,2.35
2001,7,5,1.57
1998,8,5,1.225
2001,8,5,1.05
1997,9,5,1.35
2019,9,5,2.84
1991,10,5,1.5
1996,10,5,1.7
2008,7,6,1.53
2012,7,6,1.85
2014,7,6,1.55
2010,8,6,1.9
2016,8,6,1.25
1995,9,6,2.7
1997,10,6,1.6
1998,10,6,1.85
2002,10,6,1.6
1981,6,7,3.7
1996,6,7,2.6
1997,6,7,3
2015,6,7,2.25
2019,6,7,2.88
2001,7,7,1.8
1994,9,7,1.2
2008,9,7,1.7
2009,9,7,1.1
2014,9,7,1.21
2015,9,7,1.23
2008,6,8,2.3
2014,6,8,3.05
2006,7,8,2.31
2009,7,8,2.675
2021,7,8,3.05
1978,8,8,4.9
1991,8,8,2.5
2002,8,8,1.42
1989,9,8,2.3
1993,9,8,1.2
2002,9,8,1.62
2007,9,8,1.35
1987,10,8,1.7
1992,10,8,1.7
2004,5,9,2.55
1993,6,9,2.5
1998,6,9,2.325
2013,6,9,3.15
2019,6,9,2.8
1986,7,9,4
1993,7,9,1.7
2000,7,9,1.65
1995,8,9,2.2
2008,8,9,1.45
2015,8,9,1.13
2000,9,9,1.68
2001,9,9,1.51
1999,6,10,3.76
2012,6,10,1.97
2019,6,10,2.55
1981,7,10,3.1
1988,7,10,3.4
1997,7,10,1.55
2004,7,10,1.95
1997,8,10,1.35
2004,10,10,1.04
2021,6,11,2.965
2010,7,11,0.9
1999,8,11,1.79
2000,8,11,1
2001,8,11,1.7
2006,8,11,1.26
2007,8,11,1.18
2011,8,11,1.05
2015,8,11,1.33
1992,9,11,1.1
2004,9,11,1.3
2010,9,11,1.55
2011,9,11,1.4
1993,10,11,2.1
2001,10,11,1.52
2003,10,11,1.28
2017,10,11,2.3
2014,5,12,2.75
1988,6,12,3
2004,6,12,2.69
2010,6,12,2.28
2019,6,12,3.02
2015,7,12,1.13
1986,8,12,2.6
2002,10,12,1.74
2012,5,13,2.6
2021,5,13,3.13
1981,6,13,4
1994,6,13,2.7
2009,6,13,1.85
2000,7,13,1.75
2002,7,13,1.55
1992,8,13,1.8
2003,9,13,2.03
2016,9,13,2.41
2016,10,13,2.43
1986,5,14,3.4
1999,5,14,1.565
2016,5,14,2.35
1977,6,14,4.3
2015,6,14,2.68
2001,7,14,1.75
2007,7,14,1.65
1978,8,14,4.1
2002,8,14,1.44
2008,8,14,1.425
2011,8,14,0.8
2017,8,14,1.23
1991,9,14,2.4
1998,9,14,1.375
2013,9,14,2.14
1994,10,14,1.3
2014,10,14,1.79
1983,5,15,3.3
2019,6,15,3.05
1978,7,15,4.1
1989,8,15,1.5
2015,8,15,0.93
2000,9,15,1.275
2003,9,15,1.65
2012,9,15,1.21
2014,9,15,2.09
2015,10,15,2.84
2021,10,15,1.55
2010,5,16,2.95
1990,6,16,2.5
1992,6,16,3.4
2000,6,16,2.58
2001,6,16,2.6
2007,6,16,3.3
1992,7,16,3.1
2011,7,16,1.4
2012,7,16,1.58
2016,7,16,1.05
2017,7,16,2.69
1993,8,16,1
2002,8,16,1.38
2003,8,16,1.62
2005,8,16,1.23
2009,8,16,1.5
1989,9,16,1.3
1995,9,16,2.6
2005,9,16,1.85
2006,9,16,1.64
2015,9,16,1.36
1988,5,17,3.8
2015,5,17,3.45
2004,6,17,2.92
2019,6,17,2.55
1989,7,17,2.5
1994,7,17,1.3
2009,7,17,2.7
2004,8,17,2.16
2015,8,17,1.43
1991,9,17,2.9
2016,9,17,2.2
2021,9,17,1.53
1998,10,17,2.05
1999,10,17,1.58
2000,4,18,2.925
2004,5,18,2.4
1987,6,18,3
2006,6,18,2.65
2011,6,18,2.375
1978,7,18,5.5
1990,7,18,1.8
2014,7,18,0.8
1996,8,18,1.3
2002,8,18,1.05
2003,8,18,1.65
2009,8,18,1.1
2014,8,18,0.87
2013,5,19,2.65
1988,6,19,4.1
2016,6,19,3.45
2019,6,19,2.74
1983,7,19,2.8
1988,7,19,3.5
1994,7,19,1.3
1999,7,19,3.075
2008,7,19,1.21
1990,8,19,2
1994,8,19,1.2
1997,8,19,1.11
2012,8,19,1.1
2013,8,19,2.15
2020,8,19,4.015
2021,8,19,0.9
1983,9,19,2.7
2000,9,19,1.42
2002,9,19,1.2
2010,9,19,1.45
2018,9,19,2.2
1995,10,19,2.1
1998,5,20,3.7
2007,5,20,2.65
1997,6,20,3.1
2014,6,20,2.65
1991,7,20,4
2013,7,20,1.34
1990,8,20,1.7
1998,8,20,1.225
2004,8,20,1.79
2016,8,20,1.63
2017,8,20,1.27
1988,9,20,3.3
1990,9,20,2
