Log:,EPDEP1- 1 of 1
Report Created:, 2020-05-06 13:33:56
Site:, EPDEP1
GPS:, 0, 0, 0, 0, 0, 0
Log Created:, 2020-05-06 11:17:11
Number Readings:, 61
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-05-06 11:17:11, 1002.7, 11.29, 11.16, 103.0, 8.09, 118.2, 39.4, 53.4, 0.0, 25360, 1.000, 0, 0.51, 0.302, 15.20
2020-05-06 11:17:12, 1002.7, 11.24, 11.16, 103.0, 8.09, 120.0, 39.4, 53.4, 0.0, 25360, 1.000, 0, 0.51, 0.302, 15.20
2020-05-06 11:17:22, 1002.8, 11.20, 11.19, 103.0, 8.02, 115.2, 39.4, 53.6, 0.0, 25351, 1.000, 0, 0.55, 0.367, 15.20
2020-05-06 11:17:32, 1002.8, 11.11, 11.18, 102.9, 7.93, 115.5, 39.4, 53.5, 0.0, 25389, 1.000, 0, 1.18, 1.254, 15.30
2020-05-06 11:17:42, 1002.8, 10.97, 11.22, 102.9, 7.87, 115.9, 39.3, 53.6, 0.0, 25469, 1.000, 0, 2.12, 2.599, 15.30
2020-05-06 11:17:52, 1002.8, 10.73, 11.22, 102.4, 7.84, 115.1, 39.0, 53.5, 0.0, 25637, 1.000, 0, 2.46, 3.080, 15.40
2020-05-06 11:18:02, 1002.7, 10.69, 11.23, 102.3, 7.95, 111.0, 39.0, 53.6, 0.0, 25661, 1.000, 0, 2.84, 3.619, 15.50
2020-05-06 11:18:12, 1002.7, 10.64, 11.24, 102.2, 7.87, 110.1, 39.0, 53.6, 0.0, 25667, 1.000, 0, 3.21, 4.153, 15.50
2020-05-06 11:18:22, 1002.7, 10.64, 11.24, 102.2, 7.86, 107.9, 39.0, 53.7, 0.0, 25666, 1.000, 0, 3.38, 4.389, 15.60
2020-05-06 11:18:32, 1002.8, 10.59, 11.24, 102.1, 7.86, 106.7, 38.9, 53.7, 0.0, 25683, 1.000, 0, 3.53, 4.599, 15.70
2020-05-06 11:18:42, 1002.8, 10.57, 11.24, 102.1, 7.85, 106.0, 38.9, 53.7, 0.0, 25682, 1.000, 0, 3.73, 4.893, 15.80
2020-05-06 11:18:52, 1002.8, 10.55, 11.26, 102.1, 7.83, 104.7, 38.9, 53.8, 0.0, 25682, 1.000, 0, 3.95, 5.201, 15.80
2020-05-06 11:19:02, 1002.7, 10.53, 11.26, 102.1, 7.82, 103.0, 38.9, 53.7, 0.0, 25709, 1.000, 0, 4.23, 5.604, 15.90
2020-05-06 11:19:12, 1002.7, 10.50, 11.26, 102.0, 7.82, 101.9, 38.9, 53.8, 0.0, 25708, 1.000, 0, 4.36, 5.787, 16.00
2020-05-06 11:19:22, 1002.7, 10.46, 11.26, 102.0, 7.83, 100.2, 38.9, 53.8, 0.0, 25731, 1.000, 0, 4.70, 6.267, 16.10
2020-05-06 11:19:32, 1002.7, 10.45, 11.28, 102.1, 7.83, 98.6, 38.9, 53.8, 0.0, 25730, 1.000, 0, 4.93, 6.598, 16.20
2020-05-06 11:19:42, 1002.7, 10.44, 11.27, 102.0, 7.84, 96.9, 38.8, 53.7, 0.0, 25764, 1.000, 0, 5.19, 6.963, 16.20
2020-05-06 11:19:52, 1002.8, 10.41, 11.29, 102.1, 7.85, 95.3, 38.8, 53.8, 0.0, 25755, 1.000, 0, 5.44, 7.323, 16.30
2020-05-06 11:20:02, 1002.7, 10.40, 11.29, 102.1, 7.86, 93.4, 38.8, 53.8, 0.0, 25762, 1.000, 0, 5.70, 7.693, 16.40
2020-05-06 11:20:12, 1002.7, 10.38, 11.30, 102.1, 7.88, 91.7, 38.8, 53.8, 0.0, 25776, 1.000, 0, 5.93, 8.018, 16.40
2020-05-06 11:20:22, 1002.7, 10.36, 11.31, 102.1, 7.89, 89.9, 38.8, 53.8, 0.0, 25768, 1.000, 0, 6.30, 8.544, 16.50
2020-05-06 11:20:32, 1002.7, 10.34, 11.29, 102.0, 7.91, 88.4, 38.8, 53.8, 0.0, 25781, 1.000, 0, 6.69, 9.090, 16.60
2020-05-06 11:20:42, 1002.8, 10.36, 11.27, 101.8, 7.92, 87.2, 39.9, 55.4, 0.0, 25046, 1.000, 0, 6.78, 9.228, 16.70
2020-05-06 11:20:52, 1002.8, 10.36, 11.25, 101.6, 7.92, 86.3, 40.0, 55.5, 0.0, 25009, 1.000, 0, 6.85, 9.324, 16.70
2020-05-06 11:21:02, 1002.7, 10.36, 11.24, 101.5, 7.91, 85.8, 39.9, 55.5, 0.0, 25034, 1.000, 0, 6.84, 9.314, 16.80
2020-05-06 11:21:12, 1002.8, 10.36, 11.22, 101.3, 7.89, 85.8, 39.9, 55.3, 0.0, 25085, 1.000, 0, 6.84, 9.315, 16.90
2020-05-06 11:21:22, 1002.7, 10.36, 11.21, 101.3, 7.87, 85.7, 39.8, 55.3, 0.0, 25121, 1.000, 0, 6.84, 9.304, 16.90
2020-05-06 11:21:32, 1002.6, 10.36, 11.19, 101.1, 7.86, 85.7, 39.7, 55.2, 0.0, 25160, 1.000, 0, 6.83, 9.289, 16.90
2020-05-06 11:21:42, 1002.7, 10.36, 11.17, 100.8, 7.85, 85.7, 39.7, 55.2, 0.0, 25158, 1.000, 0, 6.82, 9.284, 17.00
2020-05-06 11:21:52, 1002.7, 10.36, 11.16, 100.7, 7.83, 85.7, 39.8, 55.3, 0.0, 25101, 1.000, 0, 6.78, 9.230, 17.10
2020-05-06 11:22:02, 1002.7, 10.31, 10.76, 97.1, 7.83, 54.2, 41.2, 57.3, 0.0, 24268, 1.000, 0, 6.81, 9.270, 17.10
2020-05-06 11:22:12, 1002.8, 10.33, 10.77, 97.2, 7.81, 49.6, 39.0, 54.2, 0.0, 25640, 1.000, 0, 5.83, 7.873, 17.10
2020-05-06 11:22:22, 1002.7, 10.38, 11.13, 100.5, 7.75, 58.5, 39.0, 54.1, 0.0, 25669, 1.000, 0, 4.71, 6.281, 17.20
2020-05-06 11:22:32, 1002.7, 10.45, 11.25, 101.8, 7.70, 61.9, 39.1, 54.2, 0.0, 25569, 1.000, 0, 3.59, 4.687, 17.20
2020-05-06 11:22:42, 1002.7, 10.45, 11.25, 101.8, 7.72, 61.9, 39.1, 54.1, 0.0, 25577, 1.000, 0, 4.09, 5.395, 17.20
2020-05-06 11:22:52, 1002.6, 10.44, 11.26, 102.0, 7.71, 61.3, 39.1, 54.1, 0.0, 25580, 1.000, 0, 4.13, 5.452, 17.30
2020-05-06 11:23:02, 1002.6, 10.44, 11.28, 102.0, 7.69, 62.4, 39.2, 54.2, 0.0, 25538, 1.000, 0, 3.99, 5.252, 17.30
2020-05-06 11:23:12, 1002.6, 10.45, 11.28, 102.0, 7.68, 60.6, 39.2, 54.3, 0.0, 25504, 1.000, 0, 3.94, 5.190, 17.30
2020-05-06 11:23:22, 1002.7, 10.45, 11.27, 102.0, 7.68, 59.2, 39.1, 54.1, 0.0, 25588, 1.000, 0, 3.99, 5.261, 17.30
2020-05-06 11:23:32, 1002.6, 10.45, 11.28, 102.1, 7.67, 59.3, 39.1, 54.1, 0.0, 25581, 1.000, 0, 3.94, 5.187, 17.30
2020-05-06 11:23:49, 1002.7, 10.45, 11.28, 102.1, 7.65, 61.7, 39.1, 54.2, 0.0, 25571, 1.000, 0, 3.95, 5.195, 17.40
2020-05-06 11:23:59, 1002.7, 10.45, 11.28, 102.1, 7.65, 62.6, 39.1, 54.1, 0.0, 25577, 1.000, 0, 3.96, 5.212, 17.40
2020-05-06 11:24:09, 1002.7, 10.45, 11.28, 102.1, 7.65, 62.5, 39.1, 54.1, 0.0, 25579, 1.000, 0, 3.99, 5.257, 17.40
2020-05-06 11:24:19, 1002.6, 10.45, 11.29, 102.2, 7.64, 63.2, 39.0, 54.1, 0.0, 25617, 1.000, 0, 3.98, 5.247, 17.40
2020-05-06 11:24:29, 1002.7, 10.45, 11.28, 102.1, 7.63, 63.9, 39.1, 54.1, 0.0, 25583, 1.000, 0, 3.99, 5.252, 17.40
2020-05-06 11:24:39, 1002.7, 10.45, 11.29, 102.2, 7.63, 64.9, 39.1, 54.1, 0.0, 25584, 1.000, 0, 3.99, 5.254, 17.40
2020-05-06 11:24:49, 1002.6, 10.60, 11.30, 102.3, 7.49, 72.6, 39.2, 54.2, 0.0, 25537, 1.000, 0, 1.85, 2.216, 17.40
2020-05-06 11:24:59, 1002.6, 10.66, 11.28, 102.8, 7.51, 71.5, 39.5, 54.2, 0.0, 25347, 1.000, 0, 1.88, 2.258, 17.50
2020-05-06 11:25:09, 1002.7, 10.57, 11.28, 102.5, 7.54, 71.0, 39.3, 54.2, 0.0, 25460, 1.000, 0, 2.25, 2.781, 17.50
2020-05-06 11:25:19, 1002.7, 10.55, 11.31, 102.6, 7.53, 72.3, 39.2, 54.2, 0.0, 25491, 1.000, 0, 2.07, 2.523, 17.50
2020-05-06 11:25:29, 1002.6, 10.59, 11.32, 102.7, 7.52, 72.9, 39.2, 54.1, 0.0, 25501, 1.000, 0, 2.01, 2.435, 17.50
2020-05-06 11:25:39, 1002.7, 10.59, 11.30, 102.7, 7.53, 73.5, 39.2, 54.1, 0.0, 25492, 1.000, 0, 2.05, 2.493, 17.50
2020-05-06 11:25:49, 1002.6, 10.59, 11.31, 102.7, 7.52, 74.1, 39.2, 54.1, 0.0, 25496, 1.000, 0, 2.05, 2.490, 17.50
2020-05-06 11:25:59, 1002.7, 10.59, 11.32, 102.8, 7.52, 74.6, 39.2, 54.1, 0.0, 25505, 1.000, 0, 2.04, 2.487, 17.50
2020-05-06 11:26:09, 1002.7, 10.59, 11.31, 102.7, 7.53, 74.9, 39.2, 54.2, 0.0, 25478, 1.000, 0, 2.06, 2.511, 17.50
2020-05-06 11:26:19, 1002.7, 10.58, 11.31, 102.6, 7.52, 75.4, 39.2, 54.1, 0.0, 25499, 1.000, 0, 2.01, 2.438, 17.50
2020-05-06 11:26:29, 1002.7, 10.58, 11.32, 102.7, 7.52, 75.7, 39.2, 54.1, 0.0, 25485, 1.000, 0, 1.99, 2.405, 17.60
2020-05-06 11:26:39, 1002.6, 10.59, 11.31, 102.7, 7.52, 75.8, 39.2, 54.2, 0.0, 25479, 1.000, 0, 2.02, 2.448, 17.60
2020-05-06 11:26:49, 1002.6, 10.59, 11.31, 102.7, 7.52, 76.1, 39.2, 54.1, 0.0, 25495, 1.000, 0, 2.02, 2.450, 17.60
2020-05-06 11:26:59, 1002.7, 10.59, 11.30, 102.6, 7.53, 76.2, 39.2, 54.1, 0.0, 25481, 1.000, 0, 2.01, 2.441, 17.60
2020-05-06 11:27:09, 1002.6, 10.59, 11.31, 102.7, 7.53, 76.5, 39.3, 54.2, 0.0, 25453, 1.000, 0, 2.01, 2.434, 17.60

