Log:,GPDEP1- 1 of 1
Report Created:, 2020-06-08 20:05:23
Site:, GPDEP1
GPS:, , 
Log Created:, 2020-06-05 13:30:41
Number Readings:, 158
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-06-05 13:30:41, 1000.2, 19.33, 9.42, 103.6, 6.69, 91.1, 51.5, 57.8, 0.0, 19415, 0.998, 0, 0.46, 0.237, 24.00
2020-06-05 13:30:44, 1000.2, 19.32, 9.42, 103.6, 6.63, 90.9, 51.5, 57.8, 0.0, 19405, 0.998, 0, 0.45, 0.223, 24.00
2020-06-05 13:30:54, 1000.1, 19.31, 9.42, 103.6, 6.65, 90.0, 51.5, 57.7, 0.0, 19434, 0.998, 0, 0.62, 0.459, 24.00
2020-06-05 13:31:04, 1000.1, 19.27, 9.40, 103.3, 6.69, 87.5, 51.5, 57.8, 0.0, 19426, 0.998, 0, 0.67, 0.535, 24.10
2020-06-05 13:31:14, 1000.0, 19.28, 9.42, 103.5, 6.69, 86.2, 51.4, 57.8, 0.0, 19443, 0.998, 0, 0.82, 0.750, 24.10
2020-06-05 13:31:24, 1000.1, 19.27, 9.43, 103.7, 6.63, 88.7, 51.6, 57.8, 0.0, 19390, 0.998, 0, 1.30, 1.437, 24.20
2020-06-05 13:31:41, 1000.0, 19.22, 9.43, 103.5, 6.65, 89.8, 51.4, 57.8, 0.0, 19449, 0.998, 0, 1.46, 1.653, 24.20
2020-06-05 13:31:51, 1000.1, 19.19, 9.44, 103.6, 6.64, 91.0, 51.4, 57.8, 0.0, 19459, 0.998, 0, 1.64, 1.910, 24.30
2020-06-05 13:32:01, 1000.1, 19.10, 9.44, 103.5, 6.61, 89.1, 51.3, 57.7, 0.0, 19490, 0.998, 0, 1.86, 2.229, 24.30
2020-06-05 13:32:11, 1000.1, 18.97, 9.40, 103.0, 6.64, 89.0, 51.1, 57.6, 0.0, 19575, 0.998, 0, 2.15, 2.643, 24.30
2020-06-05 13:32:22, 1000.0, 18.92, 9.43, 103.0, 6.62, 91.1, 51.0, 57.7, 0.0, 19598, 0.998, 0, 2.30, 2.847, 24.30
2020-06-05 13:32:31, 1000.2, 18.78, 9.43, 102.8, 6.58, 88.3, 50.9, 57.6, 0.0, 19639, 0.998, 0, 2.62, 3.310, 24.40
2020-06-05 13:32:41, 1000.1, 18.43, 9.40, 101.9, 6.61, 89.8, 50.4, 57.4, 0.0, 19854, 0.999, 0, 2.89, 3.693, 24.40
2020-06-05 13:32:51, 1000.1, 18.03, 9.42, 101.2, 6.62, 89.1, 49.8, 57.3, 0.0, 20067, 0.999, 0, 3.21, 4.141, 24.40
2020-06-05 13:33:01, 1000.0, 17.94, 9.46, 101.1, 6.61, 88.6, 49.6, 57.3, 0.0, 20170, 0.999, 0, 3.22, 4.154, 24.40
2020-06-05 13:33:11, 1000.1, 18.12, 9.50, 101.7, 6.61, 87.2, 49.9, 57.6, 0.0, 20047, 0.999, 0, 2.97, 3.810, 24.40
