Log:,Goldie- 1 of 1
Report Created:, 2020-04-29 10:40:35
Site:, Goldie
GPS:, 44, 33, 29.16, -69, -52, -36.53
Log Created:, 2020-04-29 10:25:21
Number Readings:, 91
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-04-29 10:25:21, 1017.5, 7.64, 11.98, 99.9, 9.58, 62.7, 36.7, 54.9, 0.0, 27235, 1.000, 0, 0.66, 0.521, 19.20
2020-04-29 10:25:26, 1017.5, 7.60, 12.00, 100.0, 9.57, 62.1, 36.7, 54.9, 0.0, 27260, 1.000, 0, 0.66, 0.524, 19.20
2020-04-29 10:25:36, 1017.4, 7.57, 12.00, 99.9, 9.57, 61.7, 36.7, 55.0, 0.0, 27235, 1.000, 0, 0.65, 0.504, 19.30
2020-04-29 10:25:46, 1017.5, 7.54, 12.02, 100.1, 9.56, 61.0, 36.8, 55.1, 0.0, 27209, 1.000, 0, 0.91, 0.880, 19.30
2020-04-29 10:25:56, 1017.4, 7.51, 12.04, 100.1, 9.53, 61.5, 36.7, 55.1, 0.0, 27235, 1.000, 0, 2.09, 2.549, 19.40
2020-04-29 10:26:06, 1017.4, 7.48, 12.04, 100.1, 9.53, 60.0, 36.7, 55.1, 0.0, 27261, 1.000, 0, 2.35, 2.927, 19.50
2020-04-29 10:26:16, 1017.4, 7.37, 12.05, 99.8, 9.54, 58.4, 36.6, 55.1, 0.0, 27325, 1.000, 0, 2.85, 3.640, 19.50
2020-04-29 10:26:26, 1017.5, 7.35, 12.04, 99.7, 9.58, 56.0, 36.6, 55.1, 0.0, 27351, 1.000, 0, 3.25, 4.198, 19.60
2020-04-29 10:26:36, 1017.4, 7.29, 12.05, 99.7, 9.62, 53.2, 36.6, 55.2, 0.0, 27347, 1.000, 0, 3.54, 4.621, 19.60
2020-04-29 10:26:46, 1017.4, 7.27, 12.06, 99.6, 9.68, 49.9, 36.5, 55.3, 0.0, 27364, 1.000, 0, 3.96, 5.209, 19.70
