Log:,GPDEP2- 1 of 1
Report Created:, 2020-05-20 08:32:24
Site:, GPDEP2
GPS:, 44, 33, 26.97, -69, -53, -3.32
Log Created:, 2020-05-19 11:41:44
Number Readings:, 145
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-05-19 11:41:44, 1020.9, 11.71, 10.95, 100.2, 6.92, 127.9, 41.1, 55.1, 0.0, 24291, 1.000, 0, 0.76, 0.656, 21.00
2020-05-19 11:41:48, 1020.9, 11.68, 10.95, 100.2, 6.93, 125.4, 41.1, 55.1, 0.0, 24315, 1.000, 0, 0.71, 0.594, 21.00
2020-05-19 11:42:05, 1020.8, 11.57, 10.98, 100.3, 6.98, 125.5, 41.1, 55.3, 0.0, 24314, 1.000, 0, 0.65, 0.512, 21.20
2020-05-19 11:42:15, 1020.9, 11.50, 10.99, 100.2, 6.97, 124.2, 41.1, 55.3, 0.0, 24334, 1.000, 0, 1.03, 1.047, 21.30
2020-05-19 11:42:25, 1020.9, 11.43, 11.02, 100.3, 7.02, 120.1, 41.0, 55.3, 0.0, 24378, 1.000, 0, 1.20, 1.293, 21.30
2020-05-19 11:42:35, 1020.9, 11.39, 11.04, 100.3, 7.02, 127.7, 41.0, 55.4, 0.0, 24362, 1.000, 0, 1.34, 1.484, 21.40
2020-05-19 11:42:45, 1020.8, 11.34, 11.05, 100.4, 6.84, 126.5, 41.0, 55.5, 0.0, 24367, 1.000, 0, 1.77, 2.096, 21.50
2020-05-19 11:42:55, 1020.8, 11.30, 11.05, 100.2, 6.99, 119.6, 41.0, 55.5, 0.0, 24412, 1.000, 0, 2.72, 3.448, 21.60
2020-05-19 11:43:05, 1020.9, 11.29, 11.04, 100.1, 6.92, 122.3, 41.0, 55.5, 0.0, 24418, 1.000, 0, 2.81, 3.579, 21.70
2020-05-19 11:43:15, 1020.8, 11.24, 11.07, 100.2, 6.91, 124.3, 40.9, 55.4, 0.0, 24458, 1.000, 0, 2.82, 3.594, 21.80
2020-05-19 11:43:25, 1020.9, 11.20, 11.07, 100.1, 6.95, 120.5, 40.9, 55.6, 0.0, 24436, 1.000, 0, 3.08, 3.965, 21.90
