Log:,LPDEP2- 1 of 1
Report Created:, 2020-05-20 08:33:11
Site:, LPDEP2
GPS:, , 
Log Created:, 2020-05-19 13:31:04
Number Readings:, 124
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-05-19 13:31:04, 1020.3, 13.16, 10.94, 103.4, 7.94, 107.5, 42.5, 54.9, 0.0, 23556, 0.999, 0, 1.01, 1.016, 26.20
2020-05-19 13:31:07, 1020.3, 13.13, 10.94, 103.4, 7.94, 106.8, 42.5, 54.9, 0.0, 23556, 0.999, 0, 0.96, 0.949, 26.20
2020-05-19 13:31:17, 1020.2, 13.17, 10.99, 104.1, 7.82, 113.0, 42.7, 55.1, 0.0, 23429, 0.999, 0, 1.17, 1.247, 26.40
2020-05-19 13:31:27, 1020.3, 12.59, 10.95, 102.7, 7.78, 110.7, 42.0, 54.8, 0.0, 23814, 0.999, 0, 2.88, 3.682, 26.70
2020-05-19 13:31:37, 1020.2, 12.40, 11.00, 102.8, 7.69, 112.9, 41.9, 54.8, 0.0, 23887, 0.999, 0, 2.99, 3.833, 26.90
2020-05-19 13:31:47, 1020.3, 11.95, 11.01, 101.9, 7.73, 113.8, 41.4, 54.9, 0.0, 24151, 0.999, 0, 3.42, 4.439, 27.10
2020-05-19 13:31:57, 1020.2, 11.52, 11.05, 101.1, 7.67, 116.2, 40.7, 54.5, 0.0, 24588, 1.000, 0, 4.14, 5.471, 27.30
2020-05-19 13:32:07, 1020.3, 11.28, 11.02, 100.3, 7.63, 117.4, 40.5, 54.7, 0.0, 24680, 1.000, 0, 4.66, 6.215, 27.60
2020-05-19 13:32:17, 1020.3, 11.01, 11.00, 99.6, 7.59, 117.1, 40.3, 54.8, 0.0, 24792, 1.000, 0, 5.19, 6.969, 27.80
2020-05-19 13:32:27, 1020.3, 10.81, 11.00, 98.9, 7.58, 116.8, 40.1, 54.9, 0.0, 24928, 1.000, 0, 5.96, 8.053, 28.00
2020-05-19 13:32:37, 1020.3, 10.68, 10.95, 98.0, 7.57, 115.9, 40.0, 55.0, 0.0, 24996, 1.000, 0, 6.27, 8.498, 28.20
2020-05-19 13:32:57, 1020.2, 10.56, 10.95, 97.7, 7.58, 112.8, 39.9, 55.0, 0.0, 25084, 1.000, 0, 6.68, 9.086, 28.60
2020-05-19 13:33:07, 1020.2, 10.39, 10.93, 97.3, 7.62, 111.1, 39.7, 55.0, 0.0, 25174, 1.000, 0, 7.28, 9.936, 28.90
2020-05-19 13:33:17, 1020.2, 10.22, 10.89, 96.5, 7.64, 109.6, 39.6, 55.0, 0.0, 25271, 1.000, 0, 8.15, 11.167, 29.10
2020-05-19 13:33:27, 1020.2, 10.19, 10.86, 96.1, 7.65, 108.3, 39.5, 55.0, 0.0, 25312, 1.000, 0, 8.01, 10.968, 29.30
2020-05-19 13:33:37, 1020.2, 10.13, 10.83, 95.6, 7.66, 107.8, 39.5, 55.1, 0.0, 25323, 1.000, 0, 8.85, 12.170, 29.50
2020-05-19 13:33:47, 1020.2, 10.11, 10.81, 95.4, 7.67, 107.1, 39.5, 55.2, 0.0, 25328, 1.000, 0, 8.87, 12.191, 29.60
2020-05-19 13:33:57, 1020.2, 10.08, 10.82, 95.4, 7.67, 106.7, 39.5, 55.2, 0.0, 25340, 1.000, 0, 9.17, 12.626, 29.80
2020-05-19 13:34:07, 1020.2, 10.08, 10.79, 95.1, 7.68, 105.7, 39.5, 55.2, 0.0, 25317, 1.000, 0, 9.68, 13.345, 30.00
