Log:,MESSDEP1- 1 of 1
Report Created:, 2020-05-06 13:31:59
Site:, MESSDEP1
GPS:, 0, 0, 0, 0, 0, 0
Log Created:, 2020-05-06 12:28:55
Number Readings:, 110
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-05-06 12:28:55, 1002.7, 11.15, 11.22, 103.3, 7.83, 104.4, 43.1, 58.6, 0.0, 23180, 1.000, 0, 0.61, 0.447, 17.80
2020-05-06 12:29:00, 1002.7, 11.01, 11.30, 103.7, 7.83, 102.0, 43.0, 58.6, 0.0, 23264, 1.000, 0, 0.60, 0.430, 17.80
2020-05-06 12:29:20, 1002.7, 10.87, 11.40, 104.3, 7.67, 105.1, 43.0, 58.8, 0.0, 23275, 1.000, 0, 1.02, 1.035, 17.90
2020-05-06 12:29:30, 1002.7, 10.08, 11.33, 102.5, 7.69, 104.8, 42.0, 58.2, 0.0, 23789, 1.000, 0, 1.71, 2.009, 17.90
2020-05-06 12:29:40, 1002.7, 9.61, 11.48, 102.3, 7.65, 105.3, 41.7, 58.7, 0.0, 23989, 1.000, 0, 2.50, 3.139, 17.90
2020-05-06 12:29:50, 1002.8, 9.46, 11.55, 102.2, 7.61, 103.3, 41.5, 58.9, 0.0, 24104, 1.000, 0, 3.14, 4.049, 17.90
2020-05-06 12:30:00, 1002.7, 9.41, 11.57, 102.2, 7.56, 104.4, 41.5, 59.0, 0.0, 24125, 1.000, 0, 3.14, 4.045, 17.90
2020-05-06 12:30:10, 1002.7, 9.33, 11.57, 102.0, 7.62, 99.5, 41.4, 59.1, 0.0, 24153, 1.000, 0, 3.81, 5.005, 17.90
2020-05-06 12:30:20, 1002.7, 9.24, 11.58, 102.0, 7.55, 101.8, 41.4, 59.1, 0.0, 24157, 1.000, 0, 4.24, 5.609, 17.90
2020-05-06 12:30:30, 1002.7, 9.23, 11.58, 101.8, 7.56, 100.2, 41.4, 59.2, 0.0, 24179, 1.000, 0, 5.01, 6.703, 17.90
2020-05-06 12:30:40, 1002.6, 9.23, 11.56, 101.7, 7.55, 99.0, 41.4, 59.2, 0.0, 24178, 1.000, 0, 4.87, 6.504, 17.90
2020-05-06 12:30:50, 1002.6, 9.17, 11.56, 101.6, 7.53, 98.3, 41.3, 59.2, 0.0, 24184, 1.000, 0, 5.07, 6.789, 18.00
2020-05-06 12:31:00, 1002.6, 9.16, 11.57, 101.6, 7.54, 97.3, 41.4, 59.3, 0.0, 24178, 1.000, 0, 4.95, 6.615, 18.00
2020-05-06 12:31:10, 1002.6, 9.13, 11.58, 101.6, 7.55, 95.4, 41.3, 59.3, 0.0, 24187, 1.000, 0, 5.52, 7.437, 18.00
2020-05-06 12:31:20, 1002.6, 9.11, 11.57, 101.5, 7.56, 93.7, 41.3, 59.3, 0.0, 24194, 1.000, 0, 5.89, 7.958, 18.00
2020-05-06 12:31:30, 1002.6, 9.09, 11.57, 101.4, 7.58, 91.5, 41.4, 59.4, 0.0, 24177, 1.000, 0, 6.49, 8.811, 18.00
2020-05-06 12:31:40, 1002.6, 9.08, 11.58, 101.5, 7.60, 89.6, 41.3, 59.4, 0.0, 24200, 1.000, 0, 6.93, 9.440, 18.00
2020-05-06 12:31:50, 1002.6, 9.08, 11.57, 101.4, 7.63, 87.6, 41.3, 59.4, 0.0, 24212, 1.000, 0, 7.37, 10.070, 18.10
2020-05-06 12:32:00, 1002.6, 9.06, 11.57, 101.3, 7.65, 85.9, 41.3, 59.4, 0.0, 24198, 1.000, 0, 7.63, 10.427, 18.10
2020-05-06 12:32:10, 1002.6, 9.05, 11.57, 101.3, 7.67, 84.4, 41.3, 59.4, 0.0, 24227, 1.000, 0, 8.04, 11.019, 18.20
2020-05-06 12:32:20, 1002.6, 9.04, 11.56, 101.2, 7.68, 83.1, 41.3, 59.4, 0.0, 24226, 1.000, 0, 8.25, 11.315, 18.20
2020-05-06 12:32:30, 1002.7, 9.04, 11.57, 101.3, 7.70, 81.8, 41.3, 59.3, 0.0, 24238, 1.000, 0, 8.74, 12.017, 18.20
2020-05-06 12:32:40, 1002.7, 9.04, 11.57, 101.3, 7.72, 80.5, 41.3, 59.3, 0.0, 24238, 1.000, 0, 9.43, 12.994, 18.30
2020-05-06 12:32:50, 1002.7, 9.03, 11.57, 101.3, 7.74, 78.9, 41.3, 59.4, 0.0, 24229, 1.000, 0, 9.79, 13.509, 18.40
2020-05-06 12:33:00, 1002.7, 8.97, 11.57, 101.2, 7.76, 77.4, 41.3, 59.5, 0.0, 24205, 1.000, 0, 10.31, 14.251, 18.40
2020-05-06 12:33:10, 1002.6, 8.96, 11.57, 101.0, 7.78, 76.3, 41.4, 59.6, 0.0, 24180, 1.000, 0, 10.52, 14.541, 18.50
2020-05-06 12:33:20, 1002.6, 8.91, 11.56, 100.9, 7.81, 74.4, 41.4, 59.7, 0.0, 24169, 1.000, 0, 11.00, 15.231, 18.50
2020-05-06 12:33:30, 1002.7, 8.84, 11.56, 100.9, 7.86, 71.5, 41.3, 59.6, 0.0, 24216, 1.000, 0, 11.45, 15.869, 18.60
2020-05-06 12:33:40, 1002.6, 8.76, 11.54, 100.5, 7.92, 68.6, 41.2, 59.7, 0.0, 24255, 1.000, 0, 11.69, 16.212, 18.70
2020-05-06 12:33:57, 1002.6, 8.59, 11.53, 99.9, 8.08, 61.8, 40.8, 59.4, 0.0, 24506, 1.000, 0, 12.48, 17.336, 18.80
2020-05-06 12:34:07, 1002.6, 8.52, 11.47, 99.3, 8.20, 55.7, 40.7, 59.4, 0.0, 24546, 1.000, 0, 12.72, 17.678, 18.80
2020-05-06 12:34:17, 1002.6, 8.33, 11.43, 98.8, 8.40, 45.1, 40.7, 59.4, 0.0, 24600, 1.000, 0, 13.23, 18.402, 18.90
2020-05-06 12:34:27, 1002.6, 8.20, 11.45, 98.3, 8.62, 34.4, 40.3, 59.3, 0.0, 24789, 1.000, 0, 13.61, 18.938, 19.00
2020-05-06 12:34:37, 1002.6, 8.09, 11.41, 97.8, 8.94, 19.3, 40.3, 59.5, 0.0, 24792, 1.000, 0, 14.46, 20.150, 19.00
2020-05-06 12:34:47, 1002.6, 8.09, 11.39, 97.4, 9.25, 5.8, 40.2, 59.4, 0.0, 24856, 1.000, 0, 14.71, 20.510, 19.10
2020-05-06 12:34:57, 1002.6, 8.04, 11.38, 97.3, 9.63, -11.6, 40.2, 59.4, 0.0, 24884, 1.000, 0, 15.25, 21.272, 19.10
2020-05-06 12:35:07, 1002.6, 8.01, 11.37, 97.1, 9.94, -23.6, 40.2, 59.5, 0.0, 24871, 1.000, 0, 15.32, 21.376, 19.20
2020-05-06 12:35:24, 1002.6, 7.90, 11.36, 97.0, 10.35, -41.1, 40.2, 59.5, 0.0, 24879, 1.000, 0, 15.84, 22.105, 19.30
2020-05-06 12:35:41, 1002.6, 7.80, 11.34, 96.4, 10.66, -51.3, 40.0, 59.6, 0.0, 24995, 1.000, 0, 16.69, 23.314, 19.40
2020-05-06 12:35:51, 1002.6, 7.76, 11.32, 96.2, 10.72, -50.7, 40.0, 59.6, 0.0, 24991, 1.000, 0, 16.85, 23.551, 19.50
2020-05-06 12:36:01, 1002.6, 7.76, 11.34, 96.2, 10.76, -49.1, 40.0, 59.6, 0.0, 25005, 1.000, 0, 17.04, 23.824, 19.50
2020-05-06 12:36:11, 1002.6, 7.68, 11.32, 96.0, 10.94, -54.8, 40.0, 59.6, 0.0, 25022, 1.000, 0, 17.79, 24.877, 19.60
2020-05-06 12:36:21, 1002.5, 7.61, 11.31, 95.8, 11.01, -55.5, 39.9, 59.6, 0.0, 25076, 1.000, 0, 18.19, 25.459, 19.70
2020-05-06 12:36:31, 1002.6, 7.61, 11.32, 95.7, 10.99, -51.7, 39.8, 59.7, 0.0, 25104, 1.000, 0, 18.17, 25.423, 19.80
2020-05-06 12:36:41, 1002.5, 7.54, 11.30, 95.5, 11.11, -56.5, 39.8, 59.7, 0.0, 25118, 1.000, 0, 18.82, 26.353, 19.80
2020-05-06 12:36:51, 1002.6, 7.51, 11.30, 95.3, 11.22, -57.1, 39.8, 59.7, 0.0, 25142, 1.000, 0, 19.35, 27.102, 19.90
2020-05-06 12:37:01, 1002.5, 7.47, 11.29, 95.3, 11.37, -62.6, 39.8, 59.7, 0.0, 25150, 1.000, 0, 20.15, 28.238, 20.00
2020-05-06 12:37:11, 1002.5, 7.46, 11.30, 95.2, 11.44, -62.3, 39.7, 59.8, 0.0, 25165, 1.000, 0, 20.52, 28.760, 20.00
2020-05-06 12:37:21, 1002.6, 7.45, 11.31, 95.3, 11.44, -58.9, 39.7, 59.8, 0.0, 25172, 1.000, 0, 20.65, 28.945, 20.10
2020-05-06 12:37:31, 1002.6, 7.41, 11.32, 95.3, 11.48, -58.8, 39.7, 59.7, 0.0, 25192, 1.000, 0, 21.06, 29.538, 20.20
2020-05-06 12:37:41, 1002.6, 7.42, 11.31, 95.2, 11.45, -56.4, 39.7, 59.8, 0.0, 25176, 1.000, 0, 21.21, 29.748, 20.20
2020-05-06 12:37:51, 1002.6, 7.38, 11.32, 95.1, 11.54, -56.7, 39.7, 59.8, 0.0, 25204, 1.000, 0, 21.80, 30.589, 20.30
2020-05-06 12:38:01, 1002.6, 7.37, 11.31, 95.0, 11.49, -52.2, 39.6, 59.8, 0.0, 25221, 1.000, 0, 21.85, 30.660, 20.30
2020-05-06 12:38:11, 1002.6, 7.34, 11.31, 95.0, 11.58, -53.5, 39.6, 59.8, 0.0, 25229, 1.000, 0, 22.61, 31.740, 20.40
2020-05-06 12:38:21, 1002.6, 7.32, 11.29, 94.8, 11.57, -51.6, 39.6, 59.8, 0.0, 25241, 1.000, 0, 22.84, 32.072, 20.40
2020-05-06 12:38:31, 1002.6, 7.32, 11.29, 94.8, 11.59, -49.3, 39.6, 59.8, 0.0, 25236, 1.000, 0, 23.27, 32.680, 20.50
2020-05-06 12:38:41, 1002.6, 7.32, 11.28, 94.7, 11.57, -46.2, 39.6, 59.8, 0.0, 25246, 1.000, 0, 23.57, 33.106, 20.50
2020-05-06 12:38:51, 1002.6, 7.32, 11.27, 94.6, 11.48, -42.7, 39.6, 59.8, 0.0, 25230, 1.000, 0, 23.54, 33.060, 20.60
2020-05-06 12:39:01, 1002.5, 7.32, 11.28, 94.7, 11.50, -38.9, 39.6, 59.8, 0.0, 25246, 1.000, 0, 24.14, 33.917, 20.60
2020-05-06 12:39:11, 1002.5, 7.30, 11.28, 94.6, 11.44, -35.2, 39.6, 59.8, 0.0, 25249, 1.000, 0, 24.45, 34.353, 20.70
2020-05-06 12:39:21, 1002.6, 7.27, 11.28, 94.6, 11.39, -32.0, 39.6, 59.8, 0.0, 25256, 1.000, 0, 24.76, 34.791, 20.70
2020-05-06 12:39:31, 1002.6, 7.27, 11.28, 94.5, 11.34, -26.5, 39.6, 59.8, 0.0, 25266, 1.000, 0, 25.03, 35.179, 20.80
2020-05-06 12:39:41, 1002.6, 7.27, 11.27, 94.5, 11.22, -20.6, 39.6, 59.8, 0.0, 25275, 1.000, 0, 25.02, 35.167, 20.80
2020-05-06 12:39:51, 1002.6, 7.24, 11.27, 94.4, 11.16, -17.7, 39.6, 59.9, 0.0, 25250, 1.000, 0, 25.47, 35.804, 20.80
2020-05-06 12:40:01, 1002.6, 7.23, 11.26, 94.3, 11.12, -12.3, 39.6, 59.9, 0.0, 25267, 1.000, 0, 25.88, 36.398, 20.90
2020-05-06 12:40:11, 1002.6, 7.22, 11.25, 94.2, 11.09, -10.4, 39.6, 59.9, 0.0, 25281, 1.000, 0, 26.34, 37.040, 20.90
2020-05-06 12:40:21, 1002.5, 7.17, 11.24, 94.0, 11.02, -6.2, 39.5, 59.9, 0.0, 25306, 1.000, 0, 26.61, 37.426, 20.90
2020-05-06 12:40:31, 1002.6, 7.12, 11.21, 93.7, 10.90, -0.3, 39.5, 59.9, 0.0, 25347, 1.000, 0, 26.80, 37.698, 21.00
2020-05-06 12:40:41, 1002.6, 7.12, 11.20, 93.6, 10.84, 2.8, 39.4, 59.8, 0.0, 25378, 1.000, 0, 27.21, 38.280, 21.00
2020-05-06 12:40:51, 1002.5, 7.12, 11.18, 93.4, 10.72, 10.1, 39.4, 59.9, 0.0, 25359, 1.000, 0, 27.46, 38.632, 21.00
2020-05-06 12:41:01, 1002.5, 7.08, 11.18, 93.4, 10.64, 12.4, 39.4, 59.8, 0.0, 25400, 1.000, 0, 27.92, 39.295, 21.10
2020-05-06 12:41:11, 1002.6, 7.08, 11.19, 93.4, 10.53, 18.2, 39.4, 59.8, 0.0, 25410, 1.000, 0, 28.12, 39.580, 21.10
2020-05-06 12:41:21, 1002.5, 7.07, 11.18, 93.3, 10.42, 24.2, 39.4, 59.9, 0.0, 25384, 1.000, 0, 28.42, 40.001, 21.10
2020-05-06 12:41:31, 1002.6, 7.03, 11.17, 93.2, 10.38, 24.8, 39.4, 59.9, 0.0, 25399, 1.000, 0, 28.86, 40.630, 21.10
2020-05-06 12:41:41, 1002.5, 7.03, 11.15, 92.9, 10.27, 30.2, 39.3, 59.9, 0.0, 25418, 1.000, 0, 29.29, 41.238, 21.10
2020-05-06 12:41:51, 1002.5, 7.03, 11.13, 92.7, 10.12, 37.6, 39.4, 59.9, 0.0, 25408, 1.000, 0, 29.50, 41.543, 21.10
2020-05-06 12:42:11, 1002.5, 7.03, 11.10, 92.5, 9.71, 55.1, 39.4, 59.9, 0.0, 25410, 1.000, 0, 29.35, 41.326, 21.10
2020-05-06 12:42:21, 1002.4, 7.03, 11.09, 92.5, 9.49, 64.4, 39.3, 59.9, 0.0, 25427, 1.000, 0, 29.31, 41.266, 21.10
2020-05-06 12:42:31, 1002.6, 7.03, 11.08, 92.4, 9.31, 71.2, 39.3, 59.9, 0.0, 25415, 1.000, 0, 29.26, 41.200, 21.10
2020-05-06 12:42:41, 1002.5, 7.03, 11.09, 92.4, 9.13, 77.4, 39.4, 60.0, 0.0, 25399, 1.000, 0, 29.30, 41.254, 21.10
2020-05-06 12:42:51, 1002.4, 7.03, 11.08, 92.4, 8.94, 85.0, 39.4, 59.9, 0.0, 25406, 1.000, 0, 29.21, 41.124, 21.20
2020-05-06 12:43:01, 1002.4, 7.04, 11.08, 92.3, 8.45, 109.2, 39.4, 60.0, 0.0, 25396, 1.000, 0, 28.06, 39.485, 21.20
2020-05-06 12:43:18, 1002.5, 7.18, 11.19, 93.6, 7.38, 156.2, 39.5, 59.9, 0.0, 25315, 1.000, 0, 24.62, 34.593, 21.20
2020-05-06 12:43:28, 1002.5, 7.26, 11.24, 94.1, 6.74, 185.9, 39.6, 60.0, 0.0, 25246, 1.000, 0, 22.34, 31.363, 21.20
2020-05-06 12:43:38, 1002.5, 7.27, 11.29, 94.6, 6.32, 192.4, 39.6, 59.9, 0.0, 25228, 1.000, 0, 20.08, 28.146, 21.20
2020-05-06 12:43:48, 1002.5, 7.27, 11.30, 94.8, 6.51, 175.9, 39.6, 59.9, 0.0, 25246, 1.000, 0, 20.04, 28.080, 21.20
2020-05-06 12:43:58, 1002.5, 7.27, 11.31, 94.8, 6.69, 161.6, 39.6, 59.9, 0.0, 25249, 1.000, 0, 20.02, 28.052, 21.20
2020-05-06 12:44:08, 1002.5, 7.27, 11.30, 94.8, 6.82, 150.8, 39.6, 59.9, 0.0, 25260, 1.000, 0, 20.03, 28.064, 21.20
