Log:,MessDEP1- 1 of 1
Report Created:, 2020-06-11 20:57:40
Site:, MessDEP1
GPS:, , 
Log Created:, 2020-06-08 09:36:49
Number Readings:, 159
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-06-08 09:36:49, 1004.6, 18.57, 9.34, 100.7, 5.97, 61.5, 54.3, 62.0, 0.0, 18402, 0.999, 0, 0.51, 0.578, 26.40
2020-06-08 09:36:59, 1004.5, 18.55, 9.34, 100.7, 5.92, 62.0, 54.3, 61.9, 0.0, 18421, 0.999, 0, 0.45, 0.494, 26.50
2020-06-08 09:37:09, 1004.5, 18.53, 9.34, 100.7, 5.94, 62.6, 54.2, 61.9, 0.0, 18442, 0.999, 0, 0.50, 0.571, 26.70
2020-06-08 09:37:19, 1004.5, 18.50, 9.33, 100.5, 5.88, 67.0, 54.2, 61.9, 0.0, 18435, 0.999, 0, 0.93, 1.175, 26.80
2020-06-08 09:37:29, 1004.6, 18.50, 9.34, 100.6, 5.89, 65.9, 54.2, 61.8, 0.0, 18457, 0.999, 0, 1.61, 2.140, 27.00
2020-06-08 09:37:39, 1004.5, 18.51, 9.35, 100.7, 5.91, 66.3, 54.2, 61.9, 0.0, 18457, 0.999, 0, 1.14, 1.473, 27.10
2020-06-08 09:37:49, 1004.6, 18.47, 9.33, 100.4, 5.92, 67.2, 54.1, 61.8, 0.0, 18474, 0.999, 0, 1.53, 2.034, 27.30
2020-06-08 09:37:59, 1004.5, 18.45, 9.34, 100.5, 5.91, 69.2, 54.1, 61.9, 0.0, 18474, 0.999, 0, 1.63, 2.180, 27.40
2020-06-08 09:38:09, 1004.6, 18.43, 9.36, 100.6, 5.91, 69.5, 54.1, 61.9, 0.0, 18480, 0.999, 0, 1.85, 2.493, 27.60
2020-06-08 09:38:19, 1004.6, 18.43, 9.35, 100.5, 5.92, 71.0, 54.1, 61.9, 0.0, 18474, 0.999, 0, 1.99, 2.681, 27.80
2020-06-08 09:38:29, 1004.5, 18.41, 9.34, 100.4, 5.91, 71.3, 54.1, 61.9, 0.0, 18482, 0.999, 0, 2.37, 3.224, 27.90
2020-06-08 09:38:39, 1004.5, 18.40, 9.35, 100.5, 5.92, 71.8, 54.1, 61.9, 0.0, 18487, 0.999, 0, 2.61, 3.567, 28.10
2020-06-08 09:38:49, 1004.6, 18.39, 9.35, 100.4, 5.92, 72.2, 54.0, 61.8, 0.0, 18511, 0.999, 0, 2.63, 3.594, 28.20
2020-06-08 09:38:59, 1004.5, 18.39, 9.34, 100.3, 5.93, 72.4, 54.1, 61.9, 0.0, 18499, 0.999, 0, 2.92, 4.005, 28.30
2020-06-08 09:39:09, 1004.5, 18.35, 9.34, 100.3, 5.94, 72.6, 54.1, 61.9, 0.0, 18500, 0.999, 0, 3.28, 4.513, 28.50
2020-06-08 09:39:19, 1004.5, 18.35, 9.35, 100.3, 5.95, 72.8, 54.0, 61.9, 0.0, 18502, 0.999, 0, 3.61, 4.987, 28.60
2020-06-08 09:39:29, 1004.6, 18.34, 9.34, 100.2, 5.96, 73.0, 54.0, 61.9, 0.0, 18512, 0.999, 0, 3.82, 5.284, 28.70
2020-06-08 09:39:39, 1004.6, 18.30, 9.33, 100.1, 5.98, 72.9, 54.0, 61.9, 0.0, 18513, 0.999, 0, 4.09, 5.667, 28.90
2020-06-08 09:39:49, 1004.6, 18.30, 9.32, 100.0, 5.99, 72.8, 54.0, 62.0, 0.0, 18505, 0.999, 0, 4.40, 6.117, 29.00
2020-06-08 09:39:59, 1004.6, 18.26, 9.31, 99.8, 6.01, 72.7, 54.0, 62.0, 0.0, 18514, 0.999, 0, 4.96, 6.911, 29.10
2020-06-08 09:40:09, 1004.6, 18.24, 9.29, 99.5, 6.02, 72.5, 54.0, 61.9, 0.0, 18535, 0.999, 0, 5.17, 7.210, 29.20
2020-06-08 09:40:19, 1004.6, 18.22, 9.28, 99.4, 6.04, 72.5, 53.9, 61.9, 0.0, 18542, 0.999, 0, 5.43, 7.577, 29.30
2020-06-08 09:40:29, 1004.6, 18.21, 9.28, 99.3, 6.05, 72.6, 54.0, 62.0, 0.0, 18528, 0.999, 0, 5.63, 7.857, 29.40
2020-06-08 09:40:39, 1004.6, 18.21, 9.28, 99.4, 6.06, 72.5, 54.0, 62.1, 0.0, 18517, 0.999, 0, 6.02, 8.413, 29.50
2020-06-08 09:40:49, 1004.6, 18.17, 9.27, 99.3, 6.07, 72.7, 53.9, 62.0, 0.0, 18537, 0.999, 0, 6.26, 8.764, 29.60
2020-06-08 09:40:59, 1004.6, 18.03, 9.26, 99.0, 6.09, 72.6, 53.9, 62.0, 0.0, 18569, 0.999, 0, 6.72, 9.416, 29.70
2020-06-08 09:41:09, 1004.6, 17.87, 9.21, 98.0, 6.10, 73.0, 53.6, 61.9, 0.0, 18658, 0.999, 0, 6.83, 9.571, 29.90
2020-06-08 09:41:19, 1004.6, 17.58, 9.09, 96.4, 6.12, 73.2, 53.2, 61.8, 0.0, 18785, 0.999, 0, 7.18, 10.060, 30.00
2020-06-08 09:41:29, 1004.6, 17.50, 8.92, 94.2, 6.13, 73.6, 52.8, 61.6, 0.0, 18926, 0.999, 0, 7.11, 9.963, 30.10
2020-06-08 09:41:39, 1004.6, 17.50, 8.81, 93.0, 6.13, 73.9, 52.8, 61.7, 0.0, 18933, 0.999, 0, 7.13, 10.002, 30.20
2020-06-08 09:41:49, 1004.6, 17.45, 8.79, 92.6, 6.14, 74.1, 52.8, 61.7, 0.0, 18922, 0.999, 0, 7.09, 9.946, 30.30
2020-06-08 09:42:09, 1004.6, 17.32, 8.72, 91.7, 6.20, 72.5, 52.6, 61.6, 0.0, 18996, 0.999, 0, 7.61, 10.683, 30.60
2020-06-08 09:42:19, 1004.6, 17.27, 8.70, 91.4, 6.23, 71.6, 52.6, 61.7, 0.0, 19011, 0.999, 0, 7.70, 10.804, 30.70
2020-06-08 09:42:29, 1004.6, 17.23, 8.68, 91.1, 6.28, 70.0, 52.6, 61.7, 0.0, 19019, 0.999, 0, 8.04, 11.287, 30.80
2020-06-08 09:42:39, 1004.5, 17.19, 8.66, 90.8, 6.33, 67.7, 52.6, 61.8, 0.0, 19022, 0.999, 0, 8.14, 11.434, 30.90
2020-06-08 09:42:49, 1004.6, 17.14, 8.66, 90.8, 6.42, 64.1, 52.5, 61.7, 0.0, 19053, 0.999, 0, 8.49, 11.936, 31.00
2020-06-08 09:42:59, 1004.6, 17.05, 8.64, 90.5, 6.52, 60.1, 52.5, 61.7, 0.0, 19057, 0.999, 0, 8.80, 12.365, 31.10
2020-06-08 09:43:09, 1004.5, 16.94, 8.59, 89.7, 6.63, 55.1, 52.2, 61.6, 0.0, 19168, 0.999, 0, 8.98, 12.622, 31.20
2020-06-08 09:43:19, 1004.6, 16.92, 8.57, 89.3, 6.77, 49.6, 52.1, 61.6, 0.0, 19186, 0.999, 0, 9.07, 12.752, 31.30
2020-06-08 09:43:39, 1004.6, 16.43, 8.47, 87.9, 7.10, 36.8, 51.6, 61.3, 0.0, 19375, 0.999, 0, 9.51, 13.375, 31.40
2020-06-08 09:43:49, 1004.6, 15.59, 8.37, 85.7, 7.33, 28.0, 50.6, 60.9, 0.0, 19774, 0.999, 0, 9.87, 13.899, 31.50
2020-06-08 09:43:59, 1004.6, 15.04, 8.32, 83.8, 7.56, 18.8, 49.6, 60.8, 0.0, 20173, 0.999, 0, 10.15, 14.294, 31.60
2020-06-08 09:44:09, 1004.5, 14.69, 8.27, 82.5, 7.77, 11.1, 49.0, 60.7, 0.0, 20413, 0.999, 0, 10.16, 14.308, 31.60
2020-06-08 09:44:19, 1004.5, 14.30, 8.29, 81.9, 7.97, 4.2, 48.7, 61.0, 0.0, 20545, 0.999, 0, 10.40, 14.643, 31.70
