Log:,McGrath- 1 of 1
Report Created:, 2020-04-29 13:06:54
Site:, McGrath
GPS:, 44, 33, 56.43, -69, -45, -43.77
Log Created:, 2020-04-29 12:56:29
Number Readings:, 62
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-04-29 12:56:29, 1016.4, 9.84, 11.45, 100.8, 8.21, 62.6, 65.9, 92.7, 0.0, 15179, 1.000, 0, 0.62, 0.467, 22.60
2020-04-29 12:56:30, 1016.4, 9.75, 11.45, 100.8, 8.21, 61.9, 65.9, 92.7, 0.0, 15179, 1.000, 0, 0.62, 0.467, 22.60
2020-04-29 12:56:40, 1016.4, 9.65, 11.50, 100.9, 8.22, 61.2, 65.8, 93.0, 0.0, 15194, 1.000, 0, 0.68, 0.550, 22.60
2020-04-29 12:56:57, 1016.4, 9.09, 11.48, 99.7, 8.16, 65.6, 65.0, 92.9, 0.0, 15386, 1.000, 0, 1.38, 1.537, 22.60
2020-04-29 12:57:06, 1016.4, 8.99, 11.57, 99.9, 8.12, 67.4, 64.8, 93.1, 0.0, 15444, 1.000, 0, 1.51, 1.733, 22.50
2020-04-29 12:57:17, 1016.4, 8.85, 11.58, 99.7, 8.11, 66.9, 64.7, 93.3, 0.0, 15467, 1.000, 0, 1.80, 2.146, 22.50
2020-04-29 12:57:27, 1016.4, 8.71, 11.58, 99.4, 8.09, 67.9, 64.4, 93.3, 0.0, 15517, 1.000, 0, 2.16, 2.655, 22.40
2020-04-29 12:57:36, 1016.4, 8.67, 11.61, 99.3, 8.05, 70.2, 64.3, 93.4, 0.0, 15555, 1.000, 0, 2.47, 3.094, 22.40
2020-04-29 12:57:46, 1016.4, 8.61, 11.60, 99.2, 8.02, 68.5, 64.2, 93.4, 0.0, 15565, 1.000, 0, 2.64, 3.335, 22.30
2020-04-29 12:57:57, 1016.3, 8.56, 11.62, 99.3, 8.07, 66.9, 64.2, 93.5, 0.0, 15567, 1.000, 0, 2.84, 3.618, 22.30
2020-04-29 12:58:07, 1016.4, 8.48, 11.64, 99.2, 8.04, 68.4, 64.1, 93.5, 0.0, 15605, 1.000, 0, 3.19, 4.123, 22.20
2020-04-29 12:58:16, 1016.4, 8.47, 11.63, 99.1, 8.02, 68.9, 64.0, 93.5, 0.0, 15625, 1.000, 0, 3.47, 4.518, 22.20
2020-04-29 12:58:27, 1016.4, 8.39, 11.63, 98.9, 8.02, 68.5, 63.9, 93.6, 0.0, 15641, 1.000, 0, 3.78, 4.963, 22.10
2020-04-29 12:58:37, 1016.4, 8.36, 11.63, 98.9, 8.00, 69.1, 63.9, 93.6, 0.0, 15653, 1.000, 0, 3.91, 5.147, 22.10
2020-04-29 12:58:47, 1016.4, 8.30, 11.63, 98.7, 7.99, 69.1, 63.8, 93.7, 0.0, 15665, 1.000, 0, 4.32, 5.729, 22.00
2020-04-29 12:58:57, 1016.4, 8.28, 11.64, 98.7, 7.98, 69.2, 63.8, 93.6, 0.0, 15684, 1.000, 0, 4.70, 6.262, 22.00
2020-04-29 12:59:07, 1016.3, 8.22, 11.63, 98.5, 7.97, 69.0, 63.6, 93.6, 0.0, 15715, 1.000, 0, 5.01, 6.713, 21.90
2020-04-29 12:59:17, 1016.4, 8.14, 11.59, 98.0, 7.97, 68.6, 63.6, 93.6, 0.0, 15732, 1.000, 0, 5.27, 7.079, 21.80
2020-04-29 12:59:27, 1016.4, 8.09, 11.58, 97.8, 7.98, 68.1, 63.4, 93.7, 0.0, 15767, 1.000, 0, 5.47, 7.356, 21.70
2020-04-29 12:59:37, 1016.4, 8.08, 11.55, 97.5, 7.98, 67.3, 63.5, 93.7, 0.0, 15755, 1.000, 0, 5.83, 7.867, 21.70
2020-04-29 12:59:46, 1016.5, 8.07, 11.54, 97.3, 7.99, 66.6, 63.4, 93.7, 0.0, 15772, 1.000, 0, 6.11, 8.278, 21.60
2020-04-29 12:59:57, 1016.4, 8.04, 11.52, 97.1, 8.00, 66.0, 63.5, 93.9, 0.0, 15755, 1.000, 0, 6.29, 8.524, 21.60
2020-04-29 13:00:07, 1016.4, 8.03, 11.49, 96.8, 8.01, 65.5, 63.4, 93.8, 0.0, 15776, 1.000, 0, 6.55, 8.895, 21.50
2020-04-29 13:00:17, 1016.4, 8.01, 11.41, 96.2, 8.01, 65.2, 63.4, 93.9, 0.0, 15767, 1.000, 0, 6.85, 9.325, 21.40
2020-04-29 13:00:27, 1016.4, 8.00, 11.36, 95.7, 8.01, 64.8, 63.4, 93.9, 0.0, 15768, 1.000, 0, 7.09, 9.671, 21.30
2020-04-29 13:00:37, 1016.4, 7.99, 11.33, 95.4, 8.02, 64.7, 63.5, 94.0, 0.0, 15751, 1.000, 0, 7.41, 10.113, 21.30
2020-04-29 13:00:46, 1016.4, 8.02, 11.28, 95.0, 8.02, 63.0, 65.4, 96.9, 0.0, 15282, 1.000, 0, 7.41, 10.117, 21.20
2020-04-29 13:00:57, 1016.4, 8.03, 11.24, 94.7, 8.00, 56.9, 65.3, 96.6, 0.0, 15318, 1.000, 0, 7.42, 10.140, 21.20
2020-04-29 13:01:07, 1016.4, 8.04, 11.24, 94.7, 7.99, 54.9, 65.1, 96.3, 0.0, 15364, 1.000, 0, 7.41, 10.119, 21.10
2020-04-29 13:01:17, 1016.4, 8.04, 11.23, 94.6, 7.99, 54.7, 65.0, 96.1, 0.0, 15392, 1.000, 0, 7.39, 10.087, 21.00
2020-04-29 13:01:27, 1016.4, 8.04, 11.21, 94.5, 7.98, 55.1, 64.8, 95.8, 0.0, 15433, 1.000, 0, 7.35, 10.036, 21.00
2020-04-29 13:01:37, 1016.4, 7.99, 10.04, 84.5, 7.98, 55.2, 65.9, 97.6, 0.0, 15174, 1.000, 0, 7.33, 10.001, 20.90
2020-04-29 13:01:46, 1016.3, 7.99, 5.97, 50.3, 7.97, 55.2, 66.1, 97.9, 0.0, 15124, 1.000, 0, 7.27, 9.915, 20.80
2020-04-29 13:01:57, 1016.4, 7.99, 3.69, 31.1, 7.92, 50.6, 66.4, 98.3, 0.0, 15071, 1.000, 0, 7.29, 9.950, 20.80
2020-04-29 13:02:07, 1016.4, 7.99, 2.40, 20.2, 7.92, 47.4, 65.5, 97.0, 0.0, 15265, 1.000, 0, 7.33, 10.002, 20.70
