Log:,MPDEP1- 1 of 1
Report Created:, 2020-06-11 21:14:39
Site:, MPDEP1
GPS:, , 
Log Created:, 2020-06-09 10:51:23
Number Readings:, 80
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-06-09 10:51:23, 1003.3, 19.21, 9.16, 100.1, 6.95, 58.2, 87.9, 98.9, 0.0, 11371, 0.998, 0, 0.10, -0.008, 19.30
2020-06-09 10:51:31, 1003.3, 19.22, 9.14, 100.0, 6.94, 57.8, 87.9, 98.9, 0.0, 11373, 0.998, 0, 0.11, 0.004, 19.30
2020-06-09 10:51:41, 1003.3, 19.24, 9.14, 100.0, 6.96, 56.5, 87.9, 98.8, 0.0, 11372, 0.998, 0, 0.10, -0.008, 19.30
2020-06-09 10:51:51, 1003.2, 19.23, 9.14, 100.0, 6.97, 55.8, 88.0, 98.8, 0.0, 11369, 0.998, 0, 0.10, -0.002, 19.30
2020-06-09 10:52:01, 1003.3, 19.24, 9.13, 99.9, 6.98, 54.7, 88.0, 98.8, 0.0, 11368, 0.998, 0, 0.29, 0.267, 19.30
2020-06-09 10:52:11, 1003.4, 19.24, 9.14, 100.0, 6.97, 55.1, 88.0, 98.8, 0.0, 11368, 0.998, 0, 0.49, 0.545, 19.30
2020-06-09 10:52:21, 1003.4, 19.23, 9.14, 100.0, 6.99, 56.4, 87.9, 98.8, 0.0, 11371, 0.998, 0, 0.65, 0.778, 19.40
2020-06-09 10:52:31, 1003.4, 19.24, 9.15, 100.1, 6.96, 55.3, 88.0, 98.8, 0.0, 11370, 0.998, 0, 0.93, 1.172, 19.40
2020-06-09 10:52:41, 1003.3, 19.24, 9.14, 100.1, 6.99, 54.3, 88.0, 98.8, 0.0, 11368, 0.998, 0, 1.19, 1.541, 19.40
2020-06-09 10:52:51, 1003.4, 19.23, 9.14, 100.0, 7.00, 54.2, 88.0, 98.9, 0.0, 11365, 0.998, 0, 1.40, 1.849, 19.50
2020-06-09 10:53:08, 1003.3, 19.24, 9.14, 100.0, 7.01, 55.8, 88.0, 98.8, 0.0, 11368, 0.998, 0, 1.54, 2.047, 19.50
2020-06-09 10:53:18, 1003.4, 19.23, 9.14, 100.0, 7.01, 55.6, 88.0, 98.9, 0.0, 11364, 0.998, 0, 1.68, 2.251, 19.60
2020-06-09 10:53:28, 1003.4, 19.24, 9.13, 99.9, 7.01, 56.0, 87.9, 98.8, 0.0, 11370, 0.998, 0, 1.82, 2.443, 19.60
2020-06-09 10:53:38, 1003.3, 19.23, 9.13, 99.9, 7.02, 55.6, 88.0, 98.9, 0.0, 11366, 0.998, 0, 2.08, 2.807, 19.70
2020-06-09 10:53:48, 1003.3, 19.22, 9.14, 100.0, 7.02, 55.6, 88.0, 98.9, 0.0, 11361, 0.998, 0, 2.17, 2.935, 19.70
2020-06-09 10:53:58, 1003.4, 19.23, 9.13, 99.9, 7.03, 55.6, 87.9, 98.8, 0.0, 11371, 0.998, 0, 2.60, 3.554, 19.80
2020-06-09 10:54:08, 1003.3, 19.19, 9.12, 99.8, 7.03, 55.9, 88.0, 98.9, 0.0, 11368, 0.998, 0, 2.72, 3.726, 19.80
2020-06-09 10:54:18, 1003.3, 19.19, 9.12, 99.7, 7.03, 56.0, 87.9, 98.9, 0.0, 11375, 0.998, 0, 2.98, 4.096, 19.80
2020-06-09 10:54:28, 1003.2, 19.16, 9.12, 99.7, 7.03, 56.2, 87.9, 98.9, 0.0, 11380, 0.998, 0, 3.16, 4.345, 19.90
2020-06-09 10:54:38, 1003.3, 19.15, 9.12, 99.6, 7.04, 56.2, 87.9, 98.9, 0.0, 11378, 0.998, 0, 3.31, 4.567, 19.90
2020-06-09 10:54:48, 1003.3, 19.13, 9.10, 99.4, 7.04, 56.5, 87.8, 98.8, 0.0, 11391, 0.998, 0, 3.51, 4.842, 20.00
2020-06-09 10:54:58, 1003.3, 19.10, 9.07, 99.0, 7.04, 56.6, 87.8, 98.9, 0.0, 11392, 0.998, 0, 3.69, 5.105, 20.00
2020-06-09 10:55:08, 1003.3, 19.10, 9.04, 98.7, 7.04, 56.8, 87.7, 98.9, 0.0, 11399, 0.998, 0, 3.85, 5.325, 20.00
2020-06-09 10:55:18, 1003.3, 19.10, 9.04, 98.6, 7.05, 56.9, 87.7, 98.9, 0.0, 11396, 0.998, 0, 3.97, 5.507, 20.10
2020-06-09 10:55:28, 1003.3, 19.10, 9.04, 98.6, 7.05, 57.0, 87.8, 98.9, 0.0, 11394, 0.998, 0, 4.04, 5.603, 20.10
2020-06-09 10:55:38, 1003.3, 19.08, 9.04, 98.7, 7.05, 57.0, 87.8, 99.0, 0.0, 11393, 0.998, 0, 4.25, 5.899, 20.20
2020-06-09 10:55:55, 1003.3, 19.10, 9.03, 98.5, 7.06, 58.9, 87.8, 99.0, 0.0, 11393, 0.998, 0, 4.46, 6.195, 20.20
2020-06-09 10:56:15, 1003.3, 19.07, 9.04, 98.6, 7.07, 58.4, 87.7, 98.9, 0.0, 11397, 0.998, 0, 4.63, 6.436, 20.20
2020-06-09 10:56:25, 1003.3, 19.10, 9.05, 98.8, 7.08, 58.1, 87.8, 99.0, 0.0, 11389, 0.998, 0, 4.78, 6.648, 20.30
2020-06-09 10:56:35, 1003.2, 19.10, 9.05, 98.8, 7.08, 57.9, 87.8, 98.9, 0.0, 11389, 0.998, 0, 4.96, 6.911, 20.30
2020-06-09 10:56:45, 1003.2, 19.01, 9.03, 98.5, 7.09, 57.8, 87.7, 98.9, 0.0, 11406, 0.998, 0, 5.01, 6.985, 20.30
2020-06-09 10:56:55, 1003.2, 19.01, 9.01, 98.2, 7.10, 57.6, 87.7, 99.0, 0.0, 11405, 0.998, 0, 5.15, 7.186, 20.40
2020-06-09 10:57:05, 1003.2, 19.01, 9.00, 98.0, 7.10, 57.6, 87.6, 99.0, 0.0, 11412, 0.998, 0, 5.19, 7.240, 20.40
2020-06-09 10:57:15, 1003.2, 19.01, 8.99, 98.0, 7.10, 57.7, 87.6, 98.9, 0.0, 11415, 0.998, 0, 5.13, 7.150, 20.40
2020-06-09 10:57:25, 1003.2, 19.00, 8.99, 97.9, 7.11, 57.9, 87.6, 99.0, 0.0, 11412, 0.998, 0, 5.15, 7.174, 20.40
2020-06-09 10:57:35, 1003.3, 19.01, 8.98, 97.8, 7.11, 57.7, 87.6, 98.9, 0.0, 11417, 0.998, 0, 5.16, 7.193, 20.40
2020-06-09 10:57:45, 1003.3, 19.00, 9.00, 98.0, 7.11, 57.8, 87.6, 98.9, 0.0, 11412, 0.998, 0, 5.15, 7.182, 20.50
2020-06-09 10:57:55, 1003.2, 18.99, 9.00, 98.0, 7.12, 57.8, 87.6, 99.0, 0.0, 11413, 0.998, 0, 5.14, 7.159, 20.50
2020-06-09 10:58:05, 1003.2, 18.99, 9.00, 98.0, 7.12, 57.8, 87.6, 99.0, 0.0, 11414, 0.998, 0, 5.13, 7.146, 20.50
2020-06-09 10:58:15, 1003.2, 19.00, 9.00, 98.1, 7.13, 57.7, 87.7, 99.0, 0.0, 11408, 0.998, 0, 5.13, 7.149, 20.50
2020-06-09 10:58:25, 1003.3, 19.01, 9.00, 98.0, 7.13, 57.5, 87.6, 99.0, 0.0, 11411, 0.998, 0, 5.14, 7.166, 20.60
2020-06-09 10:58:35, 1003.2, 19.01, 8.99, 97.9, 7.14, 57.3, 87.7, 99.0, 0.0, 11409, 0.998, 0, 5.15, 7.178, 20.50
2020-06-09 10:58:45, 1003.2, 19.00, 9.00, 98.1, 7.16, 56.5, 87.7, 99.0, 0.0, 11404, 0.998, 0, 5.35, 7.460, 20.60
2020-06-09 10:58:55, 1003.2, 18.96, 8.98, 97.7, 7.18, 56.0, 87.6, 99.0, 0.0, 11409, 0.998, 0, 5.52, 7.711, 20.60
2020-06-09 10:59:05, 1003.3, 18.70, 8.91, 96.9, 7.21, 55.4, 87.2, 98.7, 0.0, 11462, 0.998, 0, 5.70, 7.965, 20.60
2020-06-09 10:59:15, 1003.2, 17.94, 8.65, 93.3, 7.25, 55.3, 85.5, 97.6, 0.0, 11691, 0.999, 0, 5.89, 8.229, 20.70
2020-06-09 10:59:25, 1003.2, 17.27, 8.38, 88.8, 7.29, 54.5, 83.5, 97.2, 0.0, 11978, 0.999, 0, 6.00, 8.384, 20.70
2020-06-09 10:59:35, 1003.2, 16.83, 7.93, 83.1, 7.33, 53.7, 82.8, 97.4, 0.0, 12082, 0.999, 0, 6.24, 8.731, 20.70
2020-06-09 10:59:45, 1003.2, 16.33, 7.50, 77.9, 7.39, 52.2, 82.0, 97.5, 0.0, 12194, 0.999, 0, 6.49, 9.080, 20.70
2020-06-09 10:59:55, 1003.2, 15.58, 7.00, 71.9, 7.45, 50.5, 81.3, 97.7, 0.0, 12307, 0.999, 0, 7.16, 10.033, 20.70
2020-06-09 11:00:05, 1003.2, 15.30, 6.19, 62.6, 7.52, 48.3, 80.8, 98.9, 0.0, 12376, 0.999, 0, 7.17, 10.049, 20.80
2020-06-09 11:00:15, 1003.2, 15.43, 5.65, 57.1, 7.56, 46.9, 84.7, 103.8, 0.0, 11802, 0.999, 0, 7.11, 9.975, 20.80
2020-06-09 11:00:25, 1003.2, 15.48, 5.35, 54.2, 7.60, 43.3, 85.5, 104.6, 0.0, 11692, 0.999, 0, 7.11, 9.966, 20.80
2020-06-09 11:00:42, 1003.3, 15.26, 4.93, 49.7, 7.66, 30.9, 86.8, 106.7, 0.0, 11515, 0.999, 0, 7.07, 9.913, 20.90
2020-06-09 11:00:52, 1003.2, 15.22, 4.76, 47.9, 7.68, 15.2, 86.6, 106.4, 0.0, 11549, 0.999, 0, 7.05, 9.879, 20.90
2020-06-09 11:01:02, 1003.2, 15.08, 4.19, 42.0, 7.70, -29.9, 88.6, 109.2, 0.1, 11285, 0.999, 0, 7.11, 9.967, 20.90
2020-06-09 11:01:12, 1003.2, 15.10, 3.94, 39.6, 7.73, -46.3, 89.3, 110.2, 0.1, 11194, 0.999, 0, 7.09, 9.946, 20.90
2020-06-09 11:01:22, 1003.1, 15.05, 4.20, 42.2, 7.75, -44.2, 88.6, 109.2, 0.1, 11293, 0.999, 0, 7.06, 9.900, 20.90
2020-06-09 11:01:32, 1003.2, 15.03, 4.46, 44.7, 7.78, -47.9, 89.8, 111.0, 0.1, 11130, 0.999, 0, 7.08, 9.921, 21.00
