Log:,NPDEP1- 1 of 1
Report Created:, 2020-06-08 20:08:50
Site:, NPDEP1
GPS:, , 
Log Created:, 2020-06-08 12:10:59
Number Readings:, 66
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-06-08 12:10:59, 1002.6, 19.28, 9.13, 100.1, 6.89, 86.2, 48.6, 54.5, 0.0, 20595, 0.998, 0, 0.38, 0.393, 29.50
2020-06-08 12:11:06, 1002.6, 19.28, 9.14, 100.2, 6.95, 82.7, 48.6, 54.5, 0.0, 20593, 0.998, 0, 0.31, 0.302, 29.60
2020-06-08 12:11:16, 1002.6, 19.28, 9.13, 100.0, 6.89, 81.9, 48.5, 54.5, 0.0, 20598, 0.998, 0, 0.20, 0.143, 29.70
2020-06-08 12:11:26, 1002.7, 19.28, 9.14, 100.1, 6.87, 81.1, 48.5, 54.5, 0.0, 20605, 0.998, 0, 0.65, 0.777, 29.80
2020-06-08 12:11:36, 1002.6, 19.28, 9.14, 100.1, 6.91, 79.2, 48.6, 54.5, 0.0, 20591, 0.998, 0, 0.84, 1.050, 29.90
2020-06-08 12:11:46, 1002.6, 19.28, 9.14, 100.2, 6.90, 78.0, 48.6, 54.5, 0.0, 20591, 0.998, 0, 0.85, 1.070, 30.00
2020-06-08 12:11:56, 1002.6, 19.28, 9.13, 100.0, 6.92, 77.1, 48.6, 54.5, 0.0, 20595, 0.998, 0, 1.20, 1.558, 30.10
2020-06-08 12:12:06, 1002.7, 19.28, 9.13, 100.0, 6.90, 77.1, 48.6, 54.5, 0.0, 20584, 0.998, 0, 0.99, 1.265, 30.10
2020-06-08 12:12:16, 1002.6, 19.28, 9.13, 100.1, 6.89, 76.6, 48.5, 54.5, 0.0, 20601, 0.998, 0, 0.89, 1.124, 30.20
2020-06-08 12:12:26, 1002.6, 19.28, 9.13, 100.1, 6.91, 74.2, 48.5, 54.5, 0.0, 20608, 0.998, 0, 1.20, 1.566, 30.30
2020-06-08 12:12:36, 1002.7, 19.25, 9.12, 100.0, 6.91, 74.8, 48.5, 54.5, 0.0, 20604, 0.998, 0, 1.50, 1.992, 30.30
2020-06-08 12:12:46, 1002.7, 19.25, 9.12, 99.9, 6.90, 74.8, 48.5, 54.5, 0.0, 20608, 0.998, 0, 1.69, 2.254, 30.30
2020-06-08 12:12:56, 1002.5, 19.24, 9.11, 99.8, 6.90, 74.1, 48.5, 54.5, 0.0, 20598, 0.998, 0, 2.23, 3.027, 30.40
2020-06-08 12:13:06, 1002.6, 19.23, 9.11, 99.8, 6.90, 74.5, 48.5, 54.5, 0.0, 20628, 0.998, 0, 2.23, 3.030, 30.40
2020-06-08 12:13:16, 1002.6, 19.23, 9.10, 99.6, 6.90, 74.1, 48.5, 54.5, 0.0, 20605, 0.998, 0, 2.31, 3.134, 30.40
2020-06-08 12:13:26, 1002.6, 19.23, 9.08, 99.5, 6.90, 74.2, 48.5, 54.5, 0.0, 20610, 0.998, 0, 2.90, 3.974, 30.40
2020-06-08 12:13:36, 1002.4, 19.23, 9.09, 99.6, 6.90, 73.9, 48.5, 54.5, 0.0, 20624, 0.998, 0, 2.99, 4.102, 30.40
2020-06-08 12:13:46, 1002.6, 19.24, 9.09, 99.5, 6.90, 73.7, 48.5, 54.5, 0.0, 20621, 0.998, 0, 3.16, 4.353, 30.40
2020-06-08 12:13:56, 1002.6, 19.23, 9.10, 99.6, 6.91, 73.8, 48.5, 54.5, 0.0, 20620, 0.998, 0, 3.49, 4.813, 30.40
2020-06-08 12:14:06, 1002.7, 19.23, 9.10, 99.6, 6.91, 73.7, 48.5, 54.5, 0.0, 20622, 0.998, 0, 3.52, 4.861, 30.40
2020-06-08 12:14:16, 1002.5, 19.21, 9.08, 99.5, 6.91, 73.4, 48.5, 54.5, 0.0, 20609, 0.998, 0, 3.86, 5.350, 30.40
2020-06-08 12:14:26, 1002.6, 19.19, 9.08, 99.4, 6.92, 73.2, 48.5, 54.5, 0.0, 20630, 0.998, 0, 4.20, 5.834, 30.30
2020-06-08 12:14:36, 1002.6, 19.20, 9.07, 99.2, 6.92, 73.0, 48.5, 54.5, 0.0, 20621, 0.998, 0, 4.08, 5.652, 30.30
2020-06-08 12:14:46, 1002.6, 19.20, 9.08, 99.4, 6.93, 72.7, 48.5, 54.5, 0.0, 20628, 0.998, 0, 4.37, 6.069, 30.30
2020-06-08 12:14:56, 1002.6, 19.20, 9.08, 99.3, 6.94, 72.2, 48.5, 54.5, 0.0, 20615, 0.998, 0, 4.85, 6.753, 30.20
2020-06-08 12:15:06, 1002.6, 19.19, 9.08, 99.4, 6.95, 71.8, 48.5, 54.6, 0.0, 20600, 0.998, 0, 5.18, 7.229, 30.20
2020-06-08 12:15:16, 1002.6, 19.15, 9.03, 98.7, 6.97, 62.2, 48.4, 54.5, 0.0, 20652, 0.998, 0, 5.50, 7.679, 30.10
2020-06-08 12:15:26, 1002.6, 19.15, 8.95, 97.9, 6.98, 46.3, 52.2, 58.8, 0.0, 19150, 0.998, 0, 5.56, 7.768, 30.10
2020-06-08 12:15:36, 1002.7, 19.10, 8.87, 96.9, 6.98, 22.1, 54.5, 61.4, 0.0, 18343, 0.998, 0, 5.53, 7.723, 30.00
2020-06-08 12:15:46, 1002.6, 19.08, 8.34, 91.0, 6.95, 1.1, 55.3, 62.3, 0.0, 18099, 0.998, 0, 5.56, 7.761, 30.00
2020-06-08 12:15:56, 1002.7, 19.07, 7.02, 76.6, 6.93, -3.8, 55.0, 62.0, 0.0, 18196, 0.998, 0, 5.56, 7.769, 29.90
2020-06-08 12:16:06, 1002.7, 19.06, 5.73, 62.6, 6.92, -4.0, 54.6, 61.6, 0.0, 18320, 0.998, 0, 5.59, 7.800, 29.90
2020-06-08 12:16:16, 1002.7, 19.06, 4.51, 49.2, 6.91, -3.0, 54.9, 61.9, 0.0, 18211, 0.998, 0, 5.57, 7.781, 29.80
2020-06-08 12:16:26, 1002.7, 19.06, 3.43, 37.4, 6.90, -1.6, 54.7, 61.7, 0.0, 18269, 0.998, 0, 5.58, 7.785, 29.80
2020-06-08 12:16:36, 1002.7, 19.06, 2.48, 27.1, 6.89, -0.5, 54.6, 61.6, 0.0, 18309, 0.998, 0, 5.56, 7.767, 29.70
2020-06-08 12:16:46, 1002.6, 19.06, 1.72, 18.8, 6.88, 0.5, 54.6, 61.6, 0.0, 18321, 0.998, 0, 5.57, 7.771, 29.60
2020-06-08 12:16:56, 1002.7, 19.04, 1.14, 12.4, 6.87, 1.3, 54.5, 61.5, 0.0, 18354, 0.998, 0, 5.58, 7.787, 29.50
2020-06-08 12:17:06, 1002.7, 19.02, 0.72, 7.8, 6.87, 2.0, 54.5, 61.5, 0.0, 18349, 0.998, 0, 5.57, 7.778, 29.40
2020-06-08 12:17:16, 1002.7, 19.01, 0.43, 4.7, 6.87, 2.4, 54.5, 61.5, 0.0, 18357, 0.998, 0, 5.56, 7.770, 29.30
2020-06-08 12:17:26, 1002.7, 19.01, 0.26, 2.9, 6.87, 2.8, 54.5, 61.5, 0.0, 18350, 0.998, 0, 5.57, 7.771, 29.20
2020-06-08 12:17:36, 1002.7, 19.01, 0.16, 1.7, 6.87, 2.7, 54.4, 61.5, 0.0, 18366, 0.998, 0, 5.56, 7.766, 29.00
2020-06-08 12:17:46, 1002.7, 19.01, 0.10, 1.1, 6.87, 2.6, 54.5, 61.5, 0.0, 18359, 0.998, 0, 5.56, 7.768, 28.90
2020-06-08 12:17:56, 1002.7, 19.00, 0.07, 0.8, 6.87, 2.4, 54.5, 61.6, 0.0, 18338, 0.998, 0, 5.54, 7.739, 28.70
