Log:,Salmon lake- 2 of 2
Report Created:, 2020-04-29 12:40:32
Site:, Salmon lake
GPS:, 44, 31, 17.61, -69, -47, -1.41
Log Created:, 2020-04-29 12:27:05
Number Readings:, 68
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2020-04-29 12:27:05, 1016.5, 8.09, 11.76, 99.4, 8.52, 94.7, 57.8, 85.3, 0.0, 17295, 1.000, 0, 2.28, 2.829, 20.90
2020-04-29 12:27:13, 1016.5, 8.04, 11.77, 99.3, 8.50, 93.0, 57.8, 85.4, 0.0, 17309, 1.000, 0, 2.53, 3.184, 21.10
2020-04-29 12:27:23, 1016.6, 8.04, 11.77, 99.1, 8.49, 92.0, 57.7, 85.4, 0.0, 17328, 1.000, 0, 3.08, 3.955, 21.20
2020-04-29 12:27:33, 1016.6, 7.99, 11.78, 99.3, 8.48, 91.1, 57.7, 85.4, 0.0, 17319, 1.000, 0, 3.46, 4.504, 21.30
2020-04-29 12:27:43, 1016.6, 7.99, 11.79, 99.2, 8.45, 90.4, 57.7, 85.5, 0.0, 17326, 1.000, 0, 4.07, 5.364, 21.50
2020-04-29 12:27:53, 1016.6, 7.97, 11.76, 99.0, 8.43, 89.5, 57.7, 85.4, 0.0, 17342, 1.000, 0, 4.55, 6.055, 21.60
2020-04-29 12:28:03, 1016.6, 7.94, 11.78, 99.1, 8.41, 88.8, 57.6, 85.4, 0.0, 17360, 1.000, 0, 4.84, 6.465, 21.80
2020-04-29 12:28:13, 1016.5, 7.94, 11.77, 98.9, 8.40, 87.8, 57.6, 85.4, 0.0, 17360, 1.000, 0, 5.18, 6.945, 21.90
2020-04-29 12:28:23, 1016.6, 7.93, 11.77, 99.0, 8.40, 86.6, 57.7, 85.5, 0.0, 17346, 1.000, 0, 5.60, 7.539, 22.10
2020-04-29 12:28:33, 1016.6, 7.91, 11.77, 98.9, 8.40, 85.2, 57.6, 85.5, 0.0, 17355, 1.000, 0, 5.93, 8.010, 22.20
2020-04-29 12:28:43, 1016.5, 7.90, 11.77, 98.9, 8.40, 83.8, 57.6, 85.5, 0.0, 17370, 1.000, 0, 6.47, 8.779, 22.40
2020-04-29 12:28:53, 1016.6, 7.90, 11.76, 98.7, 8.40, 82.6, 57.6, 85.5, 0.0, 17360, 1.000, 0, 6.90, 9.395, 22.60
2020-04-29 12:29:03, 1016.6, 7.90, 11.75, 98.7, 8.40, 81.5, 57.6, 85.6, 0.0, 17358, 1.000, 0, 7.17, 9.781, 22.70
2020-04-29 12:29:13, 1016.5, 7.90, 11.75, 98.7, 8.40, 80.5, 57.6, 85.5, 0.0, 17371, 1.000, 0, 7.67, 10.494, 22.90
2020-04-29 12:29:23, 1016.6, 7.89, 11.74, 98.6, 8.41, 79.4, 57.6, 85.5, 0.0, 17376, 1.000, 0, 8.11, 11.119, 23.10
2020-04-29 12:29:33, 1016.5, 7.89, 11.75, 98.6, 8.39, 78.7, 57.6, 85.5, 0.0, 17364, 1.000, 0, 8.32, 11.411, 23.30
2020-04-29 12:29:43, 1016.6, 7.87, 11.73, 98.4, 8.40, 77.8, 57.6, 85.6, 0.0, 17359, 1.000, 0, 8.64, 11.872, 23.50
2020-04-29 12:29:53, 1016.5, 7.86, 11.74, 98.5, 8.41, 76.6, 57.5, 85.5, 0.0, 17377, 1.000, 0, 9.17, 12.617, 23.70
2020-04-29 12:30:03, 1016.5, 7.85, 11.75, 98.6, 8.41, 75.5, 57.6, 85.6, 0.0, 17370, 1.000, 0, 9.30, 12.803, 23.80
2020-04-29 12:30:13, 1016.5, 7.85, 11.76, 98.7, 8.44, 73.6, 57.6, 85.6, 0.0, 17371, 1.000, 0, 10.00, 13.804, 24.00
2020-04-29 12:30:23, 1016.5, 7.85, 11.75, 98.6, 8.46, 71.5, 57.5, 85.6, 0.0, 17381, 1.000, 0, 10.46, 14.464, 24.20
2020-04-29 12:30:33, 1016.6, 7.85, 11.74, 98.5, 8.50, 68.7, 57.5, 85.6, 0.0, 17377, 1.000, 0, 10.84, 14.993, 24.30
2020-04-29 12:30:43, 1016.6, 7.84, 11.72, 98.3, 8.56, 65.2, 57.5, 85.6, 0.0, 17377, 1.000, 0, 11.21, 15.522, 24.50
2020-04-29 12:30:53, 1016.5, 7.81, 11.71, 98.2, 8.65, 60.6, 57.5, 85.5, 0.0, 17406, 1.000, 0, 11.66, 16.159, 24.60
2020-04-29 12:31:03, 1016.5, 7.80, 11.72, 98.2, 8.77, 54.4, 57.4, 85.6, 0.0, 17408, 1.000, 0, 12.10, 16.793, 24.80
2020-04-29 12:31:13, 1016.5, 7.80, 11.72, 98.2, 8.91, 46.8, 57.5, 85.6, 0.0, 17389, 1.000, 0, 12.44, 17.272, 24.90
2020-04-29 12:31:23, 1016.5, 7.80, 11.71, 98.1, 9.11, 37.4, 57.5, 85.6, 0.0, 17395, 1.000, 0, 12.92, 17.956, 25.10
