Log:,EPDEP1- 1 of 1
Report Created:, 2019-07-26 14:18:20
Site:, EPDEP1
GPS:, 0, 0, 0, 0, 0, 0
Log Created:, 2019-07-26 10:02:31
Number Readings:, 124
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-26 10:02:31, 1015.1, 26.15, 8.35, 103.0, 7.04, 190.3, 61.5, 60.2, 0.0, 16257, 0.997, 0, 0.35, 0.260, 30.20
2019-07-26 10:02:33, 1015.1, 26.11, 8.35, 103.0, 7.11, 213.7, 61.5, 60.2, 0.0, 16257, 0.997, 0, 0.35, 0.260, 30.20
2019-07-26 10:02:43, 1015.1, 25.99, 8.34, 102.7, 7.09, 230.1, 61.3, 60.1, 0.0, 16322, 0.997, 0, 0.52, 0.496, 30.30
2019-07-26 10:02:53, 1015.1, 26.01, 8.32, 102.4, 7.12, 242.0, 61.3, 60.1, 0.0, 16316, 0.997, 0, 0.56, 0.556, 30.40
2019-07-26 10:03:03, 1015.1, 25.98, 8.33, 102.4, 7.11, 253.0, 61.2, 60.1, 0.0, 16330, 0.997, 0, 0.71, 0.767, 30.50
2019-07-26 10:03:13, 1015.1, 25.93, 8.32, 102.3, 7.10, 260.5, 61.3, 60.1, 0.0, 16326, 0.997, 0, 0.69, 0.747, 30.70
2019-07-26 10:03:23, 1015.1, 25.91, 8.33, 102.3, 7.12, 268.1, 61.3, 60.2, 0.0, 16317, 0.997, 0, 0.83, 0.944, 30.80
2019-07-26 10:03:33, 1015.1, 25.89, 8.33, 102.2, 7.10, 273.3, 61.3, 60.3, 0.0, 16314, 0.997, 0, 0.88, 1.015, 30.90
2019-07-26 10:03:43, 1015.2, 25.86, 8.33, 102.2, 7.11, 277.5, 61.3, 60.3, 0.0, 16319, 0.997, 0, 0.97, 1.139, 31.00
2019-07-26 10:03:53, 1015.1, 25.78, 8.33, 102.1, 7.10, 284.3, 61.2, 60.3, 0.0, 16333, 0.997, 0, 1.16, 1.418, 31.10
2019-07-26 10:04:03, 1015.1, 25.73, 8.33, 102.1, 7.10, 285.3, 61.1, 60.3, 0.0, 16354, 0.997, 0, 1.23, 1.512, 31.20
2019-07-26 10:04:13, 1015.2, 25.73, 8.34, 102.1, 7.13, 288.7, 61.2, 60.3, 0.0, 16352, 0.997, 0, 1.23, 1.518, 31.30
2019-07-26 10:04:23, 1015.2, 25.74, 8.35, 102.2, 7.12, 292.1, 61.2, 60.3, 0.0, 16343, 0.997, 0, 1.22, 1.497, 31.40
2019-07-26 10:04:33, 1015.2, 25.70, 8.34, 102.2, 7.13, 294.5, 61.2, 60.3, 0.0, 16349, 0.997, 0, 1.30, 1.605, 31.50
2019-07-26 10:04:43, 1015.1, 25.66, 8.35, 102.1, 7.13, 296.4, 61.1, 60.3, 0.0, 16358, 0.997, 0, 1.37, 1.706, 31.60
2019-07-26 10:04:53, 1015.1, 25.64, 8.35, 102.1, 7.10, 300.2, 61.1, 60.3, 0.0, 16375, 0.997, 0, 1.47, 1.854, 31.70
2019-07-26 10:05:03, 1015.1, 25.60, 8.36, 102.1, 7.13, 301.4, 61.1, 60.3, 0.0, 16378, 0.997, 0, 1.45, 1.824, 31.80
2019-07-26 10:05:13, 1015.2, 25.60, 8.36, 102.1, 7.13, 303.1, 61.1, 60.4, 0.0, 16377, 0.997, 0, 1.52, 1.928, 31.90
2019-07-26 10:05:23, 1015.1, 25.59, 8.36, 102.2, 7.13, 304.5, 61.0, 60.3, 0.0, 16387, 0.997, 0, 1.61, 2.046, 32.00
2019-07-26 10:05:33, 1015.1, 25.56, 8.37, 102.1, 7.12, 305.9, 61.0, 60.4, 0.0, 16390, 0.997, 0, 1.68, 2.146, 32.20
2019-07-26 10:05:43, 1015.1, 25.55, 8.37, 102.2, 7.14, 305.7, 61.0, 60.4, 0.0, 16384, 0.997, 0, 1.74, 2.243, 32.30
2019-07-26 10:05:53, 1015.1, 25.55, 8.35, 102.0, 7.15, 306.2, 61.0, 60.4, 0.0, 16389, 0.997, 0, 1.77, 2.282, 32.40
2019-07-26 10:06:03, 1015.1, 25.54, 8.36, 102.1, 7.15, 307.1, 61.0, 60.4, 0.0, 16395, 0.997, 0, 1.84, 2.382, 32.50
2019-07-26 10:06:13, 1015.1, 25.55, 8.37, 102.2, 7.19, 306.0, 61.0, 60.4, 0.0, 16386, 0.997, 0, 1.89, 2.444, 32.70
2019-07-26 10:06:23, 1015.2, 25.53, 8.36, 102.0, 7.18, 309.0, 61.0, 60.4, 0.0, 16388, 0.997, 0, 1.97, 2.560, 32.80
2019-07-26 10:06:33, 1015.1, 25.52, 8.37, 102.1, 7.17, 307.2, 61.0, 60.4, 0.0, 16388, 0.997, 0, 1.96, 2.546, 32.90
2019-07-26 10:06:43, 1015.2, 25.51, 8.38, 102.2, 7.17, 308.9, 61.0, 60.4, 0.0, 16390, 0.997, 0, 2.04, 2.671, 33.10
2019-07-26 10:06:53, 1015.1, 25.51, 8.38, 102.2, 7.16, 308.8, 61.0, 60.4, 0.0, 16392, 0.997, 0, 2.08, 2.723, 33.20
2019-07-26 10:07:03, 1015.2, 25.51, 8.37, 102.1, 7.16, 310.4, 61.0, 60.4, 0.0, 16386, 0.997, 0, 2.15, 2.817, 33.30
2019-07-26 10:07:13, 1015.2, 25.51, 8.37, 102.1, 7.15, 310.6, 61.0, 60.4, 0.0, 16403, 0.997, 0, 2.29, 3.023, 33.50
2019-07-26 10:07:23, 1015.1, 25.51, 8.36, 102.0, 7.15, 309.2, 61.0, 60.5, 0.0, 16382, 0.997, 0, 2.42, 3.210, 33.60
2019-07-26 10:07:33, 1015.2, 25.51, 8.37, 102.1, 7.13, 311.2, 61.0, 60.4, 0.0, 16405, 0.997, 0, 2.48, 3.292, 33.70
2019-07-26 10:07:43, 1015.2, 25.49, 8.36, 102.0, 7.16, 309.7, 61.0, 60.4, 0.0, 16392, 0.997, 0, 2.53, 3.366, 33.80
2019-07-26 10:07:53, 1015.2, 25.50, 8.37, 102.0, 7.19, 308.9, 61.0, 60.4, 0.0, 16400, 0.997, 0, 2.60, 3.464, 34.00
2019-07-26 10:08:03, 1015.2, 25.50, 8.37, 102.0, 7.18, 308.3, 61.0, 60.4, 0.0, 16388, 0.997, 0, 2.71, 3.615, 34.10
2019-07-26 10:08:13, 1015.2, 25.49, 8.36, 102.0, 7.17, 308.8, 61.0, 60.4, 0.0, 16392, 0.997, 0, 2.69, 3.590, 34.20
2019-07-26 10:08:23, 1015.3, 25.49, 8.36, 101.9, 7.17, 309.6, 61.0, 60.4, 0.0, 16402, 0.997, 0, 2.69, 3.583, 34.30
2019-07-26 10:08:33, 1015.2, 25.49, 8.36, 101.9, 7.18, 307.5, 61.0, 60.4, 0.0, 16396, 0.997, 0, 2.77, 3.708, 34.40
2019-07-26 10:08:43, 1015.2, 25.48, 8.36, 101.9, 7.14, 308.3, 61.0, 60.4, 0.0, 16394, 0.997, 0, 2.79, 3.733, 34.50
2019-07-26 10:08:53, 1015.2, 25.49, 8.36, 101.9, 7.19, 307.4, 61.0, 60.5, 0.0, 16388, 0.997, 0, 2.84, 3.804, 34.60
2019-07-26 10:09:03, 1015.2, 25.48, 8.37, 102.0, 7.20, 308.0, 61.0, 60.4, 0.0, 16404, 0.997, 0, 2.94, 3.951, 34.70
2019-07-26 10:09:13, 1015.3, 25.47, 8.35, 101.8, 7.20, 307.9, 61.0, 60.5, 0.0, 16391, 0.997, 0, 3.03, 4.075, 34.90
2019-07-26 10:09:23, 1015.2, 25.47, 8.36, 101.9, 7.20, 307.8, 61.0, 60.5, 0.0, 16394, 0.997, 0, 3.15, 4.242, 35.00
2019-07-26 10:09:33, 1015.3, 25.47, 8.36, 101.8, 7.20, 307.2, 60.9, 60.4, 0.0, 16410, 0.997, 0, 3.22, 4.341, 35.10
2019-07-26 10:09:43, 1015.3, 25.46, 8.35, 101.7, 7.16, 306.6, 61.0, 60.5, 0.0, 16391, 0.997, 0, 3.36, 4.538, 35.20
2019-07-26 10:09:53, 1015.2, 25.46, 8.35, 101.7, 7.20, 307.1, 61.0, 60.4, 0.0, 16398, 0.997, 0, 3.30, 4.457, 35.20
2019-07-26 10:10:03, 1015.1, 25.46, 8.35, 101.7, 7.17, 308.0, 61.0, 60.4, 0.0, 16404, 0.997, 0, 3.40, 4.595, 35.40
2019-07-26 10:10:13, 1015.2, 25.46, 8.35, 101.8, 7.19, 306.4, 61.0, 60.5, 0.0, 16392, 0.997, 0, 3.51, 4.748, 35.40
2019-07-26 10:10:23, 1015.2, 25.46, 8.35, 101.7, 7.20, 305.0, 61.0, 60.4, 0.0, 16404, 0.997, 0, 3.62, 4.910, 35.50
2019-07-26 10:10:33, 1015.2, 25.46, 8.35, 101.7, 7.19, 306.0, 60.9, 60.4, 0.0, 16408, 0.997, 0, 3.82, 5.199, 35.60
2019-07-26 10:10:43, 1015.2, 25.46, 8.35, 101.7, 7.20, 304.9, 60.9, 60.4, 0.0, 16411, 0.997, 0, 3.85, 5.240, 35.70
2019-07-26 10:10:53, 1015.2, 25.46, 8.35, 101.7, 7.16, 306.3, 61.0, 60.4, 0.0, 16403, 0.997, 0, 3.98, 5.428, 35.80
2019-07-26 10:11:03, 1015.3, 25.45, 8.34, 101.6, 7.22, 302.4, 60.9, 60.4, 0.0, 16411, 0.997, 0, 4.04, 5.507, 35.90
2019-07-26 10:11:13, 1015.2, 25.44, 8.33, 101.5, 7.21, 302.7, 60.9, 60.4, 0.0, 16412, 0.997, 0, 4.15, 5.661, 36.00
