Log:,GPDEP2- 2 of 2
Report Created:, 2019-07-31 16:50:16
Site:, GPDEP2
GPS:, , 
Log Created:, 2019-07-31 15:25:13
Number Readings:, 283
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 400206
Device Type:, SmarTROLL™ MP
Device SN:, 468036
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-31 15:25:13, 1005.3, 28.60, 8.24, 107.4, 8.42, 123.7, 62.8, 58.8, 0.0, 15912, 0.996, 0, 0.30, 0.573, 32.90
2019-07-31 15:25:20, 1005.3, 28.58, 8.21, 106.8, 8.22, 120.6, 62.9, 58.8, 0.0, 15901, 0.996, 0, 0.25, 0.501, 32.90
2019-07-31 15:25:30, 1005.2, 28.57, 8.20, 106.7, 8.14, 117.2, 62.8, 58.8, 0.0, 15919, 0.996, 0, 0.22, 0.470, 32.90
2019-07-31 15:25:40, 1005.3, 28.57, 8.19, 106.6, 8.09, 113.9, 62.8, 58.8, 0.0, 15926, 0.996, 0, 0.29, 0.565, 32.90
2019-07-31 15:25:50, 1005.2, 28.55, 8.19, 106.5, 8.06, 113.5, 62.8, 58.8, 0.0, 15920, 0.996, 0, 0.30, 0.580, 32.90
2019-07-31 15:26:00, 1005.3, 28.53, 8.18, 106.4, 8.04, 111.8, 62.8, 58.8, 0.0, 15925, 0.996, 0, 0.31, 0.591, 32.90
2019-07-31 15:26:10, 1005.3, 28.53, 8.18, 106.4, 8.04, 110.0, 62.8, 58.8, 0.0, 15923, 0.996, 0, 0.31, 0.599, 33.00
2019-07-31 15:26:20, 1005.2, 28.52, 8.17, 106.3, 7.98, 110.4, 62.7, 58.8, 0.0, 15937, 0.996, 0, 0.38, 0.689, 33.00
2019-07-31 15:26:30, 1005.3, 28.52, 8.19, 106.5, 8.04, 110.3, 62.8, 58.8, 0.0, 15924, 0.996, 0, 0.42, 0.744, 33.00
2019-07-31 15:26:40, 1005.3, 28.52, 8.18, 106.4, 7.97, 107.6, 62.8, 58.9, 0.0, 15920, 0.996, 0, 0.81, 1.308, 33.00
2019-07-31 15:26:50, 1005.3, 28.52, 8.19, 106.5, 7.98, 106.4, 62.8, 58.8, 0.0, 15928, 0.996, 0, 0.91, 1.446, 33.00
2019-07-31 15:27:00, 1005.3, 28.52, 8.18, 106.4, 7.98, 105.3, 62.7, 58.8, 0.0, 15938, 0.996, 0, 0.98, 1.542, 33.00
2019-07-31 15:27:10, 1005.3, 28.50, 8.19, 106.4, 8.01, 103.2, 62.7, 58.8, 0.0, 15939, 0.996, 0, 0.99, 1.555, 33.00
2019-07-31 15:27:20, 1005.3, 28.52, 8.19, 106.4, 7.89, 105.8, 62.7, 58.8, 0.0, 15947, 0.996, 0, 0.99, 1.560, 33.00
2019-07-31 15:27:30, 1005.3, 28.48, 8.20, 106.7, 7.98, 102.8, 62.7, 58.8, 0.0, 15943, 0.996, 0, 1.14, 1.776, 33.00
2019-07-31 15:27:40, 1005.2, 28.48, 8.21, 106.7, 7.95, 104.1, 62.7, 58.8, 0.0, 15949, 0.996, 0, 1.17, 1.811, 33.00
2019-07-31 15:27:50, 1005.2, 28.43, 8.21, 106.6, 7.94, 103.7, 62.7, 58.9, 0.0, 15939, 0.996, 0, 1.17, 1.819, 33.00
2019-07-31 15:28:00, 1005.2, 28.48, 8.24, 107.0, 7.93, 103.6, 62.7, 58.8, 0.0, 15954, 0.996, 0, 1.16, 1.798, 33.00
2019-07-31 15:28:10, 1005.2, 28.49, 8.20, 106.5, 7.91, 102.0, 62.7, 58.8, 0.0, 15949, 0.996, 0, 1.14, 1.772, 33.00
2019-07-31 15:28:20, 1005.2, 28.49, 8.20, 106.5, 7.91, 101.9, 62.8, 58.8, 0.0, 15935, 0.996, 0, 1.16, 1.797, 33.00
2019-07-31 15:28:30, 1005.2, 28.48, 8.20, 106.6, 7.90, 101.1, 62.7, 58.8, 0.0, 15940, 0.996, 0, 1.15, 1.785, 33.00
2019-07-31 15:28:40, 1005.2, 28.48, 8.21, 106.7, 7.90, 101.1, 62.7, 58.8, 0.0, 15948, 0.996, 0, 1.18, 1.823, 33.00
2019-07-31 15:28:50, 1005.3, 28.48, 8.19, 106.4, 7.89, 100.8, 62.7, 58.8, 0.0, 15937, 0.996, 0, 1.24, 1.920, 33.00
2019-07-31 15:29:00, 1005.3, 28.47, 8.21, 106.7, 7.90, 100.6, 62.7, 58.8, 0.0, 15942, 0.996, 0, 1.23, 1.894, 32.90
2019-07-31 15:29:10, 1005.2, 28.47, 8.20, 106.6, 7.88, 100.2, 62.7, 58.8, 0.0, 15949, 0.996, 0, 1.35, 2.071, 32.90
2019-07-31 15:29:20, 1005.2, 28.47, 8.21, 106.6, 7.89, 100.4, 62.7, 58.8, 0.0, 15944, 0.996, 0, 1.35, 2.072, 32.90
2019-07-31 15:29:30, 1005.2, 28.46, 8.20, 106.6, 7.89, 99.5, 62.7, 58.8, 0.0, 15953, 0.996, 0, 1.36, 2.088, 32.90
2019-07-31 15:29:40, 1005.3, 28.48, 8.20, 106.6, 7.88, 98.6, 62.7, 58.8, 0.0, 15949, 0.996, 0, 1.36, 2.083, 32.90
2019-07-31 15:29:50, 1005.3, 28.47, 8.20, 106.6, 7.87, 98.4, 62.7, 58.8, 0.0, 15938, 0.996, 0, 1.46, 2.225, 32.80
2019-07-31 15:30:00, 1005.2, 28.44, 8.20, 106.5, 7.91, 98.8, 62.7, 58.8, 0.0, 15950, 0.996, 0, 1.45, 2.216, 32.80
2019-07-31 15:30:10, 1005.2, 28.43, 8.22, 106.7, 7.89, 98.1, 62.7, 58.8, 0.0, 15956, 0.996, 0, 1.47, 2.245, 32.80
2019-07-31 15:30:20, 1005.3, 28.43, 8.21, 106.6, 7.84, 101.4, 62.6, 58.8, 0.0, 15967, 0.996, 0, 1.46, 2.232, 32.80
2019-07-31 15:30:30, 1005.2, 28.42, 8.21, 106.6, 7.89, 97.5, 62.6, 58.8, 0.0, 15964, 0.996, 0, 1.66, 2.514, 32.80
2019-07-31 15:30:40, 1005.2, 28.42, 8.23, 106.8, 7.88, 97.5, 62.6, 58.8, 0.0, 15971, 0.996, 0, 1.66, 2.508, 32.80
2019-07-31 15:30:50, 1005.2, 28.41, 8.23, 106.8, 7.85, 97.2, 62.6, 58.8, 0.0, 15970, 0.996, 0, 1.66, 2.518, 32.80
