Log:,LPDEP2- 1 of 1
Report Created:, 2019-07-26 14:17:36
Site:, LPDEP2
GPS:, , 
Log Created:, 2019-07-25 10:15:10
Number Readings:, 421
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-25 10:15:10, 1011.1, 25.22, 8.42, 102.7, 11.86, 149.6, 0.0, 0.0, 0.0, 10000000, 0.997, 0, 0.13, -0.051, 33.20
2019-07-25 10:15:16, 1011.1, 25.47, 8.69, 106.4, 7.50, 209.9, 57.7, 57.1, 0.0, 17343, 0.997, 0, 0.39, 0.320, 33.20
2019-07-25 10:15:26, 1011.1, 25.44, 8.52, 104.3, 7.54, 245.2, 57.4, 56.9, 0.0, 17420, 0.997, 0, 0.48, 0.444, 33.30
2019-07-25 10:15:36, 1011.2, 25.35, 8.42, 102.8, 7.53, 271.4, 57.3, 56.9, 0.0, 17463, 0.997, 0, 0.52, 0.496, 33.30
2019-07-25 10:15:46, 1011.2, 25.37, 8.38, 102.3, 7.55, 292.1, 57.3, 56.9, 0.0, 17450, 0.997, 0, 0.60, 0.619, 33.40
2019-07-25 10:15:56, 1011.1, 25.40, 8.34, 101.9, 7.55, 308.4, 57.3, 56.9, 0.0, 17457, 0.997, 0, 0.59, 0.608, 33.40
2019-07-25 10:16:06, 1011.1, 25.37, 8.33, 101.7, 7.54, 321.4, 57.3, 56.9, 0.0, 17445, 0.997, 0, 0.64, 0.670, 33.50
2019-07-25 10:16:16, 1011.1, 25.33, 8.31, 101.4, 7.53, 334.2, 57.2, 56.8, 0.0, 17485, 0.997, 0, 0.66, 0.694, 33.50
2019-07-25 10:16:26, 1011.1, 25.33, 8.32, 101.5, 7.56, 341.4, 57.2, 56.9, 0.0, 17476, 0.997, 0, 0.70, 0.759, 33.60
2019-07-25 10:16:36, 1011.1, 25.29, 8.32, 101.5, 7.54, 349.9, 57.2, 56.9, 0.0, 17475, 0.997, 0, 0.76, 0.843, 33.70
2019-07-25 10:16:56, 1011.1, 25.32, 8.32, 101.5, 7.54, 362.1, 57.2, 56.9, 0.0, 17483, 0.997, 0, 0.82, 0.928, 33.90
2019-07-25 10:17:06, 1011.1, 25.33, 8.32, 101.5, 7.56, 366.0, 57.2, 56.9, 0.0, 17488, 0.997, 0, 0.88, 1.011, 34.00
2019-07-25 10:17:16, 1011.0, 25.32, 8.31, 101.4, 7.55, 370.6, 57.2, 56.9, 0.0, 17480, 0.997, 0, 0.97, 1.137, 34.10
2019-07-25 10:17:26, 1011.1, 25.32, 8.30, 101.4, 7.55, 374.7, 57.2, 56.8, 0.0, 17485, 0.997, 0, 0.96, 1.122, 34.20
2019-07-25 10:17:36, 1011.1, 25.33, 8.31, 101.4, 7.53, 379.0, 57.2, 56.9, 0.0, 17472, 0.997, 0, 0.99, 1.174, 34.30
2019-07-25 10:17:46, 1011.1, 25.28, 8.28, 101.1, 7.53, 381.0, 57.2, 56.9, 0.0, 17481, 0.997, 0, 1.05, 1.262, 34.40
