Log:,LPDEP1- 1 of 1
Report Created:, 2019-07-26 14:17:09
Site:, LPDEP1
GPS:, , 
Log Created:, 2019-07-25 11:40:23
Number Readings:, 252
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-25 11:40:23, 1010.9, 26.67, 7.44, 96.0, 6.66, 250.9, 0.0, 0.0, 0.0, 10000000, 0.996, 0, 0.11, -0.083, 36.10
2019-07-25 11:40:31, 1010.9, 26.42, 8.04, 100.2, 6.79, 246.7, 57.6, 56.0, 0.0, 17375, 0.997, 0, 0.19, 0.036, 36.10
2019-07-25 11:40:41, 1010.9, 26.24, 8.07, 100.3, 6.79, 245.8, 57.3, 56.0, 0.0, 17444, 0.997, 0, 0.26, 0.135, 36.10
2019-07-25 11:40:51, 1010.9, 26.02, 8.14, 100.8, 6.81, 244.3, 57.2, 56.0, 0.0, 17493, 0.997, 0, 0.43, 0.378, 36.10
2019-07-25 11:41:01, 1010.9, 25.83, 8.17, 100.8, 6.81, 246.0, 57.1, 56.1, 0.0, 17499, 0.997, 0, 0.55, 0.551, 36.10
2019-07-25 11:41:11, 1010.8, 25.69, 8.20, 101.0, 6.82, 247.7, 57.1, 56.3, 0.0, 17514, 0.997, 0, 0.69, 0.742, 36.10
2019-07-25 11:41:21, 1010.9, 25.62, 8.23, 101.1, 6.82, 249.6, 57.0, 56.3, 0.0, 17533, 0.997, 0, 0.80, 0.907, 36.20
2019-07-25 11:41:31, 1010.9, 25.60, 8.26, 101.3, 6.84, 252.8, 57.1, 56.5, 0.0, 17512, 0.997, 0, 0.82, 0.933, 36.20
2019-07-25 11:41:41, 1010.8, 25.56, 8.27, 101.4, 6.82, 256.9, 57.0, 56.4, 0.0, 17535, 0.997, 0, 0.95, 1.107, 36.30
2019-07-25 11:41:51, 1010.8, 25.51, 8.27, 101.4, 6.84, 258.6, 57.0, 56.5, 0.0, 17531, 0.997, 0, 1.00, 1.190, 36.40
2019-07-25 11:42:01, 1010.8, 25.46, 8.27, 101.3, 6.85, 262.3, 57.0, 56.5, 0.0, 17534, 0.997, 0, 1.08, 1.296, 36.40
2019-07-25 11:42:11, 1010.8, 25.42, 8.29, 101.4, 6.86, 263.6, 57.0, 56.6, 0.0, 17530, 0.997, 0, 1.21, 1.488, 36.50
2019-07-25 11:42:21, 1010.8, 25.42, 8.30, 101.5, 6.85, 266.8, 57.1, 56.7, 0.0, 17511, 0.997, 0, 1.28, 1.589, 36.60
2019-07-25 11:42:31, 1010.8, 25.39, 8.29, 101.4, 6.87, 268.6, 57.1, 56.7, 0.0, 17514, 0.997, 0, 1.38, 1.731, 36.70
2019-07-25 11:42:41, 1010.8, 25.35, 8.30, 101.4, 6.86, 271.6, 57.1, 56.7, 0.0, 17514, 0.997, 0, 1.49, 1.876, 36.70
2019-07-25 11:42:51, 1010.8, 25.33, 8.31, 101.4, 6.87, 273.2, 57.1, 56.7, 0.0, 17525, 0.997, 0, 1.47, 1.855, 36.80
2019-07-25 11:43:01, 1010.8, 25.32, 8.31, 101.5, 6.86, 276.4, 57.0, 56.7, 0.0, 17535, 0.997, 0, 1.64, 2.094, 36.90
2019-07-25 11:43:11, 1010.8, 25.28, 8.32, 101.5, 6.88, 277.3, 57.0, 56.7, 0.0, 17532, 0.997, 0, 1.73, 2.223, 36.90
2019-07-25 11:43:21, 1010.8, 25.28, 8.32, 101.5, 6.89, 279.4, 57.1, 56.8, 0.0, 17521, 0.997, 0, 1.74, 2.243, 37.00
2019-07-25 11:43:31, 1010.8, 25.27, 8.33, 101.6, 6.88, 281.9, 57.0, 56.7, 0.0, 17535, 0.997, 0, 1.74, 2.243, 37.10
2019-07-25 11:43:41, 1010.8, 25.26, 8.33, 101.6, 6.90, 280.9, 57.0, 56.8, 0.0, 17530, 0.997, 0, 1.80, 2.319, 37.20
