Log:,MESSDEP1- 1 of 1
Report Created:, 2019-07-26 14:18:34
Site:, MESSDEP1
GPS:, , 
Log Created:, 2019-07-26 11:43:16
Number Readings:, 330
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-26 11:43:16, 1016.2, 27.26, 7.48, 97.5, 7.13, 249.9, 0.0, 0.0, 0.0, 10000000, 0.996, 0, 0.32, 0.218, 32.70
2019-07-26 11:43:24, 1016.1, 27.15, 8.26, 103.8, 7.17, 277.5, 65.9, 63.2, 0.0, 15182, 0.996, 0, 0.34, 0.248, 32.80
2019-07-26 11:43:34, 1016.1, 27.04, 8.30, 104.0, 7.13, 301.4, 65.7, 63.2, 0.0, 15224, 0.997, 0, 0.47, 0.434, 32.80
2019-07-26 11:43:51, 1016.2, 26.89, 8.27, 103.5, 7.12, 338.9, 65.6, 63.1, 0.0, 15242, 0.997, 0, 0.72, 0.788, 33.00
2019-07-26 11:44:01, 1016.1, 26.79, 8.28, 103.4, 7.13, 345.4, 65.4, 63.1, 0.0, 15302, 0.997, 0, 0.81, 0.921, 33.10
2019-07-26 11:44:11, 1016.1, 26.70, 8.31, 103.5, 7.14, 353.9, 65.3, 63.2, 0.0, 15316, 0.997, 0, 0.84, 0.950, 33.20
2019-07-26 11:44:21, 1016.1, 26.65, 8.30, 103.4, 7.11, 360.3, 65.3, 63.2, 0.0, 15315, 0.997, 0, 0.85, 0.967, 33.30
2019-07-26 11:44:31, 1016.1, 26.47, 8.30, 102.9, 7.14, 365.2, 65.0, 63.2, 0.0, 15394, 0.997, 0, 0.93, 1.092, 33.40
2019-07-26 11:44:41, 1016.1, 26.24, 8.33, 102.9, 7.14, 371.4, 64.7, 63.2, 0.0, 15460, 0.997, 0, 1.07, 1.281, 33.60
2019-07-26 11:44:51, 1016.1, 26.08, 8.35, 103.0, 7.15, 374.7, 64.7, 63.3, 0.0, 15448, 0.997, 0, 1.15, 1.400, 33.70
