Log:,MPDEP1- 2 of 2
Report Created:, 2019-07-24 13:57:06
Site:, MPDEP1
GPS:, , 
Log Created:, 2019-07-24 11:01:37
Number Readings:, 103
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-24 11:01:37, 1004.4, 25.96, 8.29, 103.5, 7.36, 128.8, 0.0, 0.0, 0.0, 10000000, 0.997, 0, 0.11, -0.081, 32.10
2019-07-24 11:01:45, 1004.3, 25.96, 8.34, 103.6, 7.44, 143.5, 98.7, 96.9, 0.0, 10132, 0.997, 0, 0.24, 0.107, 32.10
2019-07-24 11:01:55, 1004.4, 25.90, 8.30, 103.1, 7.42, 157.7, 98.5, 96.8, 0.0, 10152, 0.997, 0, 0.49, 0.457, 32.20
2019-07-24 11:02:05, 1004.3, 25.87, 8.27, 102.7, 7.44, 167.8, 98.4, 96.8, 0.0, 10159, 0.997, 0, 0.66, 0.700, 32.20
2019-07-24 11:02:15, 1004.4, 25.81, 8.26, 102.5, 7.43, 188.0, 98.4, 96.8, 0.0, 10166, 0.997, 0, 0.84, 0.955, 32.20
2019-07-24 11:02:25, 1004.4, 25.83, 8.27, 102.5, 7.45, 204.3, 98.3, 96.8, 0.0, 10172, 0.997, 0, 1.00, 1.189, 32.30
2019-07-24 11:02:35, 1004.4, 25.77, 8.26, 102.4, 7.45, 217.6, 98.3, 96.9, 0.0, 10171, 0.997, 0, 1.04, 1.245, 32.30
2019-07-24 11:02:45, 1004.4, 25.72, 8.28, 102.6, 7.46, 229.2, 98.3, 96.9, 0.0, 10172, 0.997, 0, 1.17, 1.421, 32.40
2019-07-24 11:02:55, 1004.3, 25.69, 8.28, 102.5, 7.46, 238.9, 98.2, 96.9, 0.0, 10181, 0.997, 0, 1.25, 1.537, 32.40
2019-07-24 11:03:05, 1004.4, 25.64, 8.29, 102.5, 7.47, 246.7, 98.2, 97.0, 0.0, 10184, 0.997, 0, 1.35, 1.683, 32.50
2019-07-24 11:03:15, 1004.4, 25.62, 8.29, 102.4, 7.48, 255.6, 98.1, 96.9, 0.0, 10194, 0.997, 0, 1.44, 1.814, 32.50
