Log:,NPDEP1- 2 of 2
Report Created:, 2019-07-24 13:56:06
Site:, NPDEP1
GPS:, , 
Log Created:, 2019-07-24 12:44:57
Number Readings:, 100
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-24 12:44:57, 1004.8, 28.99, 7.47, 98.4, 7.90, 226.9, 58.3, 53.9, 0.0, 17146, 0.996, 0, 0.22, 0.069, 42.80
2019-07-24 12:45:02, 1004.8, 28.33, 7.65, 99.7, 7.88, 291.2, 57.1, 53.4, 0.0, 17506, 0.996, 0, 0.23, 0.091, 42.80
2019-07-24 12:45:19, 1004.9, 27.89, 7.67, 99.2, 7.83, 368.9, 56.7, 53.5, 0.0, 17637, 0.996, 0, 0.26, 0.139, 43.00
2019-07-24 12:45:39, 1005.0, 27.66, 7.74, 99.4, 7.84, 408.8, 56.6, 53.8, 0.0, 17653, 0.996, 0, 0.26, 0.129, 43.20
2019-07-24 12:45:49, 1004.9, 27.54, 7.77, 99.3, 7.84, 421.3, 56.5, 53.9, 0.0, 17693, 0.996, 0, 0.31, 0.200, 43.30
2019-07-24 12:45:59, 1004.9, 27.25, 7.78, 99.2, 7.84, 430.8, 56.3, 53.9, 0.0, 17751, 0.996, 0, 0.41, 0.339, 43.40
2019-07-24 12:46:09, 1004.9, 27.01, 7.79, 98.6, 7.85, 438.4, 55.8, 53.7, 0.0, 17920, 0.997, 0, 0.48, 0.444, 43.50
2019-07-24 12:46:19, 1005.0, 26.79, 7.74, 97.8, 7.84, 443.6, 55.7, 53.8, 0.0, 17950, 0.997, 0, 0.45, 0.409, 43.60
2019-07-24 12:46:29, 1004.9, 26.60, 7.74, 97.4, 7.82, 449.6, 55.6, 53.9, 0.0, 17986, 0.997, 0, 0.54, 0.535, 43.70
2019-07-24 12:46:39, 1004.9, 26.19, 7.76, 97.0, 7.85, 451.4, 55.3, 53.9, 0.0, 18099, 0.997, 0, 0.62, 0.648, 43.80
2019-07-24 12:46:49, 1004.9, 26.05, 7.76, 96.7, 7.85, 454.4, 55.1, 54.0, 0.0, 18138, 0.997, 0, 0.74, 0.816, 43.80
2019-07-24 12:47:00, 1004.9, 25.95, 7.75, 96.4, 7.84, 452.8, 55.1, 54.1, 0.0, 18162, 0.997, 0, 0.88, 1.012, 43.90
2019-07-24 12:47:09, 1004.9, 25.87, 7.74, 96.1, 7.84, 452.5, 55.0, 54.1, 0.0, 18165, 0.997, 0, 0.95, 1.116, 44.10
2019-07-24 12:47:19, 1004.8, 25.83, 7.72, 95.7, 7.83, 452.5, 55.0, 54.1, 0.0, 18183, 0.997, 0, 1.11, 1.344, 44.20
2019-07-24 12:47:29, 1004.9, 25.79, 7.70, 95.4, 7.83, 452.7, 55.0, 54.1, 0.0, 18188, 0.997, 0, 1.14, 1.387, 44.30
2019-07-24 12:47:39, 1004.8, 25.74, 7.72, 95.6, 7.81, 452.8, 55.0, 54.2, 0.0, 18190, 0.997, 0, 1.23, 1.516, 44.40
2019-07-24 12:47:50, 1004.9, 25.74, 7.71, 95.5, 7.76, 455.4, 55.0, 54.3, 0.0, 18172, 0.997, 0, 1.28, 1.585, 44.50
2019-07-24 12:47:59, 1004.8, 25.69, 7.70, 95.2, 7.78, 454.2, 55.0, 54.2, 0.0, 18195, 0.997, 0, 1.38, 1.727, 44.60
2019-07-24 12:48:09, 1004.9, 25.65, 7.68, 94.9, 7.78, 453.6, 55.0, 54.3, 0.0, 18191, 0.997, 0, 1.48, 1.867, 44.70
2019-07-24 12:48:19, 1004.9, 25.63, 7.64, 94.4, 7.76, 454.2, 55.0, 54.3, 0.0, 18194, 0.997, 0, 1.45, 1.821, 44.80
2019-07-24 12:48:29, 1004.9, 25.60, 7.62, 94.1, 7.76, 453.3, 55.0, 54.4, 0.0, 18186, 0.997, 0, 1.52, 1.925, 44.90
2019-07-24 12:48:39, 1004.8, 25.57, 7.61, 94.0, 7.74, 455.3, 55.0, 54.3, 0.0, 18192, 0.997, 0, 1.57, 2.000, 45.00
2019-07-24 12:48:49, 1004.9, 25.56, 7.64, 94.2, 7.73, 452.9, 54.9, 54.3, 0.0, 18207, 0.997, 0, 1.60, 2.033, 45.20
2019-07-24 12:49:00, 1004.8, 25.52, 7.66, 94.5, 7.73, 454.4, 55.0, 54.4, 0.0, 18192, 0.997, 0, 1.69, 2.163, 45.30
2019-07-24 12:49:09, 1004.8, 25.52, 7.68, 94.6, 7.76, 452.8, 54.9, 54.4, 0.0, 18219, 0.997, 0, 1.69, 2.170, 45.40
2019-07-24 12:49:19, 1004.8, 25.51, 7.68, 94.6, 7.72, 453.4, 54.9, 54.4, 0.0, 18213, 0.997, 0, 1.74, 2.231, 45.50
2019-07-24 12:49:29, 1004.8, 25.47, 7.68, 94.6, 7.72, 453.5, 54.9, 54.4, 0.0, 18208, 0.997, 0, 1.78, 2.301, 45.60
2019-07-24 12:49:39, 1004.9, 25.46, 7.69, 94.6, 7.74, 452.7, 54.9, 54.4, 0.0, 18231, 0.997, 0, 1.88, 2.440, 45.70
2019-07-24 12:49:50, 1004.8, 25.42, 7.68, 94.5, 7.69, 452.0, 54.9, 54.4, 0.0, 18225, 0.997, 0, 2.00, 2.609, 45.80
2019-07-24 12:49:59, 1004.8, 25.42, 7.67, 94.3, 7.73, 450.7, 54.8, 54.4, 0.0, 18233, 0.997, 0, 1.98, 2.577, 45.90
2019-07-24 12:50:09, 1004.8, 25.40, 7.67, 94.4, 7.71, 451.9, 54.8, 54.4, 0.0, 18243, 0.997, 0, 2.08, 2.721, 46.00
2019-07-24 12:50:19, 1004.9, 25.39, 7.65, 94.1, 7.68, 452.9, 54.8, 54.4, 0.0, 18254, 0.997, 0, 2.12, 2.771, 46.20
2019-07-24 12:50:29, 1004.8, 25.37, 7.63, 93.8, 7.68, 452.5, 54.8, 54.4, 0.0, 18238, 0.997, 0, 2.24, 2.949, 46.30
2019-07-24 12:50:39, 1005.0, 25.34, 7.57, 93.0, 7.69, 451.2, 54.8, 54.4, 0.0, 18247, 0.997, 0, 2.27, 2.994, 46.40
2019-07-24 12:50:49, 1005.0, 25.35, 7.53, 92.5, 7.71, 449.5, 54.8, 54.5, 0.0, 18237, 0.997, 0, 2.34, 3.091, 46.50
2019-07-24 12:50:59, 1004.9, 25.35, 7.54, 92.6, 7.72, 447.7, 54.8, 54.5, 0.0, 18238, 0.997, 0, 2.31, 3.043, 46.60
2019-07-24 12:51:09, 1004.9, 25.35, 7.53, 92.5, 7.70, 447.8, 54.8, 54.5, 0.0, 18241, 0.997, 0, 2.29, 3.026, 46.60
2019-07-24 12:51:19, 1004.9, 25.34, 7.54, 92.7, 7.66, 449.1, 54.8, 54.5, 0.0, 18236, 0.997, 0, 2.40, 3.174, 46.70
2019-07-24 12:51:29, 1004.9, 25.33, 7.55, 92.8, 7.68, 448.3, 54.8, 54.4, 0.0, 18251, 0.997, 0, 2.50, 3.314, 46.70
2019-07-24 12:51:39, 1004.9, 25.33, 7.56, 92.9, 7.68, 446.2, 54.8, 54.5, 0.0, 18248, 0.997, 0, 2.60, 3.459, 46.70
2019-07-24 12:51:49, 1004.9, 25.33, 7.56, 92.8, 7.68, 445.4, 54.8, 54.5, 0.0, 18246, 0.997, 0, 2.68, 3.570, 46.60
2019-07-24 12:51:59, 1004.8, 25.32, 7.55, 92.7, 7.64, 446.5, 54.8, 54.4, 0.0, 18256, 0.997, 0, 2.76, 3.692, 46.60
