Log:,SPDEP1- 2 of 2
Report Created:, 2019-07-24 13:56:49
Site:, SPDEP1
GPS:, , 
Log Created:, 2019-07-24 10:12:03
Number Readings:, 168
Battery Type:, SmarTROLL™ Battery Pack
Battery SN:, 409706
Device Type:, SmarTROLL™ MP
Device SN:, 424194
Created, Baro (mbar), Temp (C), RDO (mg/L), RDO Sat (%), pH (pH), ORP (mV), Act Cond (µS/cm), Sp Cond (µS/cm), Salinity (psu), Resist (Ohm-cm), Density (g/cm^3), TDS (ppt), Depth (m), Pressure (psi), Air Temp (C)
2019-07-24 10:12:03, 1004.4, 25.78, 8.40, 104.4, 8.05, 263.6, 0.0, 0.0, 0.0, 10000000, 0.997, 0, 0.16, -0.011, 24.30
2019-07-24 10:12:10, 1004.4, 25.75, 8.40, 104.1, 8.08, 288.8, 90.6, 89.3, 0.0, 11035, 0.997, 0, 0.32, 0.216, 24.40
2019-07-24 10:12:20, 1004.5, 25.73, 8.37, 103.7, 8.02, 305.8, 89.4, 88.1, 0.0, 11190, 0.997, 0, 0.39, 0.323, 24.60
2019-07-24 10:12:30, 1004.5, 25.72, 8.33, 103.2, 8.01, 319.0, 89.1, 87.9, 0.0, 11221, 0.997, 0, 0.56, 0.560, 24.80
2019-07-24 10:12:40, 1004.5, 25.72, 8.31, 102.8, 7.98, 331.0, 89.2, 88.0, 0.0, 11215, 0.997, 0, 0.61, 0.636, 25.00
2019-07-24 10:12:50, 1004.3, 25.70, 8.30, 102.7, 7.97, 339.6, 89.1, 88.0, 0.0, 11219, 0.997, 0, 0.67, 0.720, 25.20
2019-07-24 10:13:07, 1004.4, 25.68, 8.29, 102.6, 7.94, 361.7, 89.0, 87.8, 0.0, 11235, 0.997, 0, 0.75, 0.823, 25.50
2019-07-24 10:13:17, 1004.4, 25.65, 8.29, 102.5, 7.92, 365.0, 89.0, 87.8, 0.0, 11238, 0.997, 0, 0.74, 0.817, 25.70
2019-07-24 10:13:27, 1004.4, 25.64, 8.30, 102.6, 7.91, 369.7, 88.9, 87.8, 0.0, 11249, 0.997, 0, 0.86, 0.989, 26.00
2019-07-24 10:13:37, 1004.4, 25.62, 8.29, 102.5, 7.90, 372.1, 89.0, 87.9, 0.0, 11238, 0.997, 0, 0.94, 1.096, 26.20
2019-07-24 10:13:47, 1004.4, 25.61, 8.32, 102.7, 7.87, 376.7, 88.9, 87.9, 0.0, 11243, 0.997, 0, 1.02, 1.213, 26.40
2019-07-24 10:13:57, 1004.4, 25.61, 8.31, 102.7, 7.88, 379.6, 88.9, 87.9, 0.0, 11247, 0.997, 0, 1.17, 1.422, 26.60
2019-07-24 10:14:07, 1004.4, 25.60, 8.31, 102.7, 7.86, 383.9, 88.9, 87.9, 0.0, 11246, 0.997, 0, 1.15, 1.394, 26.80
2019-07-24 10:14:17, 1004.4, 25.60, 8.30, 102.5, 7.85, 387.5, 88.9, 87.9, 0.0, 11249, 0.997, 0, 1.36, 1.700, 27.00
2019-07-24 10:14:27, 1004.4, 25.60, 8.32, 102.7, 7.85, 389.8, 88.8, 87.8, 0.0, 11260, 0.997, 0, 1.52, 1.921, 27.20
2019-07-24 10:14:37, 1004.5, 25.58, 8.32, 102.8, 7.83, 392.1, 88.8, 87.8, 0.0, 11266, 0.997, 0, 1.76, 2.266, 27.40
2019-07-24 10:14:47, 1004.6, 25.58, 8.31, 102.6, 7.84, 395.6, 88.9, 87.9, 0.0, 11255, 0.997, 0, 1.74, 2.241, 27.60
2019-07-24 10:14:57, 1004.5, 25.56, 8.33, 102.8, 7.82, 398.4, 88.8, 87.8, 0.0, 11262, 0.997, 0, 1.85, 2.394, 27.80
2019-07-24 10:15:07, 1004.5, 25.56, 8.34, 102.9, 7.84, 398.7, 88.8, 87.9, 0.0, 11256, 0.997, 0, 1.95, 2.531, 27.90
2019-07-24 10:15:17, 1004.4, 25.55, 8.33, 102.8, 7.81, 402.2, 88.8, 87.8, 0.0, 11264, 0.997, 0, 2.05, 2.672, 28.00
2019-07-24 10:15:27, 1004.5, 25.55, 8.34, 102.9, 7.83, 403.6, 88.8, 87.9, 0.0, 11260, 0.997, 0, 2.18, 2.859, 28.20
2019-07-24 10:15:37, 1004.5, 25.55, 8.34, 102.9, 7.79, 404.2, 88.8, 87.8, 0.0, 11266, 0.997, 0, 2.20, 2.885, 28.30
2019-07-24 10:15:47, 1004.5, 25.55, 8.33, 102.7, 7.80, 406.8, 88.8, 87.9, 0.0, 11262, 0.997, 0, 2.26, 2.973, 28.40
2019-07-24 10:15:57, 1004.4, 25.55, 8.33, 102.8, 7.81, 406.3, 88.8, 87.9, 0.0, 11260, 0.997, 0, 2.40, 3.173, 28.50
2019-07-24 10:16:07, 1004.4, 25.55, 8.32, 102.7, 7.81, 408.0, 88.8, 87.9, 0.0, 11263, 0.997, 0, 2.50, 3.316, 28.60
2019-07-24 10:16:17, 1004.4, 25.55, 8.32, 102.7, 7.79, 410.0, 88.8, 87.8, 0.0, 11265, 0.997, 0, 2.54, 3.374, 28.70
2019-07-24 10:16:27, 1004.4, 25.55, 8.31, 102.6, 7.80, 409.8, 88.8, 87.9, 0.0, 11262, 0.997, 0, 2.66, 3.552, 28.80
2019-07-24 10:16:37, 1004.5, 25.55, 8.32, 102.6, 7.79, 411.1, 88.8, 87.9, 0.0, 11263, 0.997, 0, 2.75, 3.669, 28.90
2019-07-24 10:16:47, 1004.5, 25.55, 8.31, 102.5, 7.78, 412.2, 88.8, 87.9, 0.0, 11258, 0.997, 0, 2.77, 3.707, 29.00
2019-07-24 10:16:57, 1004.4, 25.55, 8.31, 102.5, 7.74, 413.1, 88.8, 87.9, 0.0, 11256, 0.997, 0, 2.97, 3.991, 29.10
2019-07-24 10:17:07, 1004.5, 25.54, 8.31, 102.5, 7.77, 413.4, 88.9, 87.9, 0.0, 11254, 0.997, 0, 2.94, 3.940, 29.20
2019-07-24 10:17:17, 1004.5, 25.53, 8.31, 102.4, 7.78, 413.0, 88.9, 88.0, 0.0, 11255, 0.997, 0, 3.12, 4.198, 29.30
2019-07-24 10:17:27, 1004.5, 25.53, 8.31, 102.5, 7.78, 413.3, 88.8, 87.9, 0.0, 11263, 0.997, 0, 3.28, 4.429, 29.40
2019-07-24 10:17:37, 1004.4, 25.52, 8.30, 102.4, 7.76, 412.7, 88.8, 87.9, 0.0, 11262, 0.997, 0, 3.37, 4.562, 29.50
2019-07-24 10:17:47, 1004.4, 25.51, 8.31, 102.4, 7.76, 412.6, 88.7, 87.8, 0.0, 11275, 0.997, 0, 3.47, 4.691, 29.60
2019-07-24 10:17:57, 1004.4, 25.50, 8.31, 102.4, 7.77, 412.7, 88.7, 87.9, 0.0, 11273, 0.997, 0, 3.44, 4.655, 29.80
2019-07-24 10:18:07, 1004.4, 25.49, 8.31, 102.4, 7.79, 411.8, 88.7, 87.8, 0.0, 11279, 0.997, 0, 3.44, 4.649, 29.90
2019-07-24 10:18:17, 1004.5, 25.47, 8.31, 102.4, 7.74, 413.5, 88.7, 87.8, 0.0, 11279, 0.997, 0, 3.55, 4.807, 30.10
2019-07-24 10:18:27, 1004.5, 25.44, 8.30, 102.3, 7.76, 413.6, 88.6, 87.8, 0.0, 11286, 0.997, 0, 3.63, 4.929, 30.20
2019-07-24 10:18:37, 1004.4, 25.44, 8.31, 102.3, 7.77, 413.6, 88.6, 87.8, 0.0, 11290, 0.997, 0, 3.75, 5.091, 30.30
2019-07-24 10:18:47, 1004.5, 25.42, 8.30, 102.2, 7.77, 413.1, 88.5, 87.8, 0.0, 11301, 0.997, 0, 3.86, 5.248, 30.50
2019-07-24 10:18:57, 1004.4, 25.41, 8.29, 102.1, 7.75, 413.8, 88.5, 87.8, 0.0, 11302, 0.997, 0, 3.94, 5.364, 30.60
2019-07-24 10:19:07, 1004.4, 25.38, 8.29, 102.0, 7.74, 413.1, 88.5, 87.8, 0.0, 11302, 0.997, 0, 4.06, 5.534, 30.70
2019-07-24 10:19:17, 1004.5, 25.37, 8.28, 101.8, 7.75, 413.6, 88.4, 87.8, 0.0, 11314, 0.997, 0, 4.11, 5.602, 30.90
2019-07-24 10:19:27, 1004.5, 25.33, 8.28, 101.7, 7.76, 413.0, 88.2, 87.7, 0.0, 11331, 0.997, 0, 4.23, 5.774, 31.00
2019-07-24 10:19:37, 1004.4, 25.36, 8.32, 102.2, 7.73, 413.8, 88.2, 87.6, 0.0, 11344, 0.997, 0, 4.24, 5.791, 31.10
2019-07-24 10:19:47, 1004.5, 25.34, 8.28, 101.8, 7.73, 411.5, 88.3, 87.7, 0.0, 11323, 0.997, 0, 4.42, 6.043, 31.20
2019-07-24 10:19:57, 1004.5, 25.21, 8.31, 102.1, 7.77, 410.5, 88.2, 87.6, 0.0, 11344, 0.997, 0, 4.42, 6.046, 31.30
2019-07-24 10:20:07, 1004.5, 25.01, 8.34, 102.1, 7.77, 410.2, 87.7, 87.4, 0.0, 11405, 0.997, 0, 4.53, 6.212, 31.40
2019-07-24 10:20:17, 1004.6, 24.97, 8.40, 102.6, 7.73, 411.4, 87.3, 87.3, 0.0, 11454, 0.997, 0, 4.67, 6.405, 31.50
2019-07-24 10:20:27, 1004.5, 24.91, 8.45, 103.1, 7.74, 411.7, 87.2, 87.3, 0.0, 11472, 0.997, 0, 4.71, 6.461, 31.60
2019-07-24 10:20:37, 1004.5, 24.83, 8.48, 103.3, 7.75, 410.7, 87.0, 87.2, 0.0, 11495, 0.997, 0, 4.83, 6.636, 31.70
2019-07-24 10:20:47, 1004.5, 24.74, 8.47, 103.1, 7.77, 407.3, 86.9, 87.2, 0.0, 11507, 0.997, 0, 4.96, 6.815, 31.70
2019-07-24 10:20:57, 1004.4, 24.69, 8.46, 102.8, 7.75, 405.3, 86.7, 87.2, 0.0, 11537, 0.997, 0, 4.97, 6.834, 31.80
2019-07-24 10:21:07, 1004.5, 24.65, 8.47, 102.8, 7.74, 403.4, 86.7, 87.2, 0.0, 11532, 0.997, 0, 5.09, 7.001, 31.80
2019-07-24 10:21:17, 1004.5, 24.53, 8.47, 102.7, 7.71, 401.1, 86.6, 87.2, 0.0, 11553, 0.997, 0, 5.26, 7.244, 31.90
2019-07-24 10:21:27, 1004.5, 24.20, 8.43, 101.7, 7.74, 397.8, 85.8, 86.8, 0.0, 11658, 0.997, 0, 5.33, 7.348, 31.90
2019-07-24 10:21:37, 1004.5, 24.15, 8.47, 101.8, 7.75, 396.1, 85.5, 86.9, 0.0, 11701, 0.997, 0, 5.39, 7.433, 31.90
2019-07-24 10:21:47, 1004.5, 23.71, 8.44, 101.3, 7.77, 397.8, 84.7, 86.2, 0.0, 11811, 0.997, 0, 5.56, 7.665, 32.00
2019-07-24 10:21:57, 1004.5, 23.62, 8.53, 101.6, 7.75, 399.4, 84.1, 86.3, 0.0, 11894, 0.997, 0, 5.57, 7.679, 32.00
2019-07-24 10:22:07, 1004.5, 23.52, 8.57, 102.0, 7.74, 401.7, 84.2, 86.6, 0.0, 11872, 0.997, 0, 5.67, 7.825, 32.00
2019-07-24 10:22:17, 1004.4, 23.52, 8.64, 102.5, 7.74, 400.4, 84.0, 86.6, 0.0, 11901, 0.997, 0, 5.68, 7.847, 32.00
2019-07-24 10:22:27, 1004.5, 23.07, 8.60, 101.7, 7.74, 399.3, 83.6, 86.5, 0.0, 11958, 0.998, 0, 5.79, 7.996, 32.10
2019-07-24 10:22:37, 1004.5, 22.71, 8.66, 101.6, 7.76, 399.8, 82.6, 86.2, 0.0, 12100, 0.998, 0, 5.92, 8.179, 32.10
2019-07-24 10:22:47, 1004.5, 22.36, 8.76, 102.5, 7.75, 401.9, 81.9, 85.7, 0.0, 12217, 0.998, 0, 6.03, 8.346, 32.10
2019-07-24 10:22:57, 1004.5, 20.63, 8.77, 100.3, 7.80, 402.3, 78.8, 84.4, 0.0, 12683, 0.998, 0, 6.16, 8.527, 32.20
2019-07-24 10:23:07, 1004.5, 19.90, 9.25, 103.2, 7.81, 404.6, 76.9, 84.5, 0.0, 13011, 0.998, 0, 6.31, 8.740, 32.20
2019-07-24 10:23:17, 1004.4, 19.28, 9.58, 105.5, 7.81, 405.3, 75.5, 84.2, 0.0, 13248, 0.998, 0, 6.41, 8.876, 32.20
2019-07-24 10:23:27, 1004.5, 19.19, 9.85, 107.8, 7.79, 407.2, 74.9, 84.1, 0.0, 13344, 0.998, 0, 6.41, 8.876, 32.30
2019-07-24 10:23:37, 1004.5, 18.66, 9.83, 107.0, 7.80, 408.6, 74.5, 84.1, 0.0, 13424, 0.998, 0, 6.56, 9.090, 32.30
2019-07-24 10:23:47, 1004.5, 18.03, 9.98, 107.2, 7.80, 410.5, 73.3, 83.9, 0.0, 13639, 0.999, 0, 6.71, 9.306, 32.40
2019-07-24 10:23:57, 1004.5, 17.20, 10.34, 109.2, 7.82, 408.8, 71.8, 83.8, 0.0, 13921, 0.999, 0, 6.84, 9.486, 32.40
2019-07-24 10:24:07, 1004.5, 16.87, 10.63, 111.0, 7.83, 408.8, 71.0, 83.8, 0.0, 14083, 0.999, 0, 6.99, 9.710, 32.50
2019-07-24 10:24:17, 1004.5, 16.52, 10.76, 111.4, 7.84, 408.2, 70.5, 84.0, 0.0, 14177, 0.999, 0, 7.10, 9.867, 32.50
2019-07-24 10:24:27, 1004.5, 16.18, 10.80, 111.1, 7.85, 408.4, 70.0, 84.0, 0.0, 14277, 0.999, 0, 7.22, 10.025, 32.60
2019-07-24 10:24:37, 1004.5, 15.78, 10.63, 108.6, 7.82, 409.8, 69.8, 84.4, 0.0, 14320, 0.999, 0, 7.30, 10.139, 32.60
2019-07-24 10:24:47, 1004.5, 15.48, 10.19, 103.4, 7.83, 409.9, 69.6, 84.7, 0.0, 14365, 0.999, 0, 7.46, 10.368, 32.60
2019-07-24 10:24:57, 1004.5, 15.26, 9.50, 95.9, 7.82, 410.3, 69.1, 84.6, 0.0, 14481, 0.999, 0, 7.57, 10.533, 32.70
2019-07-24 10:25:07, 1004.4, 15.02, 8.32, 83.3, 7.82, 411.6, 68.9, 85.1, 0.0, 14515, 0.999, 0, 7.74, 10.769, 32.70
2019-07-24 10:25:17, 1004.5, 14.67, 7.37, 73.6, 7.83, 411.7, 68.6, 85.0, 0.0, 14582, 0.999, 0, 7.84, 10.908, 32.70
2019-07-24 10:25:27, 1004.5, 14.49, 6.46, 64.1, 7.82, 411.7, 68.3, 85.3, 0.0, 14636, 0.999, 0, 7.93, 11.036, 32.80
2019-07-24 10:25:37, 1004.5, 14.26, 5.46, 53.9, 7.82, 410.8, 68.0, 85.3, 0.0, 14698, 0.999, 0, 8.08, 11.249, 32.80
